sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10004000,6555000375,6555004375,4000
1,20002041,6565000375,6565002416,2041
2,30002041,6575000375,6575002416,2041
3,40002041,6585000375,6585002416,2041
4,50002041,6595000375,6595002416,2041
5,60002041,6605000375,6605002416,2041
6,70002041,6615000375,6615002416,2041
7,80002041,6625000375,6625002416,2041
8,90002041,6635000375,6635002416,2041
9,100002041,6645000375,6645002416,2041
10,110002041,6655000375,6655002416,2041
11,120002041,6665000375,6665002416,2041
12,130002041,6675000375,6675002416,2041
13,140002041,6685000375,6685002416,2041
14,150002041,6695000375,6695002416,2041
15,160002041,6705000375,6705002416,2041
16,170002041,6715000375,6715002416,2041
17,180002041,6725000375,6725002416,2041
18,190002041,6735000375,6735002416,2041
19,200002041,6745000375,6745002416,2041
20,210002041,6755000375,6755002416,2041
21,220002041,6765000375,6765002416,2041
22,230002041,6775000375,6775002416,2041
23,240002041,6785000375,6785002416,2041
24,250002041,6795000375,6795002416,2041
25,260002041,6805000375,6805002416,2041
26,270002041,6815000375,6815002416,2041
27,280002041,6825000375,6825002416,2041
28,290002041,6835000375,6835002416,2041
29,300002041,6845000375,6845002416,2041
30,310002041,6855000375,6855002416,2041
31,320002041,6865000375,6865002416,2041
32,330002041,6875000375,6875002416,2041
33,340002041,6885000375,6885002416,2041
34,350002041,6895000375,6895002416,2041
35,360002041,6905000375,6905002416,2041
36,370002041,6915000375,6915002416,2041
37,380002041,6925000375,6925002416,2041
38,390002041,6935000375,6935002416,2041
39,400002041,6945000375,6945002416,2041
40,410002041,6955000375,6955002416,2041
41,420002041,6965000375,6965002416,2041
42,430002041,6975000375,6975002416,2041
43,440002041,6985000375,6985002416,2041
44,450002041,6995000375,6995002416,2041
45,460002041,7005000375,7005002416,2041
46,470002041,7015000375,7015002416,2041
47,480002041,7025000375,7025002416,2041
48,490002041,7035000375,7035002416,2041
49,500002041,7045000375,7045002416,2041
50,510002041,7055000375,7055002416,2041
51,520002041,7065000375,7065002416,2041
52,530002041,7075000375,7075002416,2041
53,540002041,7085000375,7085002416,2041
54,550002041,7095000375,7095002416,2041
55,560002041,7105000375,7105002416,2041
56,570002041,7115000375,7115002416,2041
57,580002041,7125000375,7125002416,2041
58,590002041,7135000375,7135002416,2041
59,600002041,7145000375,7145002416,2041
60,610002041,7155000375,7155002416,2041
61,620002041,7165000375,7165002416,2041
62,630002041,7175000375,7175002416,2041
63,640002041,7185000375,7185002416,2041
64,650002041,7195000375,7195002416,2041
65,660002041,7205000375,7205002416,2041
66,670002041,7215000375,7215002416,2041
67,680002041,7225000375,7225002416,2041
68,690002041,7235000375,7235002416,2041
69,700002041,7245000375,7245002416,2041
70,710002041,7255000375,7255002416,2041
71,720002041,7265000375,7265002416,2041
72,730002041,7275000375,7275002416,2041
73,740002041,7285000375,7285002416,2041
74,750002041,7295000375,7295002416,2041
75,760002041,7305000375,7305002416,2041
76,770002041,7315000375,7315002416,2041
77,780002041,7325000375,7325002416,2041
78,790002041,7335000375,7335002416,2041
79,800002041,7345000375,7345002416,2041
80,810002041,7355000375,7355002416,2041
81,820002041,7365000375,7365002416,2041
82,830002041,7375000375,7375002416,2041
83,840002041,7385000375,7385002416,2041
84,850002041,7395000375,7395002416,2041
85,860002041,7405000375,7405002416,2041
86,870002041,7415000375,7415002416,2041
87,880002041,7425000375,7425002416,2041
88,890002041,7435000375,7435002416,2041
89,900002041,7445000375,7445002416,2041
90,910002041,7455000375,7455002416,2041
91,920002041,7465000375,7465002416,2041
92,930002041,7475000375,7475002416,2041
93,940002041,7485000375,7485002416,2041
94,950002041,7495000375,7495002416,2041
95,960002041,7505000375,7505002416,2041
96,970002041,7515000375,7515002416,2041
97,980002041,7525000375,7525002416,2041
98,990002041,7535000375,7535002416,2041
99,1000002041,7545000375,7545002416,2041
100,1010002041,7555000375,7555002416,2041
101,1020002041,7565000375,7565002416,2041
102,1030002041,7575000375,7575002416,2041
103,1040002041,7585000375,7585002416,2041
104,1050002041,7595000375,7595002416,2041
105,1060002041,7605000375,7605002416,2041
106,1070002041,7615000375,7615002416,2041
107,1080002041,7625000375,7625002416,2041
108,1090002041,7635000375,7635002416,2041
109,1100002041,7645000375,7645002416,2041
110,1110002041,7655000375,7655002416,2041
111,1120002041,7665000375,7665002416,2041
112,1130002041,7675000375,7675002416,2041
113,1140002041,7685000375,7685002416,2041
114,1150002041,7695000375,7695002416,2041
115,1160002041,7705000375,7705002416,2041
116,1170002041,7715000375,7715002416,2041
117,1180002041,7725000375,7725002416,2041
118,1190002041,7735000375,7735002416,2041
119,1200002041,7745000375,7745002416,2041
120,1210002041,7755000375,7755002416,2041
121,1220002041,7765000375,7765002416,2041
122,1230002041,7775000375,7775002416,2041
123,1240002041,7785000375,7785002416,2041
124,1250002041,7795000375,7795002416,2041
125,1260002041,7805000375,7805002416,2041
126,1270002041,7815000375,7815002416,2041
127,1280002041,7825000375,7825002416,2041
128,1290002041,7835000375,7835002416,2041
129,1300002041,7845000375,7845002416,2041
130,1310002041,7855000375,7855002416,2041
131,1320002041,7865000375,7865002416,2041
132,1330002041,7875000375,7875002416,2041
133,1340002041,7885000375,7885002416,2041
134,1350002041,7895000375,7895002416,2041
135,1360002041,7905000375,7905002416,2041
136,1370002041,7915000375,7915002416,2041
137,1380002041,7925000375,7925002416,2041
138,1390002041,7935000375,7935002416,2041
139,1400002041,7945000375,7945002416,2041
140,1410002041,7955000375,7955002416,2041
141,1420002041,7965000375,7965002416,2041
142,1430002041,7975000375,7975002416,2041
143,1440002041,7985000375,7985002416,2041
144,1450002041,7995000375,7995002416,2041
145,1460002041,8005000375,8005002416,2041
146,1470002041,8015000375,8015002416,2041
147,1480002041,8025000375,8025002416,2041
148,1490002041,8035000375,8035002416,2041
149,1500002041,8045000375,8045002416,2041
150,1510002041,8055000375,8055002416,2041
151,1520002041,8065000375,8065002416,2041
152,1530002041,8075000375,8075002416,2041
153,1540002041,8085000375,8085002416,2041
154,1550002041,8095000375,8095002416,2041
155,1560002041,8105000375,8105002416,2041
156,1570002041,8115000375,8115002416,2041
157,1580002041,8125000375,8125002416,2041
158,1590002041,8135000375,8135002416,2041
159,1600002041,8145000375,8145002416,2041
160,1610002041,8155000375,8155002416,2041
161,1620002041,8165000375,8165002416,2041
