sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,11344224,26007040,27351264,1344224
1,20053376,36007040,36060416,53376
2,30103248,46007040,46110288,103248
3,40294352,56007040,56301392,294352
4,50119504,66007040,66126544,119504
5,60199760,76007040,76206800,199760
6,70223344,86007040,86230384,223344
7,80241680,96007040,96248720,241680
8,90294592,106007040,106301632,294592
9,100265136,116007040,116272176,265136
10,110078000,126007040,126085040,78000
11,120295120,136007040,136302160,295120
12,130293696,146007040,146300736,293696
13,140204112,156007040,156211152,204112
14,150291856,166007040,166298896,291856
15,160340912,176007040,176347952,340912
16,170317872,186007040,186324912,317872
17,180255776,196007040,196262816,255776
18,190211632,206007040,206218672,211632
19,200212384,216007040,216219424,212384
20,210101184,226007040,226108224,101184
21,220249008,236007040,236256048,249008
22,230210544,246007040,246217584,210544
23,240250928,256007040,256257968,250928
24,250084592,266007040,266091632,84592
25,260063792,276007040,276070832,63792
26,270133840,286007040,286140880,133840
27,280233328,296007040,296240368,233328
28,290211872,306007040,306218912,211872
29,300309584,316007040,316316624,309584
30,310148160,326007040,326155200,148160
31,320363856,336007040,336370896,363856
32,330245584,346007040,346252624,245584
33,340261312,356007040,356268352,261312
34,350301232,366007040,366308272,301232
35,360343616,376007040,376350656,343616
36,370283952,386007040,386290992,283952
37,380189904,396007040,396196944,189904
38,390217616,406007040,406224656,217616
39,400208096,416007040,416215136,208096
40,410305856,426007040,426312896,305856
41,420209344,436007040,436216384,209344
42,430197920,446007040,446204960,197920
43,440193568,456007040,456200608,193568
44,450239184,466007040,466246224,239184
45,460211200,476007040,476218240,211200
46,470245152,486007040,486252192,245152
47,480216368,496007040,496223408,216368
48,490257664,506007040,506264704,257664
49,500280272,516007040,516287312,280272
50,510283136,526007040,526290176,283136
51,520212256,536007040,536219296,212256
52,530206592,546007040,546213632,206592
53,540284832,556007040,556291872,284832
54,550283264,566007040,566290304,283264
55,560319408,576007040,576326448,319408
56,570189840,586007040,586196880,189840
57,580276640,596007040,596283680,276640
58,590246144,606007040,606253184,246144
59,600264000,616007040,616271040,264000
60,610193808,626007040,626200848,193808
61,620233376,636007040,636240416,233376
62,630283968,646007040,646291008,283968
63,640255472,656007040,656262512,255472
64,650213536,666007040,666220576,213536
65,660212272,676007040,676219312,212272
66,670221264,686007040,686228304,221264
67,680290624,696007040,696297664,290624
68,690258864,706007040,706265904,258864
69,700275216,716007040,716282256,275216
70,710192448,726007040,726199488,192448
71,720299312,736007040,736306352,299312
72,730219088,746007040,746226128,219088
73,740266464,756007040,756273504,266464
74,750218816,766007040,766225856,218816
75,760237520,776007040,776244560,237520
76,770142352,786007040,786149392,142352
77,780287504,796007040,796294544,287504
78,790224096,806007040,806231136,224096
79,800205968,816007040,816213008,205968
80,810195312,826007040,826202352,195312
81,820227168,836007040,836234208,227168
82,830212720,846007040,846219760,212720
83,840207328,856007040,856214368,207328
84,850236496,866007040,866243536,236496
85,860228464,876007040,876235504,228464
86,870215280,886007040,886222320,215280
87,880208512,896007040,896215552,208512
88,890249600,906007040,906256640,249600
89,900234912,916007040,916241952,234912
90,910118416,926007040,926125456,118416
91,920305104,936007040,936312144,305104
92,930232816,946007040,946239856,232816
93,940224640,956007040,956231680,224640
94,950252384,966007040,966259424,252384
95,960290768,976007040,976297808,290768
96,970236320,986007040,986243360,236320
97,980243440,996007040,996250480,243440
98,990261760,1006007040,1006268800,261760
99,1000183632,1016007040,1016190672,183632
100,1010188176,1026007040,1026195216,188176
101,1020156016,1036007040,1036163056,156016
102,1030250752,1046007040,1046257792,250752
103,1040221888,1056007040,1056228928,221888
104,1050224576,1066007040,1066231616,224576
105,1060260176,1076007040,1076267216,260176
106,1070245456,1086007040,1086252496,245456
107,1080230416,1096007040,1096237456,230416
108,1090227392,1106007040,1106234432,227392
109,1100223568,1116007040,1116230608,223568
110,1110236480,1126007040,1126243520,236480
111,1120228592,1136007040,1136235632,228592
112,1130339616,1146007040,1146346656,339616
113,1140268672,1156007040,1156275712,268672
114,1150321088,1166007040,1166328128,321088
115,1160294512,1176007040,1176301552,294512
116,1170298096,1186007040,1186305136,298096
117,1180217968,1196007040,1196225008,217968
118,1190202032,1206007040,1206209072,202032
119,1200260768,1216007040,1216267808,260768
120,1210258176,1226007040,1226265216,258176
121,1220333200,1236007040,1236340240,333200
122,1230199888,1246007040,1246206928,199888
123,1240271504,1256007040,1256278544,271504
124,1250323568,1266007040,1266330608,323568
125,1260215440,1276007040,1276222480,215440
126,1270208624,1286007040,1286215664,208624
127,1280232976,1296007040,1296240016,232976
128,1290168912,1306007040,1306175952,168912
129,1300243952,1316007040,1316250992,243952
130,1310250736,1326007040,1326257776,250736
131,1320234272,1336007040,1336241312,234272
132,1330349872,1346007040,1346356912,349872
133,1340304240,1356007040,1356311280,304240
134,1350318608,1366007040,1366325648,318608
135,1360306144,1376007040,1376313184,306144
136,1370300528,1386007040,1386307568,300528
137,1380296560,1396007040,1396303600,296560
138,1390151440,1406007040,1406158480,151440
139,1400276240,1416007040,1416283280,276240
140,1410323952,1426007040,1426330992,323952
141,1420295312,1436007040,1436302352,295312
142,1430285104,1446007040,1446292144,285104
143,1440277856,1456007040,1456284896,277856
144,1450314064,1466007040,1466321104,314064
145,1460181808,1476007040,1476188848,181808
146,1470291328,1486007040,1486298368,291328
147,1480291440,1496007040,1496298480,291440
148,1490143824,1506007040,1506150864,143824
149,1500279440,1516007040,1516286480,279440
150,1510301536,1526007040,1526308576,301536
151,1520301648,1536007040,1536308688,301648
152,1530287040,1546007040,1546294080,287040
153,1540260832,1556007040,1556267872,260832
154,1550317968,1566007040,1566325008,317968
155,1560289248,1576007040,1576296288,289248
156,1570300368,1586007040,1586307408,300368
157,1580318432,1596007040,1596325472,318432
158,1590235168,1606007040,1606242208,235168
159,1600272576,1616007040,1616279616,272576
160,1610312704,1626007040,1626319744,312704
161,1620288336,1636007040,1636295376,288336
162,1630280016,1646007040,1646287056,280016
163,1640274592,1656007040,1656281632,274592
164,1650289408,1666007040,1666296448,289408
165,1660278800,1676007040,1676285840,278800
166,1670285648,1686007040,1686292688,285648
167,1680293088,1696007040,1696300128,293088
168,1690284464,1706007040,1706291504,284464
169,1700112096,1716007040,1716119136,112096
170,1710302000,1726007040,1726309040,302000
171,1720308048,1736007040,1736315088,308048
172,1730265728,1746007040,1746272768,265728
173,1740257312,1756007040,1756264352,257312
174,1750321664,1766007040,1766328704,321664
175,1760234992,1776007040,1776242032,234992
176,1770205504,1786007040,1786212544,205504
177,1780296512,1796007040,1796303552,296512
178,1790233712,1806007040,1806240752,233712
179,1800223200,1816007040,1816230240,223200
180,1810297120,1826007040,1826304160,297120
181,1820285376,1836007040,1836292416,285376
182,1830294544,1846007040,1846301584,294544
183,1840297648,1856007040,1856304688,297648
184,1850237712,1866007040,1866244752,237712
185,1860206480,1876007040,1876213520,206480
186,1870260416,1886007040,1886267456,260416
187,1880202064,1896007040,1896209104,202064
188,1890271648,1906007040,1906278688,271648
189,1900277408,1916007040,1916284448,277408
190,1910270640,1926007040,1926277680,270640
191,1920304816,1936007040,1936311856,304816
192,1930192896,1946007040,1946199936,192896
193,1940269824,1956007040,1956276864,269824
194,1950295632,1966007040,1966302672,295632
195,1960208000,1976007040,1976215040,208000
196,1970286016,1986007040,1986293056,286016
197,1980200608,1996007040,1996207648,200608
