sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
1,20278672,30007760,30286432,278672
3,40065616,50007760,50073376,65616
4,50154272,60007760,60162032,154272
5,60134160,70007760,70141920,134160
6,70139344,80007760,80147104,139344
7,80135632,90007760,90143392,135632
8,90140224,100007760,100147984,140224
9,100143680,110007760,110151440,143680
10,110129568,120007760,120137328,129568
11,120150736,130007760,130158496,150736
12,130141136,140007760,140148896,141136
15,160135232,170007760,170142992,135232
16,170162672,180007760,180170432,162672
17,180126496,190007760,190134256,126496
18,190139600,200007760,200147360,139600
19,200243984,210007760,210251744,243984
20,210125840,220007760,220133600,125840
21,220167232,230007760,230174992,167232
22,230121280,240007760,240129040,121280
23,240120496,250007760,250128256,120496
24,250165648,260007760,260173408,165648
25,260120496,270007760,270128256,120496
26,270135376,280007760,280143136,135376
27,280122352,290007760,290130112,122352
28,290137776,300007760,300145536,137776
30,310079920,320007760,320087680,79920
31,320092720,330007760,330100480,92720
32,330076048,340007760,340083808,76048
33,340068880,350007760,350076640,68880
34,350043232,360007760,360050992,43232
35,360069408,370007760,370077168,69408
36,370028496,380007760,380036256,28496
37,380037648,390007760,390045408,37648
38,390037712,400007760,400045472,37712
40,410071296,420007760,420079056,71296
41,420067856,430007760,430075616,67856
42,430062880,440007760,440070640,62880
43,440069680,450007760,450077440,69680
44,450101776,460007760,460109536,101776
45,460125600,470007760,470133360,125600
46,470155712,480007760,480163472,155712
47,480167440,490007760,490175200,167440
48,490139632,500007760,500147392,139632
49,500131168,510007760,510138928,131168
50,510128304,520007760,520136064,128304
51,520143488,530007760,530151248,143488
52,530154976,540007760,540162736,154976
53,540130992,550007760,550138752,130992
54,550132112,560007760,560139872,132112
55,560121104,570007760,570128864,121104
56,570122528,580007760,580130288,122528
57,580121600,590007760,590129360,121600
58,590140176,600007760,600147936,140176
59,600118816,610007760,610126576,118816
60,610129744,620007760,620137504,129744
61,620132224,630007760,630139984,132224
62,630129584,640007760,640137344,129584
63,640122112,650007760,650129872,122112
64,650141280,660007760,660149040,141280
65,660137328,670007760,670145088,137328
66,670128928,680007760,680136688,128928
67,680120256,690007760,690128016,120256
68,690138416,700007760,700146176,138416
69,700120784,710007760,710128544,120784
70,710122288,720007760,720130048,122288
71,720130064,730007760,730137824,130064
72,730132496,740007760,740140256,132496
73,740134112,750007760,750141872,134112
74,750131936,760007760,760139696,131936
75,760133232,770007760,770140992,133232
76,770129312,780007760,780137072,129312
77,780121760,790007760,790129520,121760
78,790131008,800007760,800138768,131008
79,800118832,810007760,810126592,118832
80,810120864,820007760,820128624,120864
81,820182368,830007760,830190128,182368
82,830133920,840007760,840141680,133920
83,840126672,850007760,850134432,126672
84,850155568,860007760,860163328,155568
85,860140144,870007760,870147904,140144
86,870129088,880007760,880136848,129088
87,880241824,890007760,890249584,241824
88,890246400,900007760,900254160,246400
89,900122816,910007760,910130576,122816
90,910127776,920007760,920135536,127776
91,920180080,930007760,930187840,180080
92,930131504,940007760,940139264,131504
93,940124464,950007760,950132224,124464
94,950167296,960007760,960175056,167296
95,960149008,970007760,970156768,149008
96,970533712,980007760,980541472,533712
97,980225808,990007760,990233568,225808
98,990252656,1000007760,1000260416,252656
99,1000121760,1010007760,1010129520,121760
100,1010143792,1020007760,1020151552,143792
101,1020123408,1030007760,1030131168,123408
102,1030144304,1040007760,1040152064,144304
103,1040121056,1050007760,1050128816,121056
104,1050127632,1060007760,1060135392,127632
105,1060130816,1070007760,1070138576,130816
106,1070134544,1080007760,1080142304,134544
107,1080119840,1090007760,1090127600,119840
108,1090140880,1100007760,1100148640,140880
109,1100117840,1110007760,1110125600,117840
110,1110133216,1120007760,1120140976,133216
111,1120124672,1130007760,1130132432,124672
112,1130180256,1140007760,1140188016,180256
113,1140119120,1150007760,1150126880,119120
114,1150128240,1160007760,1160136000,128240
115,1160120880,1170007760,1170128640,120880
116,1170132976,1180007760,1180140736,132976
117,1180122576,1190007760,1190130336,122576
118,1190128976,1200007760,1200136736,128976
119,1200124528,1210007760,1210132288,124528
120,1210126656,1220007760,1220134416,126656
121,1220119248,1230007760,1230127008,119248
