sequence,jitter_ns
0,1538592
1,988256
2,986240
3,1423328
4,976928
5,981936
6,982944
7,948704
8,958736
9,967392
10,960688
11,967040
12,1080976
13,1553232
14,955424
15,939168
16,970896
17,916112
18,949264
19,945920
20,952240
21,942592
22,942208
23,957728
24,949840
25,768864
26,1349376
27,1615808
28,981456
29,991040
30,970256
31,944512
32,1003792
33,928752
34,935792
35,942416
36,939328
37,938352
38,914352
39,844128
40,1584848
41,952848
42,949024
43,948176
44,939728
45,940208
46,951440
47,980624
48,943952
49,950768
50,940512
51,943456
52,822768
53,1584288
54,928416
55,912848
56,849456
57,843584
58,862704
59,880208
60,886544
61,861392
62,936960
63,891856
64,889552
65,851328
66,1203680
67,1471696
68,865728
69,899520
70,961360
71,907264
72,893280
73,917552
74,882768
75,874608
76,935360
77,929920
78,892064
79,806816
80,1095872
81,1549600
82,918144
83,906208
84,888944
85,891696
86,896032
87,917376
88,874768
89,940160
90,952240
91,892544
92,918160
93,871648
94,901888
95,1503776
96,909760
97,891616
98,896016
99,865680
100,909312
101,920000
102,859264
103,894144
104,893728
105,882864
106,878960
107,806944
108,1125664
109,1538784
110,902432
111,983264
112,878576
113,908320
114,881696
115,918160
116,886848
117,878832
118,885328
119,919024
120,912752
121,867712
122,1236048
123,1472576
124,858336
125,903744
126,1472272
127,884720
128,903856
129,929488
130,926064
131,920000
132,906848
133,883520
134,870544
135,889200
136,734080
137,1397216
138,868832
139,877696
140,901776
141,936992
142,890112
143,916096
144,933648
145,854320
146,877600
147,898064
148,868480
149,796384
150,1344480
151,901968
152,873984
153,913472
154,913632
155,863376
156,907184
157,901872
158,885104
159,900272
160,894880
161,861472
162,890592
163,826592
164,1190096
165,1480448
166,870080
167,883504
168,867616
169,870416
170,879888
171,884832
172,919840
173,897648
174,916656
175,897648
176,863840
177,888416
178,900320
179,1498208
180,943136
181,913184
182,854592
183,877824
184,887904
185,863040
186,882432
187,875552
188,874368
189,875760
190,906800
191,815280
192,1131072
193,1466848
194,886288
195,862816
196,877520
197,859712
198,869664
199,868064
200,858832
201,884304
202,866032
203,853008
204,906016
205,855472
206,867392
207,1235776
208,1426784
209,925888
210,872112
211,891328
212,876032
213,894000
214,903920
215,865120
216,862256
217,868560
218,872496
219,882864
220,861536
221,867248
222,1469488
223,929184
224,877440
225,892640
226,917200
227,923568
228,921216
229,866128
230,910048
231,925936
232,918720
233,878672
234,896944
235,1003840
236,1488544
237,880864
238,871424
239,929904
240,916832
241,887424
242,902576
243,895840
244,869056
245,917200
246,925520
247,902992
248,855376
249,766000
250,1290528
251,1478112
252,890832
253,930016
254,917280
255,880704
256,925616
257,891648
258,884144
259,906672
260,948864
261,883664
262,910224
263,873968
264,822848
265,1504288
266,861520
267,882400
268,884592
269,916160
270,944192
271,940752
272,884832
273,926880
274,929264
275,881840
276,876432
277,862160
278,948304
279,1468816
280,886672
281,871568
282,903200
283,889504
284,902176
285,922784
286,900736
287,886816
288,865872
289,901408
290,873344
291,907456
292,864128
293,1444560
294,866624
295,886496
296,880432
297,868320
298,866800
299,884928
