sequence,jitter_ns
0,20920768
1,29032496
2,36529344
3,18995744
4,14453536
5,20056128
6,27315680
7,32318688
8,20416848
9,26008720
10,23989888
11,29562384
12,10247168
13,31411984
14,28597920
15,15972160
16,14110064
17,15968640
18,24537936
19,29159680
20,11325200
21,29792496
22,28881440
23,11326384
24,29070256
25,15829648
26,23777408
27,29984928
28,20351616
29,26506128
30,24143728
31,29007408
32,29992032
33,21589664
34,10593216
35,25341072
36,29312640
37,23550112
38,26759904
39,25862848
40,27412416
41,19836352
42,10183328
43,5769440
44,24256096
45,16398976
46,28557728
47,25014976
48,29608864
49,20346432
50,19942400
51,20112640
52,26059184
53,23851648
54,20095200
55,26101728
56,23923232
57,19843936
58,26767392
59,24277376
60,29043152
61,39635488
62,11315616
63,29064816
64,20010544
65,26692848
66,24448000
67,38435568
68,10393632
69,29989840
70,29608384
71,19890480
72,17118576
73,13370592
74,26581456
75,29366944
76,23661568
77,20374528
78,36449472
79,23588496
80,19887136
81,26627056
82,24737536
83,38370560
84,10365120
85,19978288
86,20108240
87,29823648
88,21419792
89,28672880
90,35032608
91,21607024
92,24077824
93,24425936
94,14885712
95,29924176
96,25385648
97,15351232
98,29192384
99,25587568
100,15325904
101,29882672
102,24447680
103,14914400
104,31402688
105,28172960
106,16158032
107,14204752
108,10074000
109,25058400
110,24903648
111,30009968
112,20564672
113,29055200
114,30380512
115,26631744
116,23994400
117,24464368
118,14874224
119,29893152
120,20127184
121,30016080
122,30016320
123,25109744
124,34488592
125,30388304
126,26435776
127,24148784
128,24500416
129,24790272
130,30160480
131,24945504
132,25005376
133,26536544
134,22970432
135,10530096
136,25745984
137,18187168
138,22501504
139,30459904
140,22957856
141,39736864
142,11312256
143,28955968
144,29722112
145,11286800
146,28600736
147,6355040
148,24924928
149,38732624
150,20095328
151,20320384
152,25176960
153,10798512
154,24112416
155,9928000
156,15960640
157,19193040
158,24899920
159,25013920
160,34516208
161,30082976
162,20322560
163,29675472
164,19909920
165,20365424
166,29704208
167,6173120
168,14088944
169,30102688
170,26500688
171,23018752
172,6403184
173,30053392
174,29083648
175,24996480
176,26562816
177,23022816
178,29991440
179,30015360
180,26402448
181,23881264
182,19978704
183,26646992
184,24176592
185,28887840
186,30376336
187,26576176
188,24137680
189,28912896
190,30008688
191,20434048
192,19947856
193,19991136
194,25888448
195,29219056
196,10731600
197,24556512
198,29221088
199,11285792
200,28714224
201,19995904
202,20406880
203,27128992
204,22466000
205,16769040
206,31106944
207,22126816
208,16690192
209,23323264
210,10384016
211,25773344
212,10055040
213,24043632
214,29776976
215,11308880
216,28568208
217,20114272
218,20431280
219,29143568
220,20354112
221,16835792
222,23200304
223,20380448
224,30030480
225,30828512
226,28758672
227,20398576
228,19536384
229,30467296
230,20014800
231,21434608
232,28148064
233,19992976
234,16739872
235,23184240
236,16237040
237,29368432
238,29868816
239,24930368
240,26142048
241,23949952
242,20043328
243,26072848
244,23916480
245,27426336
246,2822656
247,9597760
248,39742512
249,29875776
250,40038096
251,27054208
252,23022080
253,6233824
254,4440432
255,16201312
256,43051264
257,11264512
258,29243152
259,9967904
260,19896096
261,20029984
262,25534912
263,24507408
264,20038272
265,15958896
266,24061424
267,26479392
268,33124864
269,26135120
270,10086576
271,25032080
272,28726272
273,16168592
274,24672304
275,29536336
276,29629072
277,26432848
278,23924944
279,29626400
280,20372576
281,20018960
282,19995680
283,26008320
284,23964096
285,9999312
286,19888256
287,25224880
288,15009744
289,30582368
290,18909328
291,20415440
292,29590784
293,29992368
294,30304848
295,26081488
296,24012560
297,19993184
298,26044080
299,25178432
