sequence,jitter_ns
0,590304
1,580464
2,589072
3,615872
4,568608
5,604928
6,594064
7,589664
8,592128
9,602256
10,598272
11,602304
12,619360
13,599616
14,339776
15,601952
16,599424
17,594368
18,590656
19,485840
20,636656
21,597344
22,601024
23,411392
24,601568
25,603312
26,606288
27,579088
28,452048
29,600560
30,582240
31,619824
32,576384
33,597104
34,608560
35,615232
36,600528
37,453984
38,588208
39,595136
40,608256
41,595680
42,339728
43,600448
44,595536
45,600240
46,585424
47,443664
48,592320
49,591632
50,597248
51,445904
52,438880
53,592928
54,587392
55,586736
56,453040
57,596272
58,609216
59,593408
60,573936
61,569088
62,583248
63,576864
64,582096
65,599680
66,598752
67,589504
68,579152
69,602064
70,578608
71,622240
72,626912
73,603984
74,579568
75,585152
76,617616
77,600448
78,592112
79,602016
80,571168
81,601248
82,608832
83,598864
84,599024
85,613808
86,600496
87,614576
88,332464
89,584976
90,607216
91,599376
92,592592
93,610176
94,596608
95,602752
96,593824
97,650176
98,358192
99,604848
100,608128
101,602768
102,616112
103,351456
104,614160
105,598912
106,571184
107,490368
108,618864
109,598864
110,604608
111,636640
112,470176
113,601408
114,587664
115,568688
116,566320
117,620544
118,616592
119,602400
120,582656
121,572592
122,582928
123,474704
124,596304
125,594096
126,587616
127,446480
128,600224
129,607840
130,597792
131,606304
132,436576
133,586688
134,576400
135,573056
136,582256
137,614672
138,576096
139,627312
140,594640
141,595840
142,595280
143,585104
144,588992
145,593504
146,592656
147,594576
148,597904
149,593328
150,583264
151,609520
152,591936
153,606352
154,602224
155,587840
156,593840
157,596656
158,570416
159,595552
160,581584
161,571536
162,593632
163,577680
164,624992
165,590656
166,574864
167,620688
168,456304
169,593280
170,590032
171,582640
172,597664
173,582688
174,607632
175,592672
176,575648
177,441952
178,589296
179,585888
180,579840
181,597568
182,609840
183,487344
184,596944
185,586208
186,582688
187,592080
188,467376
189,607664
190,635536
191,734704
192,678064
193,703760
194,655520
195,653552
196,607312
197,652320
198,419184
199,635856
200,635568
201,641104
202,618656
203,613984
204,622352
205,640544
206,637792
207,401168
208,634320
209,663664
210,687792
211,637088
212,626720
213,442800
214,686512
215,668192
216,625856
217,616544
218,378288
219,611984
220,611232
221,609632
222,483024
223,636512
224,625920
225,602528
226,652736
227,621392
228,351600
229,648416
230,650432
231,691024
232,685024
233,654832
234,622208
235,613664
236,706736
237,723552
238,682240
239,605888
240,614784
241,634816
242,469840
243,625824
244,640208
245,618208
246,609872
247,409920
248,622256
249,610128
250,620960
251,609760
252,667744
253,394640
254,618640
255,629408
256,651056
257,672608
258,625152
259,606512
260,617840
261,634592
262,671760
263,664208
264,679008
265,613264
266,620256
267,430944
268,575392
269,582976
270,605152
271,625904
272,452048
273,589744
274,611168
275,602160
276,634432
277,590816
278,622560
279,606256
280,651760
281,621296
282,616304
283,603360
284,594736
285,610496
286,611888
287,595280
288,596864
289,590592
290,607344
291,591616
292,491216
293,599296
294,601840
295,584608
296,564672
297,620704
298,590864
299,590368
