sequence,jitter_ns
0,5701424
1,4928304
2,7352432
3,4672464
4,2581744
5,1501040
6,5702976
7,5696400
8,5691280
9,5682800
10,5725504
11,5723808
12,5694912
13,1133392
14,1988912
15,5674672
16,5701152
17,5699632
18,5681808
19,5694816
20,5688176
21,5685824
22,5693520
23,5699808
24,5728992
25,5685344
26,5692816
27,5707376
28,5718896
29,5692160
30,5674400
31,5719616
32,5754928
33,5735344
34,5752144
35,5674624
36,5692976
37,5681424
38,5691488
39,5689264
40,5724384
41,5684736
42,5674672
43,5700208
44,5712560
45,5681360
46,5703440
47,5696928
48,5710464
49,5689408
50,5677616
51,5672208
52,5674976
53,5728944
54,5727664
55,5680336
56,5687056
57,5686064
58,5761680
59,5726912
60,5690320
61,5703120
62,5686480
63,5337200
64,4197776
65,5687696
66,5761824
67,5725744
68,5712672
69,5710160
70,5703344
71,5701136
72,5710768
73,3727248
74,5700832
75,5710144
76,5710032
77,5716128
78,5685616
79,2534944
80,5713920
81,5707408
82,5679216
83,5751072
84,5687968
85,5679808
86,5686224
87,5696704
88,2475008
89,5691472
90,5693712
91,5672064
92,5679920
93,5713504
94,5686832
95,5711056
96,5724832
97,5736560
98,5719568
99,5680320
100,5693024
101,5694768
102,5710528
103,5705008
104,5692160
105,5720224
106,5687440
107,5762784
108,5739264
109,5702912
110,5689344
111,5698848
112,5712464
113,5736288
114,5779856
115,5702672
116,5681408
117,5706896
118,5720880
119,5693360
120,5681520
121,5726608
122,5706288
123,5711344
124,5683504
125,5708400
126,5675232
127,5688944
128,5694496
129,5682624
130,5712672
131,5675680
132,5686592
133,5703120
134,5692848
135,5688192
136,5706064
137,5717632
138,5696752
139,5690000
140,5699008
141,5729056
142,5733424
143,5714064
144,5680672
145,5679360
146,5674160
147,5702144
148,5694608
149,5757648
150,5697488
151,5673504
152,5686768
153,5742240
154,5717344
155,5681728
156,5704304
157,5705920
158,5698320
159,5722480
160,5687904
161,5675792
162,5689904
163,5709216
164,5667472
165,5680240
166,5709184
167,5692000
168,5680144
169,5671920
170,5675984
171,5684384
172,5679888
173,5709296
174,5692432
175,5692928
176,5721232
177,5702112
178,5683120
179,5675584
180,5691248
181,5720304
182,5716048
183,5709904
184,5328096
185,3320624
186,4155392
187,2163808
188,5723968
189,7124256
190,4010640
191,5705184
192,5691680
193,5749200
194,3298768
195,5724752
196,2298416
197,5726960
198,5711056
199,4011152
200,5733280
201,5691216
202,5688128
203,5718800
204,5701680
205,5753328
206,5695312
207,7982880
208,1427328
209,5685328
210,5685104
211,5668512
212,4937408
213,5740400
214,4872848
215,4742048
216,5762880
217,1437040
218,5807632
219,5801056
220,5789104
221,5687936
222,2130928
223,5684144
224,4716784
225,5720192
226,5706560
227,5699472
228,5674048
229,5690240
230,5718736
231,5682240
232,5691760
233,5683152
234,5722272
235,5702656
236,5688432
237,5689632
238,5681680
239,5700448
240,5694816
241,5677424
242,5687312
243,5690976
244,5695760
245,5687760
246,5686848
247,5690112
248,5692240
249,5686816
250,5687376
251,5683952
252,5673840
253,5689552
254,5698400
255,5712704
256,5705872
257,5801600
258,5707248
259,5796496
260,5733440
261,5681888
262,5679776
263,5688704
264,5699024
265,5679008
266,5725152
267,5719040
268,5708928
269,5729952
270,5706544
271,5676368
272,5680848
273,5680000
274,5684848
275,5695328
276,5666096
277,5672208
278,5699696
279,5687088
280,5708368
281,5696640
282,5692960
283,5708400
284,5743024
285,5692928
286,5693504
287,5697856
288,5708784
289,5732992
290,5737904
291,5697104
292,5699440
293,5687216
294,5699104
295,5708320
296,5729680
297,5705264
298,5720336
299,5722608
