bucket_us,count
157,1
158,1
163,1
164,4
165,2
166,7
168,6
169,5
170,7
171,4
172,6
173,5
174,6
175,5
176,7
177,8
178,9
179,7
180,3
181,5
182,9
183,9
184,5
185,5
186,5
187,5
188,5
189,6
190,5
191,8
192,7
193,8
194,5
195,5
196,7
197,6
198,3
199,7
200,4
201,4
202,5
203,6
204,6
205,9
206,5
207,9
208,7
209,4
210,6
211,11
212,7
213,3
214,7
215,4
216,7
217,2
218,10
219,2
220,5
221,4
222,5
223,6
224,5
225,4
226,5
227,5
228,6
229,4
231,6
232,3
233,3
234,3
235,7
236,4
237,4
238,7
239,3
240,5
241,4
242,7
243,2
244,5
245,8
246,4
247,5
248,8
249,6
250,8
251,8
252,3
253,9
254,11
255,4
256,3
257,5
258,8
259,7
260,3
261,4
262,5
263,3
264,4
265,4
266,12
267,5
268,2
269,9
270,5
271,6
272,5
273,3
274,6
275,9
276,7
277,8
278,12
279,9
280,5
281,7
282,12
283,10
284,8
285,13
286,10
287,10
288,11
289,14
290,6
291,14
292,14
293,8
294,11
295,15
296,18
297,12
298,15
299,17
300,20
301,13
302,12
303,19
304,16
305,13
306,22
307,21
308,22
309,10
310,16
311,16
312,16
313,14
314,12
315,17
316,15
317,17
318,16
319,15
320,22
321,16
322,11
323,13
324,8
325,8
326,13
327,6
328,14
329,16
330,11
331,7
332,14
333,20
334,10
335,15
336,10
337,15
338,13
339,10
340,13
341,12
342,14
343,8
344,26
345,18
346,16
347,18
348,27
349,23
350,19
351,17
352,25
353,24
354,43
355,25
356,36
357,39
358,54
359,54
360,77
361,73
362,86
363,76
364,95
365,100
366,126
367,110
368,114
369,142
370,146
371,130
372,177
373,165
374,179
375,168
376,199
377,187
378,191
379,208
380,197
381,228
382,207
383,249
384,244
385,236
386,249
387,279
388,249
389,267
390,245
391,257
392,255
393,276
394,252
395,290
396,248
397,236
398,284
399,244
400,276
401,219
402,214
403,249
404,262
405,246
406,244
407,223
408,232
409,222
410,223
411,229
412,209
413,202
414,208
415,238
416,194
417,177
418,187
419,186
420,208
421,202
422,198
423,195
424,199
425,190
426,174
427,161
428,176
429,176
430,158
431,136
432,149
433,152
434,146
435,150
436,140
437,161
438,150
439,169
440,163
441,161
442,191
443,176
444,174
445,163
446,184
447,190
448,215
449,194
450,214
451,255
452,267
453,270
454,308
455,290
456,312
457,292
458,366
459,348
460,370
461,392
462,365
463,418
464,388
465,398
466,479
467,382
468,453
469,424
470,443
471,424
472,432
473,447
474,408
475,437
476,392
477,414
478,429
479,456
480,457
481,441
482,423
483,454
484,450
485,493
486,516
487,509
488,549
489,546
490,587
491,589
492,580
493,642
494,666
495,702
496,702
497,690
498,777
499,728
500,777
501,803
502,796
503,742
504,837
505,717
506,776
507,821
508,792
509,803
510,838
511,801
512,759
513,741
514,727
515,710
516,753
517,723
518,736
519,668
520,662
521,673
522,646
523,637
524,645
525,595
526,593
527,558
528,540
529,523
530,548
531,520
532,477
533,469
534,433
535,400
536,422
537,418
538,397
539,398
540,392
541,374
542,361
543,349
544,339
545,360
546,346
547,340
548,342
549,312
550,347
551,304
552,325
553,327
554,367
555,366
556,391
557,341
558,374
559,357
560,374
561,357
562,352
563,362
564,340
565,326
566,313
567,320
568,320
569,318
570,309
571,291
572,298
573,275
574,278
575,291
576,325
577,309
578,332
579,238
580,329
581,290
582,291
583,345
