sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,5,0,216,2474,0,19,2,0
0,1,0,0,2,2842,0,5,0,0
1,0,5,0,218,2972,0,20,2,0
1,1,2,0,12,3197,0,81,0,0
2,0,5,0,219,3469,0,21,2,0
2,1,4,0,18,3582,0,160,0,0
3,0,5,0,221,3967,0,22,2,0
3,1,5,0,23,3982,0,228,0,0
4,0,5,0,223,4463,0,23,2,0
4,1,8,0,29,4355,0,315,0,0
5,0,5,0,224,4962,0,24,3,0
5,1,10,0,39,4721,0,408,0,0
6,0,6,0,226,5459,0,25,3,0
6,1,12,0,42,5088,0,498,0,0
7,0,6,0,226,5958,0,26,3,0
7,1,13,0,51,5450,0,591,0,0
8,0,7,0,228,6455,0,27,3,0
8,1,17,0,57,5817,0,683,1,0
9,0,7,0,229,6954,0,28,3,0
9,1,20,0,64,6184,0,774,1,0
10,0,7,0,230,7451,0,29,3,0
10,1,22,0,71,6549,0,865,1,0
11,0,7,0,231,7950,0,30,4,0
11,1,23,0,80,6916,0,958,1,0
12,0,8,0,233,8448,0,31,4,0
12,1,26,0,86,7285,0,1046,1,0
13,0,8,0,233,8947,0,32,4,0
13,1,26,0,90,7653,0,1135,1,0
14,0,9,0,234,9444,0,33,4,0
14,1,27,0,99,8020,0,1228,1,0
15,0,9,0,235,9943,0,34,4,0
15,1,29,0,106,8384,0,1321,2,0
16,0,9,0,237,10440,0,35,4,0
16,1,31,0,110,8751,0,1412,2,0
17,0,9,0,238,10939,0,36,5,0
17,1,34,0,118,9117,0,1503,2,0
18,0,9,0,239,11436,0,37,5,0
18,1,35,0,122,9484,0,1594,2,0
19,0,9,0,240,11935,0,38,5,0
19,1,36,0,126,9854,0,1680,2,0
20,0,10,0,242,12433,0,39,5,0
20,1,37,0,130,10223,0,1770,2,0
21,0,10,0,243,12932,0,40,5,0
21,1,38,0,134,10588,0,1862,2,0
22,0,10,0,244,13429,0,41,6,0
22,1,41,0,140,10954,0,1953,3,0
23,0,10,0,246,13928,0,42,6,0
23,1,43,0,149,11322,0,2043,3,0
24,0,10,0,253,14411,0,44,6,0
24,1,46,0,157,11706,0,2130,3,0
25,0,11,0,512,14411,0,61,6,0
25,1,46,0,157,12209,0,2130,3,0
