VM-exit counters per physical CPU (12 reasons):
  cpu         irq     timer      mmio       wfi   hvc-smc    sysreg    gic-if       sgi    cpu-up  sys-down   nothing     other
    1       15558     15160     45780     15160         -         -         -         -         -         -         -         -
    2        1045       742     30407      1650         7         -         -       126         -         -        11         -
    3        1757      1644        52      2543         -         -         -        18         -         -         2         -
Host periodic scheduler ticks (event-driven timer IRQs excluded):
  cpu   0:       3281
  cpu   1:       3284
  cpu   2:       3284
  cpu   3:       3281
axvisor:$ 
[2Kaxvisor:$ v
[2Kaxvisor:$ vm
[2Kaxvisor:$ vm 
[2Kaxvisor:$ vm c
[2Kaxvisor:$ vm co
[2Kaxvisor:$ vm con
[2Kaxvisor:$ vm cons
[2Kaxvisor:$ vm conso
[2Kaxvisor:$ vm consol
[2Kaxvisor:$ vm console
[2Kaxvisor:$ vm console 
[2Kaxvisor:$ vm console 2
✓ Attached VM[2] console; use Ctrl+X, then h to return to the shell
PERIODIC LATENCY START
sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10674800,36889011616,36889686416,674800
1,20616768,36899011616,36899628384,616768
2,30670064,36909011616,36909681680,670064
3,40558064,36919011616,36919569680,558064
4,50563168,36929011616,36929574784,563168
5,60632784,36939011616,36939644400,632784
6,70569216,36949011616,36949580832,569216
7,80645696,36959011616,36959657312,645696
8,90556224,36969011616,36969567840,556224
9,100585648,36979011616,36979597264,585648
10,110606544,36989011616,36989618160,606544
11,120561120,36999011616,36999572736,561120
12,130591520,37009011616,37009603136,591520
13,140677216,37019011616,37019688832,677216
14,150649424,37029011616,37029661040,649424
15,160441840,37039011616,37039453456,441840
16,170413776,37049011616,37049425392,413776
17,180465344,37059011616,37059476960,465344
18,190571456,37069011616,37069583072,571456
19,200670016,37079011616,37079681632,670016
20,210766224,37089011616,37089777840,766224
21,220540032,37099011616,37099551648,540032
22,230544800,37109011616,37109556416,544800
23,240677728,37119011616,37119689344,677728
24,250560560,37129011616,37129572176,560560
25,260564080,37139011616,37139575696,564080
26,270572720,37149011616,37149584336,572720
27,280571984,37159011616,37159583600,571984
28,290588640,37169011616,37169600256,588640
29,300694528,37179011616,37179706144,694528
30,310605936,37189011616,37189617552,605936
31,320500848,37199011616,37199512464,500848
32,330493056,37209011616,37209504672,493056
33,340427040,37219011616,37219438656,427040
34,350589488,37229011616,37229601104,589488
35,360511936,37239011616,37239523552,511936
36,370534800,37249011616,37249546416,534800
37,380406832,37259011616,37259418448,406832
38,390405408,37269011616,37269417024,405408
39,400418848,37279011616,37279430464,418848
40,410484160,37289011616,37289495776,484160
41,420417680,37299011616,37299429296,417680
42,430568832,37309011616,37309580448,568832
43,440493312,37319011616,37319504928,493312
44,450520688,37329011616,37329532304,520688
45,460556816,37339011616,37339568432,556816
46,470745040,37349011616,37349756656,745040
47,480557584,37359011616,37359569200,557584
48,490694880,37369011616,37369706496,694880
49,500546224,37379011616,37379557840,546224
50,510734592,37389011616,37389746208,734592
51,520558464,37399011616,37399570080,558464
52,530585632,37409011616,37409597248,585632
53,540561376,37419011616,37419572992,561376
54,550560800,37429011616,37429572416,560800
55,560598160,37439011616,37439609776,598160
56,570697744,37449011616,37449709360,697744
57,580592640,37459011616,37459604256,592640
58,590688448,37469011616,37469700064,688448
59,600685040,37479011616,37479696656,685040
60,610701312,37489011616,37489712928,701312
61,620592480,37499011616,37499604096,592480
62,630694016,37509011616,37509705632,694016
63,640722976,37519011616,37519734592,722976
64,650619408,37529011616,37529631024,619408
65,660568928,37539011616,37539580544,568928
66,670580736,37549011616,37549592352,580736
67,680698368,37559011616,37559709984,698368
68,690709392,37569011616,37569721008,709392
69,700664000,37579011616,37579675616,664000
70,710542528,37589011616,37589554144,542528
71,720422160,37599011616,37599433776,422160
72,730453360,37609011616,37609464976,453360
73,740427216,37619011616,37619438832,427216
74,750482096,37629011616,37629493712,482096
75,760452240,37639011616,37639463856,452240
76,770444000,37649011616,37649455616,444000
77,780429120,37659011616,37659440736,429120
78,790471712,37669011616,37669483328,471712
79,800488656,37679011616,37679500272,488656
80,810433824,37689011616,37689445440,433824
81,820495184,37699011616,37699506800,495184
82,830618496,37709011616,37709630112,618496
83,840442480,37719011616,37719454096,442480
84,850508192,37729011616,37729519808,508192
85,860484544,37739011616,37739496160,484544
86,870489536,37749011616,37749501152,489536
87,880586016,37759011616,37759597632,586016
88,890711840,37769011616,37769723456,711840
89,900547760,37779011616,37779559376,547760
90,910880688,37789011616,37789892304,880688
91,920778448,37799011616,37799790064,778448
92,931006864,37809011616,37810018480,1006864
93,940840064,37819011616,37819851680,840064
94,950543808,37829011616,37829555424,543808
95,960492992,37839011616,37839504608,492992
96,970552656,37849011616,37849564272,552656
97,980422288,37859011616,37859433904,422288
98,990612704,37869011616,37869624320,612704
99,1000421952,37879011616,37879433568,421952
100,1010531056,37889011616,37889542672,531056
101,1020408656,37899011616,37899420272,408656
102,1030485088,37909011616,37909496704,485088
103,1040443744,37919011616,37919455360,443744
104,1050403680,37929011616,37929415296,403680
105,1060418720,37939011616,37939430336,418720
106,1070704080,37949011616,37949715696,704080
107,1080404160,37959011616,37959415776,404160
108,1090485328,37969011616,37969496944,485328
109,1100409920,37979011616,37979421536,409920
110,1110567232,37989011616,37989578848,567232
111,1120421184,37999011616,37999432800,421184
112,1130474688,38009011616,38009486304,474688
113,1140414896,38019011616,38019426512,414896
114,1150483408,38029011616,38029495024,483408
115,1160414960,38039011616,38039426576,414960
116,1170435296,38049011616,38049446912,435296
117,1180408416,38059011616,38059420032,408416
118,1190445936,38069011616,38069457552,445936
119,1200404928,38079011616,38079416544,404928
120,1210962880,38089011616,38089974496,962880
121,1220655088,38099011616,38099666704,655088
122,1230409296,38109011616,38109420912,409296
123,1240506800,38119011616,38119518416,506800
124,1250510784,38129011616,38129522400,510784
125,1260448592,38139011616,38139460208,448592
126,1270509696,38149011616,38149521312,509696
127,1280607456,38159011616,38159619072,607456
128,1290630000,38169011616,38169641616,630000
129,1300533792,38179011616,38179545408,533792
130,1310538688,38189011616,38189550304,538688
131,1320516320,38199011616,38199527936,516320
132,1330603536,38209011616,38209615152,603536
133,1340618592,38219011616,38219630208,618592
134,1350462256,38229011616,38229473872,462256
135,1360614528,38239011616,38239626144,614528
136,1370519712,38249011616,38249531328,519712
137,1380510512,38259011616,38259522128,510512
138,1390625424,38269011616,38269637040,625424
139,1400517152,38279011616,38279528768,517152
140,1410546224,38289011616,38289557840,546224
141,1420639408,38299011616,38299651024,639408
142,1430732896,38309011616,38309744512,732896
143,1440419504,38319011616,38319431120,419504
144,1450483504,38329011616,38329495120,483504
145,1460411712,38339011616,38339423328,411712
146,1470417888,38349011616,38349429504,417888
147,1480401136,38359011616,38359412752,401136
148,1490480784,38369011616,38369492400,480784
149,1500415904,38379011616,38379427520,415904
150,1510491264,38389011616,38389502880,491264
151,1520419568,38399011616,38399431184,419568
152,1530855040,38409011616,38409866656,855040
153,1540753056,38419011616,38419764672,753056
154,1550978272,38429011616,38429989888,978272
155,1560699120,38439011616,38439710736,699120
156,1570421712,38449011616,38449433328,421712
157,1580407456,38459011616,38459419072,407456
158,1590469888,38469011616,38469481504,469888
159,1600406880,38479011616,38479418496,406880
160,1610486240,38489011616,38489497856,486240
161,1620404560,38499011616,38499416176,404560
162,1630483632,38509011616,38509495248,483632
163,1640407008,38519011616,38519418624,407008
164,1650462768,38529011616,38529474384,462768
165,1660403184,38539011616,38539414800,403184
166,1670629312,38549011616,38549640928,629312
167,1680527712,38559011616,38559539328,527712
168,1690478976,38569011616,38569490592,478976
169,1700517696,38579011616,38579529312,517696
170,1710498480,38589011616,38589510096,498480
171,1720409888,38599011616,38599421504,409888
172,1730531488,38609011616,38609543104,531488
173,1740407552,38619011616,38619419168,407552
174,1750430480,38629011616,38629442096,430480
175,1760401072,38639011616,38639412688,401072
176,1770432208,38649011616,38649443824,432208
177,1780400080,38659011616,38659411696,400080
178,1790506192,38669011616,38669517808,506192
179,1800514192,38679011616,38679525808,514192
180,1810428848,38689011616,38689440464,428848
181,1820484336,38699011616,38699495952,484336
182,1830551952,38709011616,38709563568,551952
183,1840499232,38719011616,38719510848,499232
184,1850521056,38729011616,38729532672,521056
185,1860745760,38739011616,38739757376,745760
186,1870685008,38749011616,38749696624,685008
187,1880697328,38759011616,38759708944,697328
188,1890522032,38769011616,38769533648,522032
189,1900584576,38779011616,38779596192,584576
190,1910546176,38789011616,38789557792,546176
191,1920595696,38799011616,38799607312,595696
192,1930614656,38809011616,38809626272,614656
193,1940598240,38819011616,38819609856,598240
194,1950504304,38829011616,38829515920,504304
195,1960614720,38839011616,38839626336,614720
196,1970523968,38849011616,38849535584,523968
197,1980577504,38859011616,38859589120,577504
