bucket_us,count
164,1
171,1
172,1
173,2
174,1
175,2
176,1
177,3
178,3
179,3
180,5
181,6
182,6
183,3
184,3
185,10
186,5
187,7
188,5
189,3
190,5
191,4
192,11
193,10
194,4
195,3
196,4
197,3
198,5
199,7
200,5
201,3
202,8
203,3
204,6
205,3
206,5
207,3
208,8
209,5
210,2
211,5
212,11
213,7
214,3
215,7
216,5
217,1
218,10
219,7
220,9
221,3
222,6
223,3
224,9
225,9
226,7
227,6
228,9
229,8
230,7
231,2
232,7
233,7
234,4
235,3
236,8
237,6
238,5
239,4
240,7
241,2
242,7
243,5
244,2
245,3
246,4
247,8
248,10
249,9
250,6
251,4
252,8
253,7
254,7
255,9
256,8
257,10
258,12
259,10
260,9
261,3
262,2
263,3
264,1
265,3
266,1
267,6
268,5
269,1
270,6
271,6
272,5
273,3
274,2
275,7
276,1
277,3
279,5
280,6
281,5
282,9
283,7
284,3
285,3
286,5
287,5
288,6
289,4
290,4
291,7
292,3
293,2
294,6
295,3
296,2
298,2
299,5
300,4
301,2
302,3
303,3
304,2
305,5
306,7
307,1
308,7
309,5
310,2
311,6
312,3
313,5
314,2
315,3
316,4
317,1
318,3
319,2
320,3
321,7
322,4
323,3
324,4
325,2
326,9
327,7
328,8
329,8
330,6
331,10
332,5
333,13
334,16
335,16
336,13
337,14
338,19
339,16
340,22
341,33
342,27
343,18
344,24
345,26
346,20
347,22
348,27
349,32
350,31
351,31
352,37
353,21
354,27
355,32
356,27
357,37
358,34
359,39
360,25
361,19
362,31
363,44
364,30
365,28
366,30
367,23
368,35
369,28
370,25
371,23
372,25
373,27
374,30
375,24
376,24
377,27
378,26
379,31
380,25
381,28
382,25
383,21
384,24
385,32
386,31
387,27
388,22
389,24
390,19
391,28
392,33
393,24
394,27
395,22
396,24
397,23
398,31
399,38
400,36
401,32
402,28
403,25
404,30
405,29
406,26
407,39
408,31
409,28
410,33
411,31
412,27
413,34
414,34
415,22
416,30
417,43
418,30
419,35
420,37
421,42
422,37
423,30
424,26
425,37
426,30
427,31
428,40
429,39
430,41
431,48
432,43
433,44
434,50
435,74
436,64
437,67
438,68
439,93
440,92
441,92
442,112
443,99
444,140
445,133
446,157
447,175
448,161
449,186
450,187
451,211
452,216
453,284
454,269
455,273
456,299
457,357
458,383
459,403
460,408
461,416
462,397
463,446
464,465
465,420
466,453
467,436
468,457
469,461
470,446
471,497
472,461
473,470
474,462
475,478
476,500
477,481
478,488
479,519
480,569
481,552
482,513
483,562
484,586
485,587
486,596
487,611
488,657
489,678
490,731
491,781
492,784
493,792
494,801
495,785
496,900
497,963
498,959
499,995
500,1035
501,1078
502,1069
503,1081
504,1121
505,1199
506,1163
507,1137
508,1190
509,1241
510,1250
511,1244
512,1291
513,1215
514,1180
515,1162
516,1197
517,1219
518,1196
519,1216
520,1264
521,1270
522,1265
523,1339
524,1312
525,1251
526,1300
527,1205
528,1142
529,1255
530,1162
531,1089
532,1065
533,1057
534,1032
535,972
536,950
537,1049
538,939
539,921
540,757
541,752
542,732
543,738
544,727
545,625
546,591
547,538
548,516
549,506
550,479
551,422
552,430
553,427
554,395
555,403
556,338
557,348
558,334
559,308
560,284
561,285
562,302
563,295
564,270
565,262
566,248
567,267
568,243
569,216
570,234
571,219
572,207
573,215
574,222
575,207
576,176
577,195
578,159
579,168
580,174
581,163
582,197
583,178
584,168
585,146
586,141
587,129
588,152
589,156
590,146
591,150
592,143
593,147
594,131
595,135
596,120
597,124
598,139
599,137
600,110
601,97
602,126
603,137
604,112
605,99
606,113
607,89
608,97
609,96
610,85
611,89
612,97
613,84
614,114
615,87
616,78
617,74
618,92
619,76
620,101
621,109
622,106
623,89
624,84
625,106
626,100
627,86
628,109
629,91
630,101
631,85
632,98
633,99
634,105
635,91
636,105
637,104
638,131
639,101
640,106
641,100
642,123
643,113
644,108
645,126
646,101
