sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,6,0,214,2493,0,18,2,0
0,1,0,0,2,2867,0,4,0,0
1,0,373,0,244,2493,0,41,2,0
1,1,2,0,4,3234,0,79,0,0
2,0,765,0,257,2493,0,64,2,0
2,1,4,0,7,3594,0,183,0,0
3,0,1120,0,294,2493,0,112,3,0
3,1,4,0,9,4024,0,257,0,0
4,0,1550,0,312,2493,0,136,3,0
4,1,5,0,10,4366,0,341,0,0
5,0,2028,0,312,2493,0,162,3,0
5,1,5,0,12,4733,0,429,0,0
6,0,2505,0,313,2493,0,188,3,0
6,1,6,0,13,5099,0,517,0,0
7,0,2971,0,325,2493,0,213,4,0
7,1,6,0,13,5466,0,606,0,0
8,0,3431,0,345,2493,0,239,4,0
8,1,6,0,15,5833,0,695,1,0
9,0,3908,0,345,2493,0,265,4,0
9,1,6,0,15,6197,0,783,1,0
10,0,4373,0,357,2493,0,291,5,0
10,1,7,0,17,6561,0,872,1,0
11,0,4807,0,402,2493,0,317,5,0
11,1,8,0,18,6923,0,963,1,0
12,0,5266,0,421,2493,0,343,5,0
12,1,8,0,19,7289,0,1052,1,0
13,0,5724,0,442,2493,0,369,6,0
13,1,8,0,19,7654,0,1143,1,0
14,0,6188,0,455,2493,0,396,6,0
14,1,8,0,22,8020,0,1231,1,0
15,0,6652,0,469,2493,0,422,6,0
15,1,8,0,23,8383,0,1321,1,0
16,0,7075,0,522,2493,0,448,6,0
16,1,8,0,24,8747,0,1410,2,0
17,0,7539,0,537,2493,0,474,7,0
17,1,9,0,25,9114,0,1498,2,0
18,0,7973,0,580,2493,0,500,7,0
18,1,9,0,27,9480,0,1587,2,0
19,0,8423,0,608,2493,0,526,7,0
19,1,10,0,29,9842,0,1678,2,0
20,0,8887,0,621,2493,0,553,8,0
20,1,10,0,29,10205,0,1768,2,0
21,0,9363,0,621,2493,0,579,8,0
21,1,10,0,31,10566,0,1858,2,0
22,0,9839,0,623,2493,0,606,8,0
22,1,10,0,31,10931,0,1947,2,0
23,0,10305,0,636,2493,0,632,9,0
23,1,10,0,32,11295,0,2037,3,0
24,0,10936,0,641,2493,0,667,9,0
24,1,13,0,32,12015,0,2095,3,0
25,0,11491,0,648,2493,0,699,9,0
25,1,13,0,32,12753,0,2095,3,0
26,0,11958,0,688,2493,0,727,10,0
26,1,13,0,32,13433,0,2095,3,0
27,0,12430,0,710,2493,0,755,10,0
27,1,13,0,32,14100,0,2095,3,0
28,0,12891,0,731,2493,0,781,10,0
28,1,13,0,32,14753,0,2095,3,0
