bucket_us,count
164,2
167,2
168,1
169,1
170,3
171,3
172,2
173,4
174,5
175,2
176,3
177,1
178,1
179,3
180,1
181,4
182,4
183,5
185,3
186,5
187,3
188,2
189,2
190,3
191,4
192,2
193,4
194,5
195,5
196,6
197,4
198,5
199,5
200,6
201,7
202,4
203,4
204,3
205,3
206,5
207,6
208,2
209,4
210,7
211,2
212,5
213,5
214,3
216,4
217,2
218,2
219,3
220,4
221,5
222,1
223,5
224,3
225,4
226,3
227,8
228,3
229,3
230,4
231,6
232,4
233,1
234,3
235,4
236,2
237,2
238,8
239,6
240,6
241,3
242,5
243,3
244,2
245,5
246,7
247,4
248,3
249,6
250,4
251,8
252,6
253,4
254,4
255,4
256,3
257,7
258,8
259,4
260,3
261,1
262,9
263,4
264,3
265,4
266,3
267,6
268,1
269,4
270,4
271,3
272,2
273,2
274,5
275,2
276,1
277,3
278,8
279,4
280,5
281,5
282,2
283,5
284,2
285,2
286,2
287,4
288,2
289,4
290,5
291,5
292,3
293,6
294,4
295,3
296,3
297,6
298,4
299,2
300,6
301,2
302,1
303,2
304,3
305,4
306,5
307,2
308,1
309,5
310,4
311,2
312,2
313,3
314,3
315,6
316,1
317,2
319,3
320,4
321,8
322,8
323,4
324,2
325,8
326,3
327,5
328,8
329,7
330,9
331,9
332,6
333,4
334,12
335,11
336,12
337,6
338,10
339,13
340,8
341,10
342,7
343,14
344,9
345,9
346,11
347,8
348,14
349,7
350,11
351,9
352,13
353,8
354,7
355,9
356,6
357,17
358,13
359,10
360,20
361,11
362,10
363,14
364,11
365,15
366,7
367,10
368,12
369,18
370,15
371,13
372,14
373,9
374,9
375,15
376,12
377,13
378,10
379,12
380,16
381,8
382,10
383,9
384,3
385,10
386,6
387,12
388,10
389,11
390,8
391,15
392,16
393,10
394,11
395,6
396,10
397,11
398,10
399,7
400,10
401,15
402,7
403,9
404,6
405,12
406,4
407,10
408,10
409,11
410,11
411,12
412,6
413,10
414,7
415,13
416,10
417,10
418,19
419,14
420,8
421,9
422,10
423,8
424,13
425,8
426,18
427,16
428,15
429,20
430,18
431,31
432,21
433,41
434,32
435,44
436,37
437,55
438,65
439,54
440,51
441,63
442,72
443,55
444,63
445,59
446,61
447,53
448,56
449,68
450,62
451,71
452,59
453,69
454,81
455,60
456,90
457,96
458,81
459,83
460,86
461,85
462,105
463,90
464,95
465,96
466,87
467,109
468,96
469,104
470,124
471,119
472,106
473,122
474,122
475,127
476,132
477,130
478,147
479,150
480,141
481,147
482,153
483,154
484,142
485,162
486,168
487,185
488,164
489,159
490,173
491,189
492,171
493,157
494,196
495,234
496,232
497,217
498,222
499,224
500,228
501,220
502,236
503,249
504,237
505,236
506,234
507,228
508,240
