sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,6,0,215,2475,0,18,1,0
0,1,0,0,1,2878,0,5,0,0
1,0,391,0,247,2475,0,40,2,0
1,1,2,0,5,3261,0,84,0,0
2,0,834,0,284,2475,0,65,2,0
2,1,2,0,10,3629,0,172,0,0
3,0,1283,0,315,2475,0,89,2,0
3,1,2,0,15,3998,0,261,0,0
4,0,1737,0,342,2475,0,113,2,0
4,1,3,0,18,4367,0,350,0,0
5,0,2215,0,342,2475,0,137,3,0
5,1,4,0,22,4732,0,440,0,0
6,0,2695,0,344,2475,0,162,3,0
6,1,5,0,24,5099,0,531,0,0
7,0,3160,0,357,2475,0,186,3,0
7,1,5,0,27,5467,0,620,0,0
8,0,3636,0,362,2475,0,210,4,0
8,1,6,0,29,5834,0,710,0,0
9,0,4114,0,362,2475,0,235,4,0
9,1,6,0,32,6200,0,801,0,0
10,0,4546,0,409,2475,0,260,4,0
10,1,6,0,35,6590,0,893,0,0
11,0,4897,0,436,2475,0,283,5,0
11,1,7,0,38,7007,0,1020,1,0
12,0,5492,0,474,2475,0,317,5,0
12,1,11,0,41,7724,0,1080,1,0
13,0,6036,0,493,2475,0,348,5,0
13,1,11,0,41,8461,0,1080,1,0
14,0,6516,0,527,2475,0,374,6,0
14,1,11,0,41,9148,0,1080,1,0
15,0,6961,0,557,2475,0,399,6,0
15,1,11,0,41,9791,0,1080,1,0
