sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10795984,79543018064,79543814048,795984
1,20658528,79553018064,79553676592,658528
2,30563440,79563018064,79563581504,563440
3,40549856,79573018064,79573567920,549856
4,50535040,79583018064,79583553104,535040
5,60483280,79593018064,79593501344,483280
6,70558256,79603018064,79603576320,558256
7,80548032,79613018064,79613566096,548032
8,90551952,79623018064,79623570016,551952
9,100549552,79633018064,79633567616,549552
10,110526688,79643018064,79643544752,526688
11,120545440,79653018064,79653563504,545440
12,130571168,79663018064,79663589232,571168
13,140492064,79673018064,79673510128,492064
14,150533616,79683018064,79683551680,533616
15,160544352,79693018064,79693562416,544352
16,170579856,79703018064,79703597920,579856
17,180567728,79713018064,79713585792,567728
18,190562512,79723018064,79723580576,562512
19,200538720,79733018064,79733556784,538720
20,210571920,79743018064,79743589984,571920
21,220549840,79753018064,79753567904,549840
22,230517280,79763018064,79763535344,517280
23,240558560,79773018064,79773576624,558560
24,250781072,79783018064,79783799136,781072
25,260741712,79793018064,79793759776,741712
26,270617472,79803018064,79803635536,617472
27,280544592,79813018064,79813562656,544592
28,290586368,79823018064,79823604432,586368
29,300570304,79833018064,79833588368,570304
30,310534368,79843018064,79843552432,534368
31,320534832,79853018064,79853552896,534832
32,330530240,79863018064,79863548304,530240
33,340540768,79873018064,79873558832,540768
34,350524864,79883018064,79883542928,524864
35,360455440,79893018064,79893473504,455440
36,370557680,79903018064,79903575744,557680
37,380499104,79913018064,79913517168,499104
38,390554912,79923018064,79923572976,554912
39,400560976,79933018064,79933579040,560976
40,410560352,79943018064,79943578416,560352
41,420544080,79953018064,79953562144,544080
42,430564240,79963018064,79963582304,564240
43,440559248,79973018064,79973577312,559248
44,450553424,79983018064,79983571488,553424
45,460564080,79993018064,79993582144,564080
46,470535216,80003018064,80003553280,535216
47,480584672,80013018064,80013602736,584672
48,490548368,80023018064,80023566432,548368
49,500545696,80033018064,80033563760,545696
50,510557312,80043018064,80043575376,557312
51,520562528,80053018064,80053580592,562528
52,530546432,80063018064,80063564496,546432
53,540588208,80073018064,80073606272,588208
54,550550816,80083018064,80083568880,550816
55,560580048,80093018064,80093598112,580048
56,570616832,80103018064,80103634896,616832
57,580607216,80113018064,80113625280,607216
58,590553600,80123018064,80123571664,553600
59,600490976,80133018064,80133509040,490976
60,610595152,80143018064,80143613216,595152
61,620502432,80153018064,80153520496,502432
62,630567792,80163018064,80163585856,567792
63,640493952,80173018064,80173512016,493952
64,650701808,80183018064,80183719872,701808
65,660588288,80193018064,80193606352,588288
66,670683184,80203018064,80203701248,683184
67,680565712,80213018064,80213583776,565712
68,690695184,80223018064,80223713248,695184
69,700475920,80233018064,80233493984,475920
70,710492112,80243018064,80243510176,492112
71,720558400,80253018064,80253576464,558400
72,730472880,80263018064,80263490944,472880
73,740496848,80273018064,80273514912,496848
74,750545104,80283018064,80283563168,545104
75,760579232,80293018064,80293597296,579232
76,770496912,80303018064,80303514976,496912
77,780547008,80313018064,80313565072,547008
78,790589728,80323018064,80323607792,589728
79,800517120,80333018064,80333535184,517120
80,810492480,80343018064,80343510544,492480
81,820573184,80353018064,80353591248,573184
82,830586432,80363018064,80363604496,586432
83,840472000,80373018064,80373490064,472000
84,850582656,80383018064,80383600720,582656
85,860548640,80393018064,80393566704,548640
86,870799968,80403018064,80403818032,799968
87,880784736,80413018064,80413802800,784736
88,890786896,80423018064,80423804960,786896
89,900548592,80433018064,80433566656,548592
90,910714320,80443018064,80443732384,714320
91,920684880,80453018064,80453702944,684880
92,930694752,80463018064,80463712816,694752
93,940501392,80473018064,80473519456,501392
94,950676352,80483018064,80483694416,676352
95,960724048,80493018064,80493742112,724048
96,970496832,80503018064,80503514896,496832
