bucket_us,count
159,1
160,1
161,5
162,8
163,16
164,16
165,20
166,21
167,31
168,38
169,40
170,34
171,43
172,37
173,47
174,48
175,45
176,47
177,44
178,53
179,58
180,44
181,55
182,61
183,63
184,56
185,46
186,59
187,67
188,80
189,76
190,75
191,63
192,76
193,60
194,71
195,69
196,88
197,57
198,72
199,80
200,79
201,73
202,65
203,61
204,71
205,50
206,67
207,67
208,64
209,65
210,71
211,55
212,45
213,45
214,47
215,57
216,59
217,50
218,49
219,62
220,51
221,52
222,59
223,53
224,50
225,54
226,54
227,45
228,51
229,52
230,53
231,37
232,40
233,37
234,53
235,56
236,60
237,27
238,54
239,44
240,41
241,49
242,53
243,51
244,50
245,39
246,40
247,41
248,32
249,43
250,35
251,49
252,45
253,42
254,42
255,39
256,37
257,44
258,44
259,41
260,39
261,30
262,35
263,43
264,27
265,32
266,36
267,37
268,38
269,47
270,31
271,27
272,36
273,34
274,35
275,37
276,32
277,36
278,32
279,27
280,21
281,22
282,34
283,23
284,31
285,21
286,40
287,26
288,32
289,34
290,29
291,34
292,29
293,23
294,28
295,34
296,30
297,18
298,22
299,26
300,30
301,38
302,37
303,35
304,34
305,38
306,42
307,44
308,50
309,45
310,58
311,68
312,46
313,36
314,47
315,61
316,53
317,49
318,66
319,61
320,63
321,61
322,69
323,59
324,78
325,66
326,64
327,69
328,66
329,72
330,94
331,84
332,79
333,89
334,73
335,95
336,95
337,106
338,110
339,110
340,102
341,107
342,93
343,104
344,122
345,113
346,113
347,145
348,144
349,142
350,173
351,153
352,160
353,189
354,224
355,204
356,218
357,201
358,227
359,248
360,286
361,231
362,261
363,285
364,284
365,266
366,263
367,272
368,273
369,279
370,266
371,254
372,256
373,247
374,269
375,290
376,247
377,277
378,244
379,237
380,228
381,247
382,262
383,241
384,261
385,230
386,242
387,243
388,242
389,252
390,212
391,243
392,247
393,245
394,249
395,262
396,318
397,324
398,404
399,420
400,458
401,499
402,610
403,653
404,742
405,765
406,868
407,938
408,1041
409,1105
410,1204
411,1196
412,1274
413,1324
414,1270
415,1416
416,1395
417,1441
418,1439
419,1462
420,1488
421,1527
422,1554
423,1539
424,1614
425,1589
426,1733
427,1766
428,1715
429,1871
430,1863
431,1842
432,1908
433,1939
434,2073
435,2068
436,2192
437,2092
438,2222
439,2179
440,2275
441,2287
442,2379
443,2409
444,2579
445,2533
446,2609
447,2621
448,2720
449,2701
450,2815
451,2865
452,3039
453,3033
454,3046
455,3169
456,3333
457,3242
458,3248
459,3301
460,3351
461,3318
462,3482
463,3282
464,3468
465,3362
466,3272
467,3278
468,3304
469,3268
470,3290
471,3369
472,3302
473,3230
474,3284
475,3189
476,3354
477,3208
478,3360
479,3401
480,3505
481,3513
482,3760
483,3671
484,3958
485,4069
486,4325
487,4431
488,4672
489,4651
490,4904
491,5032
492,5298
493,5349
494,5693
495,5837
496,5937
497,6085
498,6284
499,6232
500,6530
501,6521
502,6705
503,6673
504,6786
505,6765
506,6836
507,6942
508,6941
509,6854
510,7128
511,7216
512,7357
513,7441
514,7728
515,7635
516,7640
517,7684
518,7832
519,7810
520,7926
521,7772
522,7973
523,7662
524,7705
525,7614
526,7681
527,7671
528,7702
529,7585
530,7482
531,7301
532,7305
533,7191
534,7314
535,6850
536,6927
537,6813
538,6709
539,6530
540,6520
541,6415
542,6474
543,6147
544,6487
545,6263
546,6318
547,6243
548,6028
549,5843
550,5571
551,5375
552,5412
553,4902
554,4899
555,4547
556,4443
557,4080
558,3990
559,3688
560,3616
561,3385
562,3365
563,3120
564,3011
565,2840
566,2802
567,2615
568,2450
569,2383
570,2181
571,2168
572,2195
573,1961
574,2002
575,1910
576,1842
577,1782
578,1769
579,1637
580,1560
581,1494
582,1431
583,1364
584,1340
585,1301
586,1249
587,1171
588,1153
589,1116
590,1109
591,1070
592,1162
593,1036
594,1001
595,981
596,964
597,901
598,921
599,907
600,920
601,899
602,924
603,858
604,875
605,881
606,884
607,841
608,854
609,858
610,884
611,852
612,905
613,934
614,916
615,893
616,899
617,967
618,1015
619,973
620,987
621,1001
622,1083
623,1079
624,1087
625,1126
626,1163
627,1103
628,1089
629,1124
630,1133
631,1116
632,1114
633,1086
634,1133
635,1095
636,1132
637,1058
638,1038
639,1030
640,997
641,1022
642,934
643,972
644,936
645,832
646,880
647,839
648,856
649,818
650,764
651,780
652,799
653,769
654,764
655,724
656,708
657,657
658,662
659,624
660,648
661,585
662,603
663,578
664,588
665,564
666,527
667,544
668,495
669,511
670,548
671,530
672,505
673,497
674,509
675,507
676,482
677,474
678,481
679,483
680,458
681,500
682,469
683,426
684,467
685,451
686,469
687,450
688,419
689,401
690,430
691,391
692,401
693,365
694,363
695,363
696,375
697,347
698,348
699,320
700,330
701,300
702,336
703,317
704,295
705,281
706,265
707,276
708,303
709,242
710,253
711,259
712,246
713,240
714,221
715,219
716,208
717,192
718,218
719,230
720,201
721,173
722,170
723,170
724,151
725,147
726,158
727,160
728,148
729,138
730,157
731,132
732,126
733,127
734,142
735,115
736,145
737,122
738,130
739,102
740,107
741,99
742,112
743,112
744,106
745,96
746,95
747,94
748,101
749,91
750,89
751,85
752,93
753,90
754,83
755,86
756,79
757,73
758,82
759,70
760,80
761,71
762,91
763,87
764,69
765,77
766,70
767,96
768,80
769,71
770,79
771,93
772,75
773,73
774,83
775,84
776,73
777,53
778,75
779,77
780,82
781,66
782,83
783,80
784,73
785,72
786,67
787,73
788,90
789,80
790,87
791,75
792,71
793,96
794,106
795,99
796,81
797,109
798,86
799,100
800,104
801,108
802,105
803,107
804,112
805,109
806,125
807,130
808,142
809,108
810,142
811,112
812,134
813,135
814,154
815,149
816,132
817,138
818,163
819,149
820,154
821,134
822,183
823,170
824,177
825,160
826,146
827,166
828,173
829,162
830,174
831,199
832,186
833,172
834,181
835,175
836,184
837,175
838,193
839,230
840,211
841,201
842,200
843,195
844,193
845,203
846,220
847,183
848,207
849,204
850,215
851,190
852,176
853,213
854,177
855,174
856,178
857,184
858,171
859,177
860,173
861,177
862,183
863,173
864,153
865,149
866,147
867,143
868,149
869,139
870,146
871,130
872,132
873,130
874,131
875,132
876,122
877,101
878,126
879,105
880,101
881,103
882,100
883,88
884,96
885,100
886,117
887,101
888,95
889,92
890,111
891,85
892,88
893,82
894,79
895,79
896,59
897,86
898,75
899,61
900,80
901,60
902,68
903,57
904,72
905,68
906,53
907,58
908,49
909,52
910,68
911,45
912,53
913,37
914,35
915,49
916,63
917,43
918,59
919,47
920,49
921,49
922,56
923,41
924,54
925,37
926,40
927,56
928,53
929,42
930,41
931,38
932,45
933,36
934,26
935,33
936,32
937,31
938,32
939,23
940,27
941,39
942,31
943,32
944,36
945,18
946,33
947,26
948,27
949,14
950,22
951,27
952,30
953,20
954,30
955,31
956,21
957,24
958,25
959,23
960,32
961,27
962,26
963,19
964,27
965,22
966,26
967,27
968,20
969,17
970,19
971,20
972,18
973,21
974,15
975,21
976,16
977,15
978,24
979,21
980,20
981,21
982,16
983,19
984,12
985,12
986,14
987,11
988,13
989,15
990,12
991,15
992,16
993,18
994,18
995,16
996,14
997,11
998,12
999,13
1000,14
1001,11
1002,19
1003,17
1004,12
1005,15
1006,10
1007,11
1008,16
1009,13
1010,14
1011,5
1012,9
1013,20
1014,12
1015,10
1016,13
1017,16
1018,9
1019,11
1020,12
1021,7
1022,12
1023,4
1024,11
1025,8
1028,1
1029,7
1030,5
1031,8
1032,12
1033,3
1034,11
1035,9
1036,10
1037,9
1038,6
1039,8
1040,5
1041,7
1042,9
1043,9
1044,11
1045,5
1046,7
1047,5
1048,5
1049,6
1050,6
1051,11
1052,9
1053,7
1054,4
1055,7
1056,7
1057,6
1058,3
1059,5
1060,5
1061,1
1062,4
1063,8
1064,4
1065,5
1066,2
1067,3
1068,4
1069,5
1070,5
1071,9
1072,2
1073,4
1074,3
1075,1
1076,4
1077,5
1078,3
1079,6
1080,5
1081,8
1082,4
1083,4
1084,5
1085,1
1086,6
1087,5
1088,5
1089,4
1090,4
1091,3
1092,7
1093,6
1094,5
1095,3
1096,3
1097,2
1098,2
1099,1
1100,3
1101,2
1102,1
1103,4
1104,7
1105,4
1106,3
1107,5
1108,4
1109,4
1111,4
1112,3
1114,2
1115,3
1116,2
1117,3
1118,3
1119,4
1120,3
1121,6
1122,2
1123,1
1124,5
1125,4
1126,5
1127,1
1128,3
1129,2
1130,3
1131,1
1132,1
1133,3
1134,2
1137,1
1138,2
1139,6
1140,1
1141,3
1142,2
1143,4
1144,1
1146,1
1147,3
1148,2
1149,1
1150,3
1151,2
1152,1
1153,2
1154,4
1155,6
1156,3
1157,4
1159,3
1160,1
1161,3
1162,3
1163,2
1164,2
1165,1
1167,2
1168,1
1169,2
1170,1
1171,5
1172,4
1173,1
1175,1
1176,2
1177,1
1179,3
1181,4
1182,4
1183,2
1184,3
1185,2
1186,1
1187,1
1189,2
1191,3
1192,1
1193,3
1194,1
1195,1
1196,1
1198,3
1199,2
1200,1
1201,2
1202,2
1204,1
1205,1
1208,1
1209,2
1210,1
1212,2
1213,2
1214,2
1216,3
1217,2
1218,1
1219,3
1220,1
1221,1
1222,1
1223,1
1224,1
1225,3
1226,1
1227,1
1228,1
1229,1
1230,1
1232,1
1233,1
1234,2
1235,1
1236,1
1237,1
1239,1
1240,3
1242,1
1244,2
1245,1
1246,2
1247,1
1248,2
1249,2
1250,3
1252,1
1253,1
1255,1
1257,3
1258,1
1259,1
1260,1
1261,4
1262,1
1264,1
1266,2
1267,3
1268,4
1269,4
1270,6
1271,3
1272,8
1273,1
1274,6
1275,4
1276,5
1277,9
1278,5
1279,5
1280,10
1281,3
1282,7
1283,9
1284,7
1285,8
1286,6
1287,10
1288,8
1289,6
1290,6
1291,10
1292,14
1293,8
1294,6
1295,6
1296,9
1297,7
1298,11
1299,14
1300,15
1301,6
1302,7
1303,6
1304,6
1305,6
1306,9
1307,9
1308,6
1309,10
1310,5
1311,7
1312,6
1313,5
1314,3
1315,8
1316,5
1317,4
1318,4
1319,6
1320,6
1321,6
1322,6
1323,5
1324,3
1325,12
1326,7
1327,5
1328,8
1329,3
1330,4
1331,6
1332,1
1333,7
1334,4
1335,9
1336,2
1337,4
1338,3
1339,8
1340,4
1341,4
1342,3
1343,3
1344,3
1345,5
1346,5
1347,2
1348,5
1349,4
1350,1
1351,5
1352,2
1353,6
1354,5
1355,5
1356,2
1357,3
1358,4
1359,8
1360,3
1361,1
1362,4
1363,3
1364,4
1365,1
1366,1
1367,3
1368,5
1369,1
1370,1
1371,2
1372,5
1373,6
1374,1
1376,3
1377,3
1378,3
1379,3
1380,2
1381,3
1382,1
1384,2
1385,1
1386,1
1387,2
1388,2
1389,2
1390,3
1391,1
1392,2
1394,2
1395,2
1396,2
1397,3
1398,1
1399,3
1400,3
1401,4
1403,2
1404,3
1406,3
1407,2
1411,3
1412,1
1415,1
1416,2
1418,1
1419,4
1420,1
1421,2
1422,3
1423,1
1424,3
1425,2
1426,2
1427,2
1428,2
1429,2
1430,2
1431,4
1432,1
1433,4
1434,1
1435,1
1436,3
1437,1
1438,1
1439,3
1440,2
1441,1
1442,3
1443,1
1444,1
1445,2
1446,3
