sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,3,0,218,2474,0,19,1,0
0,1,0,0,1,2864,0,30,0,0
1,0,5,0,219,2970,0,20,2,0
1,1,0,0,7,3226,0,134,0,0
2,0,5,0,221,3468,0,21,2,0
2,1,1,0,10,3589,0,211,0,0
3,0,5,0,222,3966,0,22,2,0
3,1,2,0,12,3998,0,274,0,0
4,0,5,0,224,4463,0,23,2,0
4,1,2,0,14,4374,0,359,0,0
5,0,5,0,225,4962,0,24,2,0
5,1,3,0,17,4746,0,449,0,0
6,0,6,0,227,5459,0,25,3,0
6,1,4,0,20,5117,0,538,0,0
7,0,6,0,228,5958,0,26,3,0
7,1,4,0,25,5487,0,628,1,0
8,0,6,0,230,6455,0,27,3,0
8,1,5,0,29,5855,0,720,1,0
9,0,6,0,231,6954,0,27,3,0
9,1,6,0,32,6225,0,811,1,0
10,0,7,0,232,7452,0,28,3,0
10,1,7,0,35,6595,0,900,1,0
11,0,7,0,233,7951,0,29,3,0
11,1,8,0,37,6965,0,990,1,0
12,0,7,0,235,8448,0,30,4,0
12,1,8,0,41,7336,0,1081,1,0
13,0,7,0,236,8947,0,31,4,0
13,1,9,0,42,7706,0,1170,1,0
14,0,7,0,237,9444,0,32,4,0
14,1,10,0,44,8076,0,1260,2,0
15,0,7,0,238,9943,0,33,4,0
15,1,11,0,46,8446,0,1350,2,0
16,0,7,0,240,10441,0,34,4,0
16,1,12,0,49,8815,0,1441,2,0
17,0,8,0,241,10939,0,35,4,0
17,1,13,0,52,9183,0,1531,2,0
18,0,8,0,242,11437,0,36,5,0
18,1,13,0,55,9553,0,1621,2,0
19,0,8,0,244,11935,0,37,5,0
19,1,14,0,57,9923,0,1711,2,0
20,0,9,0,246,12433,0,38,5,0
20,1,14,0,60,10298,0,1797,2,0
21,0,9,0,247,12932,0,39,5,0
21,1,15,0,64,10666,0,1888,2,0
22,0,9,0,248,13429,0,40,5,0
22,1,16,0,68,11036,0,1978,3,0
23,0,10,0,249,13928,0,41,5,0
23,1,16,0,70,11408,0,2066,3,0
24,0,10,0,251,14425,0,42,6,0
24,1,17,0,72,11779,0,2155,3,0
25,0,10,0,252,14924,0,42,6,0
25,1,17,0,73,12151,0,2243,3,0
26,0,10,0,254,15421,0,44,6,0
26,1,18,0,74,12520,0,2334,3,0
27,0,10,0,254,15920,0,44,6,0
27,1,19,0,78,12890,0,2424,3,0
28,0,11,0,256,16417,0,45,6,0
28,1,19,0,83,13259,0,2514,4,0
29,0,11,0,257,16916,0,46,7,0
29,1,20,0,85,13628,0,2603,4,0
30,0,11,0,258,17414,0,47,7,0
30,1,21,0,87,13999,0,2692,4,0
31,0,11,0,260,17913,0,48,7,0
31,1,22,0,90,14371,0,2781,4,0
32,0,11,0,261,18410,0,49,7,0
32,1,23,0,93,14742,0,2869,4,0
33,0,11,0,262,18909,0,50,7,0
33,1,23,0,94,15115,0,2957,4,0
34,0,11,0,264,19406,0,51,8,0
34,1,24,0,96,15486,0,3046,4,0
35,0,12,0,265,19905,0,52,8,0
35,1,24,0,97,15859,0,3134,5,0
36,0,12,0,266,20402,0,53,8,0
36,1,24,0,99,16230,0,3222,5,0
37,0,12,0,267,20901,0,54,8,0
37,1,25,0,101,16598,0,3314,5,0
38,0,12,0,269,21398,0,55,8,0
38,1,25,0,103,16970,0,3401,5,0
39,0,12,0,270,21897,0,56,8,0
39,1,26,0,105,17341,0,3490,5,0
40,0,13,0,271,22394,0,57,9,0
40,1,27,0,109,17709,0,3582,5,0
41,0,13,0,272,22893,0,58,9,0
41,1,29,0,112,18079,0,3672,5,0
42,0,13,0,274,23391,0,59,9,0
42,1,29,0,115,18450,0,3760,6,0
43,0,13,0,275,23890,0,59,9,0
43,1,30,0,117,18825,0,3847,6,0
44,0,14,0,276,24387,0,60,9,0
44,1,31,0,119,19195,0,3936,6,0
45,0,14,0,277,24886,0,61,9,0
45,1,32,0,124,19564,0,4026,6,0
46,0,15,0,279,25383,0,62,10,0
46,1,33,0,128,19932,0,4118,6,0
47,0,15,0,280,25882,0,63,10,0
47,1,34,0,133,20299,0,4210,6,0
48,0,15,0,281,26379,0,64,10,0
48,1,35,0,136,20669,0,4300,6,0
49,0,15,0,282,26878,0,65,10,0
49,1,36,0,138,21038,0,4391,7,0
50,0,16,0,284,27375,0,66,10,0
50,1,37,0,140,21411,0,4478,7,0
51,0,16,0,285,27874,0,67,11,0
51,1,37,0,143,21781,0,4568,7,0
52,0,16,0,287,28372,0,68,11,0
52,1,39,0,147,22150,0,4660,7,0
53,0,17,0,287,28870,0,69,11,0
53,1,39,0,151,22520,0,4749,7,0
54,0,17,0,290,29367,0,70,11,0
54,1,40,0,152,22891,0,4837,7,0
55,0,17,0,290,29866,0,71,11,0
55,1,40,0,154,23263,0,4926,7,0
56,0,17,0,291,30364,0,72,11,0
56,1,40,0,157,23636,0,5013,8,0
57,0,17,0,292,30862,0,73,12,0
57,1,41,0,160,24006,0,5102,8,0
58,0,17,0,294,31359,0,74,12,0
58,1,43,0,165,24373,0,5194,8,0
59,0,18,0,295,31858,0,75,12,0
59,1,44,0,167,24742,0,5285,8,0
60,0,18,0,296,32356,0,76,12,0
60,1,44,0,168,25114,0,5373,8,0
61,0,19,0,297,32854,0,77,12,0
61,1,44,0,169,25487,0,5461,8,0
62,0,19,0,299,33352,0,78,13,0
62,1,44,0,171,25857,0,5552,8,0
63,0,19,0,300,33851,0,79,13,0
63,1,44,0,172,26227,0,5641,9,0
64,0,19,0,301,34348,0,80,13,0
64,1,45,0,176,26596,0,5732,9,0
65,0,20,0,302,34847,0,81,13,0
65,1,47,0,179,26964,0,5823,9,0
66,0,20,0,304,35344,0,82,13,0
66,1,47,0,182,27336,0,5912,9,0
67,0,20,0,304,35843,0,83,14,0
67,1,48,0,184,27707,0,6001,9,0
68,0,20,0,306,36340,0,84,14,0
68,1,48,0,187,28074,0,6092,9,0
69,0,20,0,307,36839,0,84,14,0
69,1,50,0,189,28443,0,6183,9,0
70,0,21,0,309,37336,0,86,14,0
70,1,51,0,192,28811,0,6275,10,0
71,0,21,0,310,37835,0,87,14,0
71,1,52,0,193,29183,0,6363,10,0
72,0,22,0,311,38332,0,88,14,0
72,1,52,0,195,29551,0,6454,10,0
73,0,22,0,313,38830,0,89,15,0
73,1,53,0,199,29920,0,6545,10,0
74,0,22,0,314,39328,0,90,15,0
74,1,55,0,202,30288,0,6636,10,0
75,0,23,0,315,39827,0,91,15,0
75,1,58,0,205,30653,0,6728,10,0
76,0,23,0,316,40324,0,92,15,0
76,1,58,0,206,31023,0,6818,10,0
77,0,23,0,317,40823,0,93,15,0
77,1,59,0,211,31391,0,6909,11,0
78,0,24,0,318,41320,0,94,16,0
78,1,59,0,214,31761,0,6998,11,0
79,0,24,0,320,41819,0,94,16,0
79,1,61,0,218,32129,0,7089,11,0
80,0,24,0,321,42316,0,96,16,0
80,1,62,0,222,32498,0,7179,11,0
81,0,24,0,322,42815,0,96,16,0
81,1,62,0,226,32868,0,7269,11,0
82,0,24,0,323,43312,0,98,16,0
82,1,62,0,230,33237,0,7360,11,0
83,0,25,0,324,43811,0,98,17,0
83,1,63,0,235,33603,0,7453,11,0
84,0,25,0,326,44309,0,99,17,0
84,1,64,0,239,33973,0,7543,12,0
85,0,25,0,327,44808,0,100,17,0
85,1,66,0,241,34344,0,7633,12,0
86,0,25,0,328,45305,0,101,17,0
86,1,66,0,244,34713,0,7723,12,0
87,0,26,0,329,45804,0,102,17,0
87,1,67,0,247,35086,0,7812,12,0
88,0,27,0,330,46301,0,103,17,0
88,1,67,0,249,35458,0,7900,12,0
89,0,27,0,331,46800,0,104,18,0
89,1,68,0,253,35830,0,7988,12,0
90,0,28,0,332,47297,0,105,18,0
90,1,68,0,254,36203,0,8077,12,0
91,0,28,0,333,47796,0,106,18,0
91,1,68,0,256,36573,0,8167,12,0
92,0,28,0,336,48293,0,107,18,0
92,1,68,0,259,36939,0,8259,13,0
93,0,28,0,336,48792,0,108,18,0
93,1,69,0,265,37307,0,8349,13,0
94,0,28,0,339,49289,0,109,19,0
94,1,71,0,269,37675,0,8440,13,0
95,0,28,0,340,49788,0,110,19,0
95,1,71,0,273,38041,0,8533,13,0
96,0,28,0,341,50285,0,111,19,0
96,1,73,0,278,38408,0,8625,13,0
97,0,29,0,341,50784,0,112,19,0
97,1,73,0,281,38775,0,8716,13,0
98,0,29,0,344,51282,0,113,19,0
98,1,73,0,282,39144,0,8806,14,0
99,0,29,0,344,51780,0,114,20,0
99,1,74,0,283,39512,0,8897,14,0
100,0,29,0,346,52278,0,115,20,0
100,1,76,0,286,39879,0,8989,14,0
101,0,30,0,347,52776,0,116,20,0
101,1,77,0,291,40249,0,9078,14,0
102,0,30,0,349,53274,0,117,20,0
102,1,78,0,294,40619,0,9169,14,0
103,0,30,0,350,53773,0,118,20,0
103,1,79,0,297,40989,0,9258,14,0
104,0,30,0,352,54270,0,119,20,0
104,1,79,0,300,41358,0,9348,14,0
105,0,30,0,352,54769,0,120,21,0
105,1,79,0,301,41731,0,9436,14,0
106,0,30,0,354,55266,0,121,21,0
106,1,80,0,306,42101,0,9525,15,0
107,0,31,0,354,55765,0,122,21,0
107,1,82,0,309,42470,0,9616,15,0
108,0,31,0,356,56262,0,123,21,0
108,1,82,0,311,42841,0,9705,15,0
109,0,32,0,357,56761,0,123,21,0
109,1,83,0,312,43213,0,9793,15,0
110,0,33,0,358,57258,0,125,22,0
110,1,84,0,315,43581,0,9884,15,0
111,0,33,0,358,57757,0,125,22,0
111,1,84,0,317,43953,0,9973,15,0
112,0,34,0,360,58255,0,126,22,0
112,1,86,0,321,44319,0,10065,16,0
113,0,34,0,361,58754,0,127,22,0
113,1,88,0,326,44686,0,10156,16,0
114,0,34,0,363,59251,0,128,22,0
114,1,89,0,328,45054,0,10248,16,0
115,0,34,0,364,59750,0,129,22,0
115,1,90,0,331,45425,0,10337,16,0
116,0,35,0,365,60247,0,130,23,0
116,1,91,0,335,45796,0,10427,16,0
117,0,36,0,365,60746,0,131,23,0
117,1,91,0,337,46164,0,10518,16,0
118,0,37,0,367,61244,0,132,23,0
118,1,91,0,340,46538,0,10605,16,0
