VM-exit counters per physical CPU (12 reasons):
  cpu         irq     timer      mmio       wfi   hvc-smc    sysreg    gic-if       sgi    cpu-up  sys-down   nothing     other
    1       15239     15183     45849     15183         -         -         -         -         -         -         -         -
    2        1073       746     30408      1764         7         -         -       121         -         -        11         -
    3        1945      1853        52      2732         -         -         -        18         -         -         2         -
Host periodic scheduler ticks (event-driven timer IRQs excluded):
  cpu   0:       3278
  cpu   1:       3281
  cpu   2:       3279
  cpu   3:       3278
axvisor:$ 
[2Kaxvisor:$ v
[2Kaxvisor:$ vm
[2Kaxvisor:$ vm 
[2Kaxvisor:$ vm c
[2Kaxvisor:$ vm co
[2Kaxvisor:$ vm con
[2Kaxvisor:$ vm cons
[2Kaxvisor:$ vm conso
[2Kaxvisor:$ vm consol
[2Kaxvisor:$ vm console
[2Kaxvisor:$ vm console 
[2Kaxvisor:$ vm console 2
✓ Attached VM[2] console; use Ctrl+X, then h to return to the shell
PERIODIC LATENCY START
sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10538368,37072010144,37072548512,538368
1,20512288,37082010144,37082522432,512288
2,30535040,37092010144,37092545184,535040
3,40431760,37102010144,37102441904,431760
4,50465328,37112010144,37112475472,465328
5,60455664,37122010144,37122465808,455664
6,70537296,37132010144,37132547440,537296
7,80552992,37142010144,37142563136,552992
8,90504304,37152010144,37152514448,504304
9,100514848,37162010144,37162524992,514848
10,110499152,37172010144,37172509296,499152
11,120542048,37182010144,37182552192,542048
12,130530048,37192010144,37192540192,530048
13,140508768,37202010144,37202518912,508768
14,150491360,37212010144,37212501504,491360
15,160601984,37222010144,37222612128,601984
16,170535632,37232010144,37232545776,535632
17,180434304,37242010144,37242444448,434304
18,190435216,37252010144,37252445360,435216
19,200441808,37262010144,37262451952,441808
20,210519904,37272010144,37272530048,519904
21,220534240,37282010144,37282544384,534240
22,230506672,37292010144,37292516816,506672
23,240511856,37302010144,37302522000,511856
24,250504448,37312010144,37312514592,504448
25,260495392,37322010144,37322505536,495392
26,270467680,37332010144,37332477824,467680
27,280447936,37342010144,37342458080,447936
28,290513808,37352010144,37352523952,513808
29,300498352,37362010144,37362508496,498352
30,310567856,37372010144,37372578000,567856
31,320594064,37382010144,37382604208,594064
32,330527088,37392010144,37392537232,527088
33,340576240,37402010144,37402586384,576240
34,350547696,37412010144,37412557840,547696
35,360601424,37422010144,37422611568,601424
36,370526288,37432010144,37432536432,526288
37,380509712,37442010144,37442519856,509712
38,390506912,37452010144,37452517056,506912
39,400545440,37462010144,37462555584,545440
40,410532080,37472010144,37472542224,532080
41,420546544,37482010144,37482556688,546544
42,430515776,37492010144,37492525920,515776
43,440552160,37502010144,37502562304,552160
44,450531808,37512010144,37512541952,531808
45,460521840,37522010144,37522531984,521840
46,470515088,37532010144,37532525232,515088
47,480471232,37542010144,37542481376,471232
