bucket_us,count
126,1
133,1
138,1
139,7
140,2
141,2
142,1
143,6
144,5
145,7
146,3
147,4
148,8
149,5
150,7
151,5
152,7
153,4
154,5
155,12
156,11
157,11
158,19
159,20
160,26
161,28
162,46
163,49
164,61
165,60
166,73
167,95
168,98
169,98
170,92
171,129
172,105
173,134
174,126
175,138
176,138
177,140
178,131
179,157
180,168
181,145
182,139
183,147
184,160
185,173
186,182
187,157
188,172
189,178
190,172
191,165
192,164
193,171
194,179
195,152
196,180
197,174
198,183
199,167
200,144
201,170
202,150
203,180
204,165
205,150
206,155
207,178
208,140
209,166
210,170
211,157
212,163
213,156
214,167
215,170
216,158
217,150
218,193
219,175
220,162
221,156
222,147
223,148
224,149
225,156
226,146
227,151
228,139
229,153
230,154
231,142
232,169
233,155
234,167
235,155
236,155
237,163
238,164
239,160
240,180
241,160
242,203
243,201
244,232
245,256
246,292
247,324
248,374
249,457
250,601
251,632
252,804
253,943
254,1135
255,1309
256,1539
257,1762
258,2027
259,2153
260,2469
261,2664
262,2979
263,3266
264,3461
265,3774
266,4096
267,4195
268,4652
269,4816
270,5147
271,5473
272,5758
273,5883
274,6437
275,6731
276,7057
277,7087
278,7394
279,7007
280,7160
281,6705
282,6576
283,6332
284,6298
285,6266
286,6173
287,5891
288,5943
289,5695
290,5582
291,5489
292,5309
293,4997
294,4828
295,4653
296,4597
297,4361
298,4234
299,4109
300,4074
301,3870
302,3717
303,3636
304,3652
305,3566
306,3489
307,3297
308,3137
309,2863
310,2669
311,2538
312,2332
313,2272
314,2272
315,2011
316,2146
317,1926
318,1875
319,1860
320,1859
321,1706
322,1637
323,1508
324,1462
325,1377
326,1322
327,1198
328,1305
329,1236
330,1259
331,1141
332,1164
333,1099
334,1033
335,1018
336,1006
337,963
338,938
339,923
340,973
341,893
342,921
343,951
344,973
345,909
346,908
347,913
348,939
349,884
350,943
351,984
352,974
353,971
354,1009
355,952
356,983
357,938
358,1025
359,983
360,997
361,989
362,1005
363,991
364,1005
365,1016
366,1076
367,1008
368,1010
369,1042
370,1133
371,1085
372,1092
373,1130
374,1093
375,1070
376,1124
377,1078
378,1161
379,1145
380,1126
381,1139
382,1195
383,1218
384,1141
385,1094
386,1148
387,1127
388,1122
389,1116
390,1119
391,1057
392,1138
393,1141
394,1112
395,1125
396,1166
397,1130
398,1109
399,1122
400,1104
401,1132
402,1165
403,1086
404,1151
405,1104
406,1097
407,1079
408,1104
409,1144
410,1057
411,1023
412,1106
413,1052
414,1076
415,1003
416,1018
417,944
418,1054
419,945
420,1001
421,949
422,944
423,932
424,913
425,860
426,914
427,919
428,893
429,821
430,956
431,834
432,870
433,865
434,854
435,1011
436,981
437,979
438,1033
439,1000
440,1086
441,1102
442,1175
443,1249
444,1401
445,1414
446,1577
447,1588
448,1813
449,1928
450,2230
451,2331
452,2596
453,2916
454,3091
455,3447
456,3694
457,3942
458,4136
459,4420
460,4865
461,5178
462,5497
463,5638
464,6112
465,6320
466,6737
467,6881
468,7324
469,7312
470,7895
471,7815
472,8106
473,8425
474,8669
475,8736
476,8954
477,8727
478,9085
479,9180
480,9360
481,8978
482,9218
483,9030
484,9298
485,8990
486,9143
487,8834
488,8984
489,8789
490,8879
491,8955
492,8913
493,8863
494,9139
495,8999
496,9205
497,8999
498,9378
499,9121
500,9504
501,9332
502,9518
503,9546
504,9842
505,10098
506,10294
507,10343
508,10524
509,10395
510,10893
511,10807
512,11132
513,11036
514,11195
515,11303
516,11408
517,11059
518,11221
519,11085
520,11087
521,10789
522,10652
523,10339
524,10274
525,9856
526,9800
527,9211
528,9412
529,8794
530,8667
531,8362
532,8291
533,7786
534,7645
535,7497
536,7270
537,6847
538,6669
539,6507
540,6428
541,6138
542,6066
543,5815
544,5762
545,5640
546,5536
547,5324
548,5285
549,5056
550,4977
551,4712
552,4677
553,4531
554,4618
555,4396
556,4348
557,4123
558,3857
559,3989
560,3907
561,3613
562,3709
563,3568
564,3449
565,3296
566,3480
567,3301
568,3318
569,3278
570,3286
571,3242
572,3263
573,3171
574,3209
575,3178
576,3258
577,3080
578,3302
579,3302
580,3416
581,3348
582,3369
583,3324
584,3606
585,3457
586,3534
587,3501
588,3521
589,3531
590,3580
591,3502
592,3494
593,3421
594,3512
595,3460
596,3523
597,3411
598,3434
599,3192
600,3215
601,3143
602,3298
603,3056
604,2986
605,2957
606,2920
607,2922
608,2719
609,2739
610,2677
611,2562
612,2625
613,2475
614,2535
615,2334
616,2415
617,2306
618,2326
619,2309
620,2217
621,2186
622,2204
623,2220
624,2219
625,2172
626,2231
627,2193
628,2263
629,2202
630,2300
631,2186
632,2222
633,2187
634,2210
635,2210
636,2168
637,2226
638,2150
639,2219
640,2254
641,2149
642,2177
643,2217
644,2136
645,2147
646,2178
647,2056
648,2161
649,2086
650,2011
651,2124
652,2029
653,1988
654,2101
655,2043
656,1944
657,1888
658,1964
659,1852
660,1824
661,1802
662,1812
663,1796
664,1722
665,1741
666,1663
667,1685
668,1637
669,1594
670,1514
671,1528
672,1523
673,1429
674,1443
675,1393
676,1374
677,1363
678,1308
679,1268
680,1281
681,1211
682,1213
683,1151
684,1170
685,1145
686,1124
687,1075
688,1070
689,972
690,1031
691,946
692,980
693,914
694,878
695,871
696,887
697,882
698,823
699,838
700,811
701,795
702,784
703,761
704,751
705,716
706,722
707,670
708,638
709,677
710,671
711,654
712,651
713,591
714,627
715,569
716,619
717,567
718,521
719,543
720,537
721,504
722,508
723,509
724,476
725,458
726,459
727,471
728,478
729,426
730,459
731,446
732,443
733,446
734,436
735,426
736,421
737,425
738,435
739,450
740,409
741,402
742,376
743,388
744,381
745,381
746,395
747,382
748,400
749,388
750,368
751,388
752,358
753,342
754,358
755,375
756,397
757,341
758,345
759,353
760,316
761,341
762,342
763,348
764,347
765,330
766,356
767,315
768,336
769,317
770,365
771,315
772,328
773,319
774,335
775,333
776,340
777,299
778,352
779,312
780,326
781,301
782,273
783,241
784,247
785,259
786,255
787,256
788,262
789,243
790,223
791,217
792,231
793,231
794,240
795,235
796,217
797,202
798,238
799,226
800,223
801,231
802,238
803,215
804,235
805,208
806,250
807,204
808,215
809,207
810,68
812,13
813,50
814,114
815,165
816,227
817,206
818,234
819,189
820,198
821,208
822,252
823,217
824,229
825,209
826,223
827,203
828,211
829,207
830,229
831,212
832,204
833,188
834,199
835,202
836,202
837,222
838,205
839,183
840,206
841,204
842,175
843,194
844,195
845,186
846,195
847,188
848,209
849,166
850,183
851,199
852,179
853,174
854,194
855,164
856,198
857,146
858,183
859,149
860,176
861,157
862,154
863,141
864,169
865,160
866,158
867,144
868,155
869,165
870,165
871,166
872,168
873,133
874,146
875,127
876,134
877,164
878,172
879,117
880,141
881,124
882,144
883,137
