sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,6,0,214,2475,0,19,1,0
0,1,0,0,2,2867,0,5,0,0
1,0,8,0,215,2972,0,20,2,0
1,1,2,0,14,3258,0,80,0,0
2,0,8,0,217,3469,0,21,2,0
2,1,6,0,24,3644,0,159,0,0
3,0,8,0,218,3967,0,22,2,0
3,1,7,0,31,4019,0,254,0,0
4,0,8,0,220,4463,0,23,2,0
4,1,8,0,36,4394,0,341,0,0
5,0,8,0,221,4962,0,24,3,0
5,1,11,0,43,4762,0,433,0,0
6,0,8,0,223,5459,0,25,3,0
6,1,14,0,51,5128,0,527,1,0
7,0,10,0,223,5958,0,26,3,0
7,1,16,0,58,5500,0,616,1,0
8,0,10,0,225,6455,0,27,3,0
8,1,20,0,67,5863,0,713,1,0
9,0,10,0,227,6954,0,28,3,0
9,1,22,0,77,6231,0,805,1,0
10,0,10,0,228,7451,0,29,3,0
10,1,24,0,90,6601,0,893,1,0
11,0,10,0,229,7950,0,30,4,0
11,1,26,0,99,6968,0,986,1,0
12,0,10,0,230,8447,0,31,4,0
12,1,30,0,107,7339,0,1076,1,0
13,0,10,0,231,8946,0,32,4,0
13,1,32,0,116,7706,0,1170,2,0
14,0,10,0,233,9443,0,33,4,0
14,1,34,0,123,8075,0,1261,2,0
15,0,11,0,234,9942,0,34,4,0
15,1,36,0,130,8443,0,1352,2,0
16,0,12,0,235,10440,0,35,5,0
16,1,38,0,138,8812,0,1443,2,0
17,0,12,0,235,10938,0,36,5,0
17,1,40,0,145,9182,0,1534,2,0
18,0,12,0,237,11436,0,37,5,0
18,1,43,0,153,9550,0,1625,2,0
19,0,12,0,238,11935,0,38,5,0
19,1,47,0,162,9918,0,1718,2,0
20,0,13,0,239,12432,0,39,5,0
20,1,51,0,173,10284,0,1811,2,0
21,0,13,0,240,12931,0,40,5,0
21,1,54,0,182,10651,0,1904,3,0
22,0,13,0,242,13428,0,41,6,0
22,1,56,0,194,11018,0,1997,3,0
23,0,13,0,243,13927,0,42,6,0
23,1,60,0,201,11384,0,2091,3,0
24,0,14,0,245,14424,0,43,6,0
24,1,63,0,206,11751,0,2185,3,0
25,0,14,0,246,14923,0,44,6,0
25,1,66,0,216,12116,0,2280,3,0
26,0,14,0,248,15420,0,45,6,0
26,1,67,0,222,12483,0,2372,3,0
27,0,15,0,249,15919,0,46,7,0
27,1,70,0,231,12850,0,2465,3,0
28,0,15,0,250,16416,0,47,7,0
28,1,73,0,241,13216,0,2557,4,0
29,0,16,0,251,16915,0,48,7,0
29,1,75,0,248,13583,0,2650,4,0
30,0,16,0,253,17412,0,49,7,0
30,1,75,0,253,13952,0,2741,4,0
31,0,16,0,253,17911,0,50,7,0
31,1,77,0,261,14318,0,2834,4,0
32,0,17,0,255,18408,0,51,8,0
32,1,79,0,268,14686,0,2925,4,0
33,0,17,0,256,18907,0,51,8,0
33,1,82,0,276,15055,0,3016,4,0
34,0,17,0,258,19405,0,52,8,0
34,1,84,0,282,15421,0,3111,4,0
35,0,17,0,258,19904,0,53,8,0
35,1,86,0,292,15789,0,3204,4,0
36,0,17,0,260,20401,0,54,8,0
36,1,89,0,300,16154,0,3297,5,0
37,0,18,0,261,20900,0,55,8,0
37,1,91,0,308,16525,0,3386,5,0
38,0,18,0,263,21397,0,56,9,0
38,1,95,0,317,16893,0,3478,5,0
39,0,18,0,263,21896,0,57,9,0
39,1,99,0,324,17261,0,3571,5,0
40,0,19,0,265,22393,0,58,9,0
40,1,102,0,332,17630,0,3662,5,0
41,0,19,0,266,22892,0,59,9,0
41,1,105,0,339,18000,0,3753,5,0
42,0,20,0,267,23390,0,60,9,0
42,1,106,0,346,18372,0,3842,5,0
43,0,20,0,268,23889,0,61,10,0
43,1,107,0,357,18742,0,3932,6,0
44,0,20,0,269,24386,0,62,10,0
44,1,109,0,365,19112,0,4022,6,0
45,0,21,0,270,24885,0,63,10,0
45,1,111,0,370,19487,0,4108,6,0
46,0,21,0,272,25382,0,64,10,0
46,1,113,0,378,19854,0,4199,6,0
47,0,21,0,273,25881,0,65,10,0
47,1,115,0,385,20227,0,4287,6,0
48,0,21,0,275,26379,0,66,11,0
48,1,116,0,389,20599,0,4375,6,0
49,0,21,0,276,26877,0,66,11,0
49,1,120,0,394,20966,0,4468,6,0
50,0,21,0,278,27375,0,68,11,0
50,1,122,0,399,21332,0,4562,7,0
51,0,22,0,279,27874,0,69,11,0
51,1,124,0,405,21698,0,4655,7,0
52,0,22,0,280,28371,0,70,11,0
52,1,127,0,412,22064,0,4749,7,0
53,0,22,0,281,28870,0,71,11,0
53,1,130,0,420,22433,0,4840,7,0
54,0,23,0,284,29366,0,72,12,0
54,1,134,0,428,22797,0,4935,7,0
55,0,23,0,284,29865,0,73,12,0
55,1,138,0,438,23165,0,5025,7,0
56,0,23,0,286,30362,0,74,12,0
56,1,139,0,444,23542,0,5110,7,0
57,0,23,0,287,30861,0,75,12,0
57,1,142,0,455,23907,0,5204,7,0
58,0,23,0,289,31358,0,76,12,0
58,1,143,0,462,24276,0,5295,8,0
59,0,23,0,291,31857,0,77,13,0
59,1,145,0,468,24646,0,5385,8,0
60,0,23,0,292,32354,0,78,13,0
60,1,148,0,477,25012,0,5478,8,0
61,0,23,0,293,32853,0,78,13,0
61,1,149,0,485,25384,0,5566,8,0
62,0,24,0,295,33350,0,80,13,0
62,1,152,0,489,25754,0,5655,8,0
63,0,24,0,296,33849,0,81,13,0
63,1,153,0,494,26121,0,5747,8,0
64,0,24,0,298,34346,0,82,14,0
64,1,155,0,502,26489,0,5839,9,0
65,0,24,0,299,34845,0,83,14,0
65,1,157,0,509,26855,0,5933,9,0
66,0,25,0,300,35342,0,84,14,0
66,1,158,0,515,27224,0,6024,9,0
67,0,25,0,302,35841,0,85,14,0
67,1,163,0,524,27589,0,6119,9,0
68,0,26,0,303,36338,0,86,15,0
68,1,165,0,534,27955,0,6212,9,0
69,0,26,0,304,36837,0,87,15,0
69,1,166,0,543,28322,0,6304,10,0
70,0,26,0,306,37334,0,88,15,0
70,1,169,0,549,28691,0,6396,10,0
71,0,26,0,307,37833,0,89,15,0
71,1,170,0,558,29059,0,6487,10,0
72,0,26,0,308,38330,0,90,15,0
72,1,172,0,566,29422,0,6582,10,0
73,0,26,0,309,38829,0,90,16,0
73,1,174,0,571,29789,0,6675,10,0
74,0,27,0,311,39327,0,92,16,0
74,1,177,0,576,30158,0,6765,10,0
75,0,27,0,312,39825,0,93,16,0
75,1,179,0,584,30526,0,6856,10,0
76,0,27,0,314,40323,0,94,16,0
76,1,180,0,590,30896,0,6946,11,0
77,0,27,0,315,40822,0,94,16,0
77,1,183,0,593,31264,0,7037,11,0
78,0,27,0,317,41319,0,95,16,0
78,1,185,0,598,31630,0,7130,11,0
79,0,27,0,318,41818,0,96,17,0
79,1,188,0,606,31997,0,7224,11,0
80,0,27,0,320,42314,0,98,17,0
80,1,190,0,615,32363,0,7318,11,0
81,0,28,0,321,42813,0,98,17,0
81,1,194,0,624,32730,0,7411,11,0
82,0,28,0,322,43310,0,99,17,0
82,1,196,0,633,33095,0,7504,11,0
83,0,28,0,323,43809,0,100,17,0
83,1,198,0,641,33463,0,7596,12,0
84,0,28,0,325,44307,0,101,18,0
84,1,200,0,651,33832,0,7687,12,0
85,0,29,0,325,44805,0,102,18,0
85,1,202,0,658,34198,0,7781,12,0
86,0,29,0,327,45303,0,103,18,0
86,1,203,0,664,34563,0,7876,12,0
87,0,29,0,328,45801,0,104,18,0
87,1,206,0,672,34928,0,7971,12,0
88,0,30,0,329,46299,0,105,18,0
88,1,207,0,678,35298,0,8061,12,0
89,0,30,0,330,46797,0,106,18,0
89,1,209,0,685,35669,0,8150,12,0
90,0,31,0,332,47295,0,107,19,0
90,1,210,0,693,36033,0,8244,13,0
91,0,31,0,333,47793,0,108,19,0
91,1,210,0,700,36403,0,8334,13,0
92,0,31,0,335,48291,0,109,19,0
92,1,213,0,708,36770,0,8428,13,0
93,0,31,0,335,48790,0,110,19,0
93,1,215,0,715,37136,0,8520,13,0
94,0,31,0,338,49287,0,111,19,0
94,1,216,0,727,37502,0,8614,13,0
95,0,31,0,338,49786,0,112,20,0
95,1,219,0,733,37867,0,8709,13,0
96,0,31,0,340,50283,0,113,20,0
96,1,220,0,740,38236,0,8801,13,0
97,0,32,0,340,50782,0,114,20,0
97,1,222,0,748,38602,0,8894,13,0
98,0,32,0,342,51279,0,115,20,0
98,1,226,0,757,38968,0,8988,14,0
99,0,33,0,342,51778,0,116,20,0
99,1,227,0,766,39332,0,9082,14,0
100,0,33,0,344,52275,0,117,21,0
100,1,230,0,776,39697,0,9176,14,0
101,0,33,0,345,52774,0,118,21,0
101,1,234,0,788,40059,0,9270,14,0
102,0,34,0,347,53271,0,119,21,0
102,1,235,0,799,40425,0,9364,14,0
103,0,34,0,348,53770,0,120,21,0
103,1,238,0,807,40791,0,9457,14,0
104,0,34,0,349,54267,0,121,21,0
104,1,241,0,814,41159,0,9549,14,0
105,0,34,0,350,54766,0,122,21,0
105,1,242,0,824,41527,0,9639,14,0
106,0,34,0,352,55264,0,123,22,0
106,1,244,0,830,41897,0,9730,15,0
107,0,34,0,354,55762,0,124,22,0
107,1,247,0,836,42263,0,9825,15,0
108,0,35,0,355,56260,0,125,22,0
108,1,248,0,842,42632,0,9917,15,0
109,0,36,0,355,56759,0,126,22,0
109,1,253,0,848,43004,0,10004,15,0
110,0,36,0,357,57255,0,127,22,0
110,1,254,0,854,43371,0,10096,15,0
111,0,36,0,358,57754,0,128,22,0
111,1,256,0,864,43740,0,10185,15,0
112,0,37,0,360,58251,0,129,23,0
112,1,258,0,875,44101,0,10282,15,0
113,0,37,0,361,58750,0,130,23,0
113,1,262,0,886,44460,0,10381,15,0
114,0,37,0,363,59248,0,131,23,0
114,1,264,0,893,44826,0,10474,16,0
115,0,37,0,364,59747,0,131,23,0
115,1,265,0,898,45191,0,10567,16,0
116,0,37,0,366,60244,0,133,23,0
116,1,268,0,904,45560,0,10657,16,0
117,0,37,0,368,60743,0,134,24,0
117,1,269,0,913,45927,0,10750,16,0
118,0,37,0,370,61240,0,135,24,0
118,1,272,0,923,46293,0,10843,16,0
119,0,37,0,371,61739,0,135,24,0
119,1,274,0,932,46660,0,10936,16,0
120,0,38,0,372,62236,0,137,24,0
120,1,275,0,936,47027,0,11029,16,0
121,0,38,0,374,62735,0,137,24,0
121,1,276,0,942,47398,0,11117,17,0
122,0,38,0,375,63233,0,138,24,0
122,1,279,0,952,47767,0,11208,17,0
123,0,39,0,375,63731,0,139,25,0
123,1,282,0,959,48134,0,11302,17,0
124,0,39,0,377,64228,0,141,25,0
124,1,284,0,968,48500,0,11395,17,0
125,0,40,0,377,64727,0,142,25,0
125,1,287,0,975,48866,0,11488,17,0
126,0,40,0,379,65225,0,143,25,0
126,1,287,0,979,49241,0,11575,17,0
127,0,40,0,380,65724,0,143,25,0
127,1,288,0,986,49611,0,11664,17,0
128,0,40,0,382,66221,0,144,26,0
128,1,290,0,992,49978,0,11755,18,0
129,0,41,0,382,66720,0,145,26,0
129,1,292,0,998,50350,0,11843,18,0
130,0,41,0,383,67217,0,146,26,0
130,1,294,0,1007,50717,0,11935,18,0
131,0,42,0,384,67716,0,147,26,0
131,1,298,0,1015,51086,0,12027,18,0
132,0,42,0,385,68214,0,148,26,0
132,1,299,0,1020,51458,0,12115,18,0
133,0,42,0,386,68713,0,149,26,0
133,1,302,0,1027,51824,0,12209,18,0
134,0,42,0,388,69210,0,150,27,0
134,1,303,0,1031,52194,0,12299,18,0
135,0,43,0,389,69709,0,151,27,0
135,1,306,0,1036,52560,0,12394,18,0
136,0,43,0,391,70206,0,152,27,0
136,1,307,0,1046,52925,0,12488,19,0
137,0,43,0,391,70705,0,153,27,0
137,1,308,0,1054,53291,0,12581,19,0
138,0,44,0,393,71202,0,154,27,0
138,1,310,0,1061,53660,0,12673,19,0
139,0,44,0,394,71701,0,155,28,0
139,1,313,0,1067,54033,0,12759,19,0
140,0,44,0,396,72198,0,156,28,0
140,1,316,0,1078,54400,0,12852,19,0
141,0,44,0,396,72697,0,157,28,0
141,1,319,0,1087,54768,0,12944,19,0
142,0,44,0,398,73194,0,158,28,0
142,1,322,0,1094,55138,0,13033,19,0
143,0,45,0,399,73693,0,159,28,0
143,1,325,0,1104,55503,0,13126,20,0
144,0,45,0,401,74191,0,160,29,0
144,1,327,0,1113,55871,0,13218,20,0
145,0,45,0,401,74689,0,160,29,0
145,1,331,0,1123,56235,0,13313,20,0
146,0,46,0,403,75187,0,162,29,0
146,1,333,0,1133,56600,0,13405,20,0
147,0,46,0,404,75685,0,162,29,0
147,1,335,0,1142,56965,0,13499,20,0
148,0,46,0,405,76183,0,164,29,0
148,1,337,0,1151,57332,0,13592,20,0
149,0,46,0,406,76682,0,164,29,0
149,1,340,0,1161,57701,0,13681,20,0
150,0,46,0,407,77179,0,165,30,0
150,1,342,0,1168,58073,0,13768,21,0
151,0,47,0,408,77678,0,166,30,0
151,1,344,0,1176,58441,0,13860,21,0
152,0,47,0,410,78175,0,167,30,0
152,1,347,0,1182,58809,0,13952,21,0
153,0,48,0,411,78674,0,168,30,0
153,1,349,0,1191,59181,0,14039,21,0
154,0,48,0,412,79171,0,169,30,0
154,1,353,0,1201,59549,0,14130,21,0
155,0,48,0,413,79670,0,170,31,0
155,1,356,0,1208,59914,0,14225,21,0
156,0,48,0,415,80167,0,171,31,0
156,1,358,0,1216,60279,0,14319,21,0
157,0,48,0,416,80666,0,172,31,0
157,1,359,0,1227,60643,0,14413,21,0
158,0,49,0,417,81163,0,173,31,0
158,1,362,0,1233,61008,0,14507,22,0
159,0,49,0,418,81662,0,174,31,0
159,1,363,0,1239,61374,0,14599,22,0
160,0,49,0,420,82160,0,175,32,0
160,1,365,0,1243,61740,0,14692,22,0
161,0,49,0,421,82659,0,176,32,0
161,1,366,0,1249,62113,0,14779,22,0
162,0,50,0,422,83156,0,177,32,0
162,1,367,0,1252,62483,0,14869,22,0
163,0,50,0,424,83655,0,178,32,0
163,1,368,0,1258,62852,0,14959,22,0
164,0,50,0,426,84152,0,179,32,0
164,1,370,0,1265,63222,0,15049,22,0
165,0,50,0,427,84651,0,179,32,0
165,1,373,0,1274,63591,0,15139,22,0
166,0,50,0,428,85149,0,180,33,0
166,1,375,0,1282,63961,0,15229,23,0
167,0,50,0,429,85648,0,181,33,0
167,1,378,0,1288,64334,0,15316,23,0
168,0,51,0,430,86145,0,182,33,0
168,1,381,0,1298,64701,0,15409,23,0
169,0,51,0,431,86644,0,183,33,0
169,1,383,0,1309,65067,0,15502,23,0
170,0,52,0,432,87141,0,184,33,0
170,1,386,0,1318,65431,0,15598,23,0
171,0,52,0,433,87640,0,185,33,0
171,1,388,0,1326,65797,0,15692,23,0
172,0,52,0,435,88137,0,186,34,0
172,1,389,0,1332,66163,0,15786,23,0
173,0,52,0,436,88636,0,187,34,0
173,1,392,0,1344,66525,0,15883,24,0
174,0,53,0,437,89133,0,188,34,0
174,1,394,0,1351,66898,0,15970,24,0
175,0,53,0,438,89632,0,189,34,0
175,1,398,0,1361,67262,0,16064,24,0
176,0,53,0,439,90129,0,190,35,0
176,1,404,0,1375,67623,0,16161,24,0
177,0,54,0,440,90628,0,191,35,0
177,1,406,0,1384,67989,0,16253,24,0
178,0,54,0,442,91125,0,192,35,0
178,1,406,0,1390,68353,0,16346,24,0
179,0,54,0,443,91624,0,193,35,0
179,1,408,0,1399,68721,0,16438,24,0
180,0,54,0,445,92122,0,194,35,0
180,1,409,0,1407,69091,0,16527,25,0
181,0,54,0,446,92621,0,195,35,0
181,1,411,0,1412,69466,0,16611,25,0
182,0,55,0,447,93118,0,196,36,0
182,1,413,0,1421,69833,0,16704,25,0
183,0,55,0,448,93617,0,197,36,0
183,1,415,0,1427,70201,0,16795,25,0
184,0,56,0,450,94114,0,198,36,0
184,1,415,0,1432,70575,0,16882,25,0
185,0,56,0,451,94613,0,199,36,0
185,1,416,0,1439,70944,0,16972,25,0
186,0,57,0,452,95110,0,200,36,0
186,1,420,0,1447,71312,0,17064,25,0
187,0,57,0,453,95609,0,201,36,0
187,1,423,0,1456,71680,0,17156,26,0
188,0,57,0,455,96106,0,202,37,0
188,1,425,0,1463,72046,0,17249,26,0
189,0,57,0,456,96605,0,203,37,0
189,1,428,0,1469,72411,0,17341,26,0
190,0,58,0,458,97102,0,204,37,0
190,1,430,0,1478,72781,0,17432,26,0
191,0,59,0,459,97601,0,205,37,0
191,1,434,0,1483,73146,0,17527,26,0
192,0,59,0,460,98098,0,206,37,0
192,1,436,0,1494,73511,0,17621,26,0
193,0,59,0,461,98597,0,207,38,0
193,1,438,0,1502,73876,0,17715,26,0
194,0,59,0,463,99093,0,208,38,0
194,1,440,0,1510,74245,0,17806,26,0
195,0,60,0,465,99593,0,209,38,0
195,1,442,0,1519,74613,0,17899,27,0
196,0,60,0,466,100089,0,211,38,0
196,1,443,0,1526,74980,0,17992,27,0
197,0,60,0,467,100588,0,211,38,0
197,1,445,0,1533,75345,0,18085,27,0
198,0,60,0,469,101085,0,212,38,0
198,1,448,0,1542,75711,0,18176,27,0
199,0,60,0,470,101584,0,213,39,0
199,1,451,0,1547,76088,0,18261,27,0
200,0,61,0,472,102081,0,215,39,0
200,1,454,0,1554,76457,0,18351,27,0
201,0,62,0,472,102579,0,216,39,0
201,1,456,0,1561,76824,0,18443,27,0
202,0,62,0,474,103077,0,217,39,0
202,1,458,0,1567,77192,0,18533,28,0
203,0,62,0,475,103576,0,217,39,0
203,1,460,0,1574,77561,0,18624,28,0
204,0,63,0,476,104073,0,219,40,0
204,1,462,0,1579,77926,0,18718,28,0
205,0,64,0,477,104572,0,219,40,0
205,1,465,0,1587,78294,0,18810,28,0
206,0,64,0,479,105069,0,221,40,0
206,1,466,0,1594,78661,0,18903,28,0
207,0,64,0,480,105568,0,221,40,0
207,1,469,0,1600,79027,0,18995,28,0
208,0,64,0,482,106065,0,222,40,0
208,1,470,0,1606,79395,0,19087,28,0
209,0,64,0,483,106564,0,223,41,0
