VM-exit counters per physical CPU (12 reasons):
  cpu         irq     timer      mmio       wfi   hvc-smc    sysreg    gic-if       sgi    cpu-up  sys-down   nothing     other
    1       15357     15118     45654     15117         -         -         -         -         -         -         -         -
    2        1040       740     30413      1628         7         -         -       123         -         -        11         -
    3        1721      1677        52      2544         -         -         -        19         -         -         2         -
Host periodic scheduler ticks (event-driven timer IRQs excluded):
  cpu   0:       3264
  cpu   1:       3267
  cpu   2:       3265
  cpu   3:       3264
axvisor:$ 
[2Kaxvisor:$ v
[2Kaxvisor:$ vm
[2Kaxvisor:$ vm 
[2Kaxvisor:$ vm c
[2Kaxvisor:$ vm co
[2Kaxvisor:$ vm con
[2Kaxvisor:$ vm cons
[2Kaxvisor:$ vm conso
[2Kaxvisor:$ vm consol
[2Kaxvisor:$ vm console
[2Kaxvisor:$ vm console 
[2Kaxvisor:$ vm console 2
✓ Attached VM[2] console; use Ctrl+X, then h to return to the shell
PERIODIC LATENCY START
sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10716784,37003013120,37003729904,716784
1,20468912,37013013120,37013482032,468912
2,30413024,37023013120,37023426144,413024
3,40748224,37033013120,37033761344,748224
4,50638400,37043013120,37043651520,638400
5,60726144,37053013120,37053739264,726144
6,70681024,37063013120,37063694144,681024
7,80803904,37073013120,37073817024,803904
8,90697824,37083013120,37083710944,697824
9,100730880,37093013120,37093744000,730880
10,110742416,37103013120,37103755536,742416
11,120686208,37113013120,37113699328,686208
12,130667936,37123013120,37123681056,667936
13,140815568,37133013120,37133828688,815568
14,150750240,37143013120,37143763360,750240
15,160817600,37153013120,37153830720,817600
16,170716880,37163013120,37163730000,716880
17,180717488,37173013120,37173730608,717488
18,190677760,37183013120,37183690880,677760
19,200773872,37193013120,37193786992,773872
20,210693824,37203013120,37203706944,693824
21,220699040,37213013120,37213712160,699040
22,230678672,37223013120,37223691792,678672
23,240772496,37233013120,37233785616,772496
24,250655680,37243013120,37243668800,655680
25,260800224,37253013120,37253813344,800224
26,270389568,37263013120,37263402688,389568
27,280597392,37273013120,37273610512,597392
28,290538080,37283013120,37283551200,538080
29,300621168,37293013120,37293634288,621168
30,310488576,37303013120,37303501696,488576
31,320470448,37313013120,37313483568,470448
32,330526176,37323013120,37323539296,526176
33,340590496,37333013120,37333603616,590496
34,350711232,37343013120,37343724352,711232
35,360481600,37353013120,37353494720,481600
36,370455488,37363013120,37363468608,455488
37,380478480,37373013120,37373491600,478480
38,390370864,37383013120,37383383984,370864
39,400474000,37393013120,37393487120,474000
40,410472064,37403013120,37403485184,472064
41,420574928,37413013120,37413588048,574928
42,430659824,37423013120,37423672944,659824
43,440621360,37433013120,37433634480,621360
44,450554944,37443013120,37443568064,554944
45,460496592,37453013120,37453509712,496592
46,470672704,37463013120,37463685824,672704
47,480582080,37473013120,37473595200,582080
48,490570176,37483013120,37483583296,570176
49,500586432,37493013120,37493599552,586432
50,510519280,37503013120,37503532400,519280
51,520606960,37513013120,37513620080,606960
52,530476720,37523013120,37523489840,476720
53,540490080,37533013120,37533503200,490080
54,550629312,37543013120,37543642432,629312
55,560571856,37553013120,37553584976,571856
56,570742912,37563013120,37563756032,742912
57,580448832,37573013120,37573461952,448832
58,590483920,37583013120,37583497040,483920
59,600512688,37593013120,37593525808,512688
60,610449504,37603013120,37603462624,449504
61,620498384,37613013120,37613511504,498384
62,630452432,37623013120,37623465552,452432
63,640443952,37633013120,37633457072,443952
64,650449360,37643013120,37643462480,449360
65,660487888,37653013120,37653501008,487888
66,670455488,37663013120,37663468608,455488
67,680520672,37673013120,37673533792,520672
68,690430496,37683013120,37683443616,430496
69,700487056,37693013120,37693500176,487056
70,710425056,37703013120,37703438176,425056
71,720666208,37713013120,37713679328,666208
72,730829616,37723013120,37723842736,829616
73,740837808,37733013120,37733850928,837808
74,750759968,37743013120,37743773088,759968
75,760594656,37753013120,37753607776,594656
76,770473568,37763013120,37763486688,473568
77,780487392,37773013120,37773500512,487392
78,790755040,37783013120,37783768160,755040
79,800581984,37793013120,37793595104,581984
80,810511456,37803013120,37803524576,511456
81,820584800,37813013120,37813597920,584800
82,830769120,37823013120,37823782240,769120
83,840608256,37833013120,37833621376,608256
84,850526784,37843013120,37843539904,526784
85,860638560,37853013120,37853651680,638560
86,870595840,37863013120,37863608960,595840
87,880483680,37873013120,37873496800,483680
88,890618192,37883013120,37883631312,618192
89,900579440,37893013120,37893592560,579440
90,910676896,37903013120,37903690016,676896
91,920745808,37913013120,37913758928,745808
92,930610304,37923013120,37923623424,610304
93,940827360,37933013120,37933840480,827360
94,950624480,37943013120,37943637600,624480
95,960587072,37953013120,37953600192,587072
96,970604256,37963013120,37963617376,604256
97,980593872,37973013120,37973606992,593872
98,990577040,37983013120,37983590160,577040
99,1000445616,37993013120,37993458736,445616
100,1010686528,38003013120,38003699648,686528
101,1020531328,38013013120,38013544448,531328
102,1030482416,38023013120,38023495536,482416
103,1040491456,38033013120,38033504576,491456
104,1050470304,38043013120,38043483424,470304
105,1060786704,38053013120,38053799824,786704
106,1070766736,38063013120,38063779856,766736
107,1080914768,38073013120,38073927888,914768
108,1090512144,38083013120,38083525264,512144
109,1100587280,38093013120,38093600400,587280
110,1110611696,38103013120,38103624816,611696
111,1120687920,38113013120,38113701040,687920
112,1130460592,38123013120,38123473712,460592
113,1140616544,38133013120,38133629664,616544
114,1150602304,38143013120,38143615424,602304
115,1160480208,38153013120,38153493328,480208
116,1170490416,38163013120,38163503536,490416
117,1180476432,38173013120,38173489552,476432
118,1190625264,38183013120,38183638384,625264
119,1200532160,38193013120,38193545280,532160
120,1210587008,38203013120,38203600128,587008
121,1220514320,38213013120,38213527440,514320
122,1230672080,38223013120,38223685200,672080
123,1240583840,38233013120,38233596960,583840
124,1250522624,38243013120,38243535744,522624
125,1260681712,38253013120,38253694832,681712
126,1270491456,38263013120,38263504576,491456
127,1280583088,38273013120,38273596208,583088
128,1290743040,38283013120,38283756160,743040
129,1300683728,38293013120,38293696848,683728
130,1310729984,38303013120,38303743104,729984
131,1320686656,38313013120,38313699776,686656
132,1330852848,38323013120,38323865968,852848
133,1340803648,38333013120,38333816768,803648
134,1350821296,38343013120,38343834416,821296
135,1360677616,38353013120,38353690736,677616
136,1370693520,38363013120,38363706640,693520
137,1380594320,38373013120,38373607440,594320
138,1390504912,38383013120,38383518032,504912
139,1400498160,38393013120,38393511280,498160
140,1410488016,38403013120,38403501136,488016
141,1420611888,38413013120,38413625008,611888
142,1430489824,38423013120,38423502944,489824
143,1440647168,38433013120,38433660288,647168
144,1450636592,38443013120,38443649712,636592
145,1460567904,38453013120,38453581024,567904
146,1470645216,38463013120,38463658336,645216
147,1480482880,38473013120,38473496000,482880
148,1490628736,38483013120,38483641856,628736
149,1500774288,38493013120,38493787408,774288
150,1510737936,38503013120,38503751056,737936
151,1520780208,38513013120,38513793328,780208
152,1530761088,38523013120,38523774208,761088
153,1540817856,38533013120,38533830976,817856
154,1550754192,38543013120,38543767312,754192
155,1560677152,38553013120,38553690272,677152
156,1570552464,38563013120,38563565584,552464
157,1580659184,38573013120,38573672304,659184
158,1590516416,38583013120,38583529536,516416
159,1600529776,38593013120,38593542896,529776
160,1610621456,38603013120,38603634576,621456
161,1620518800,38613013120,38613531920,518800
162,1630705920,38623013120,38623719040,705920
163,1640463664,38633013120,38633476784,463664
164,1650555168,38643013120,38643568288,555168
165,1660563280,38653013120,38653576400,563280
166,1670480304,38663013120,38663493424,480304
167,1680592016,38673013120,38673605136,592016
168,1690604624,38683013120,38683617744,604624
169,1700514816,38693013120,38693527936,514816
170,1710565472,38703013120,38703578592,565472
171,1720633072,38713013120,38713646192,633072
172,1730425088,38723013120,38723438208,425088
173,1740458704,38733013120,38733471824,458704
174,1750558368,38743013120,38743571488,558368
175,1760557584,38753013120,38753570704,557584
176,1770653040,38763013120,38763666160,653040
177,1780426512,38773013120,38773439632,426512
178,1790526752,38783013120,38783539872,526752
179,1800748576,38793013120,38793761696,748576
180,1810675200,38803013120,38803688320,675200
181,1820588720,38813013120,38813601840,588720
182,1830802144,38823013120,38823815264,802144
183,1840563232,38833013120,38833576352,563232
184,1850572208,38843013120,38843585328,572208
185,1860583952,38853013120,38853597072,583952
186,1870866560,38863013120,38863879680,866560
187,1880409920,38873013120,38873423040,409920
188,1890447472,38883013120,38883460592,447472
189,1900715760,38893013120,38893728880,715760
190,1910717568,38903013120,38903730688,717568
191,1920688944,38913013120,38913702064,688944
192,1930484944,38923013120,38923498064,484944
193,1940785216,38933013120,38933798336,785216
194,1950595648,38943013120,38943608768,595648
195,1960474096,38953013120,38953487216,474096
196,1970467968,38963013120,38963481088,467968
197,1980529568,38973013120,38973542688,529568
198,1990868128,38983013120,38983881248,868128
199,2000501504,38993013120,38993514624,501504
200,2010481088,39003013120,39003494208,481088
201,2020618320,39013013120,39013631440,618320
202,2030496304,39023013120,39023509424,496304
203,2040582480,39033013120,39033595600,582480
204,2050822016,39043013120,39043835136,822016
205,2060483792,39053013120,39053496912,483792
206,2070445072,39063013120,39063458192,445072
207,2080405360,39073013120,39073418480,405360
208,2090602704,39083013120,39083615824,602704
209,2100478544,39093013120,39093491664,478544
210,2110647248,39103013120,39103660368,647248
211,2120616656,39113013120,39113629776,616656
212,2130660496,39123013120,39123673616,660496
213,2140718880,39133013120,39133732000,718880
214,2150669376,39143013120,39143682496,669376
215,2160752096,39153013120,39153765216,752096
216,2170575168,39163013120,39163588288,575168
217,2180703712,39173013120,39173716832,703712
218,2190628480,39183013120,39183641600,628480
219,2200673888,39193013120,39193687008,673888
220,2210778336,39203013120,39203791456,778336
221,2220716224,39213013120,39213729344,716224
222,2230746240,39223013120,39223759360,746240
223,2240679312,39233013120,39233692432,679312
224,2250695952,39243013120,39243709072,695952
225,2260678368,39253013120,39253691488,678368
226,2270465696,39263013120,39263478816,465696
227,2280535856,39273013120,39273548976,535856
228,2290631904,39283013120,39283645024,631904
229,2300523280,39293013120,39293536400,523280
230,2310439632,39303013120,39303452752,439632
231,2320570384,39313013120,39313583504,570384
232,2330673264,39323013120,39323686384,673264
233,2340446032,39333013120,39333459152,446032
234,2350382512,39343013120,39343395632,382512
235,2360508912,39353013120,39353522032,508912
236,2370495248,39363013120,39363508368,495248
237,2380449216,39373013120,39373462336,449216
