bucket_us,count
151,2
160,3
161,2
162,4
163,2
164,4
165,2
166,7
167,15
168,19
169,20
170,38
171,39
172,34
173,57
174,59
175,72
176,70
177,75
178,75
179,72
180,78
181,73
182,93
183,88
184,99
185,108
186,114
187,106
188,103
189,115
190,99
191,125
192,119
193,106
194,106
195,104
196,131
197,102
198,86
199,112
200,95
201,95
202,114
203,96
204,103
205,83
206,113
207,79
208,116
209,75
210,91
211,105
212,110
213,90
214,82
215,81
216,82
217,98
218,90
219,106
220,106
221,85
222,97
223,102
224,105
225,111
226,103
227,100
228,111
229,117
230,113
231,88
232,114
233,108
234,120
235,102
236,127
237,113
238,83
239,131
240,126
241,106
242,127
243,127
244,137
245,167
246,142
247,158
248,163
249,163
250,150
251,167
252,166
253,170
254,165
255,239
256,219
257,202
258,220
259,226
260,257
261,249
262,234
263,252
264,262
265,267
266,276
267,285
268,268
269,301
270,292
271,282
272,293
273,289
274,295
275,319
276,304
277,357
278,323
279,354
280,318
281,311
282,304
283,301
284,314
285,294
286,300
287,323
288,339
289,288
290,282
291,324
292,272
293,300
294,321
295,312
296,310
297,300
298,330
299,346
300,319
301,311
302,355
303,347
304,361
305,372
306,407
307,439
308,487
309,542
310,593
311,658
312,732
313,744
314,937
315,1071
316,1159
317,1247
318,1429
319,1450
320,1639
321,1722
322,1969
323,2039
324,2260
325,2396
326,2541
327,2599
328,2744
329,2739
330,3010
331,2954
332,3126
333,3070
334,3205
335,3100
336,3324
337,3126
338,3149
339,3129
340,3182
341,3166
342,3181
343,2976
344,3064
345,2912
346,2855
347,2739
348,2866
349,2688
350,2653
351,2535
352,2571
353,2504
354,2473
355,2351
356,2327
357,2249
358,2252
359,2123
360,2165
361,2033
362,2137
363,1913
364,2079
365,1858
366,1817
367,1783
368,1815
369,1639
370,1610
371,1613
372,1586
373,1526
374,1472
375,1435
376,1413
377,1308
378,1347
379,1286
380,1312
381,1248
382,1231
383,1187
384,1141
385,1073
386,1108
387,1071
388,1016
389,1018
390,1028
391,1006
392,999
393,907
394,934
395,881
396,877
397,910
398,931
399,842
400,887
401,878
402,874
403,855
404,876
405,828
406,917
407,891
408,938
409,992
410,977
411,1014
412,1181
413,1233
414,1381
415,1427
416,1569
417,1650
418,1796
419,1884
420,2041
421,2235
422,2478
423,2660
424,2879
425,3066
426,3319
427,3544
428,3648
429,3814
430,4147
431,4048
432,4259
433,4351
434,4478
435,4482
436,4634
437,4773
438,4958
439,4895
440,4965
441,5012
442,5153
443,5156
444,5172
445,5022
446,5164
447,4996
448,4959
449,5083
450,5108
451,5009
452,5000
453,4988
454,5042
455,4847
456,5018
457,4848
458,4926
459,4745
460,4700
461,4554
462,4685
463,4396
464,4418
465,4348
466,4228
467,4173
468,4184
469,3973
470,3982
471,3763
472,3741
473,3658
474,3554
475,3593
476,3497
477,3459
478,3475
479,3376
480,3396
481,3529
482,3566
483,3646
484,3681
485,3869
486,3937
487,3990
488,4183
489,4328
490,4532
491,4688
492,4926
493,5187
494,5321
495,5440
496,5723
497,5591
498,5855
499,5631
500,5889
501,5602
502,5722
503,5647
504,5695
505,5437
506,5486
507,5412
508,5454
509,5403
510,5500
511,5526
512,5489
513,5565
514,5624
515,5742
516,6004
517,6108
518,6209
519,6113
520,6356
521,6341
522,6316
523,6256
524,6360
525,6166
526,6239
527,6059
528,6125
529,6173
530,6052
531,5730
532,5874
533,5800
534,5687
535,5637
536,5664
537,5539
538,5437
539,5243
540,5403
541,5197
542,5232
543,5137
544,5388
545,5488
546,5670
547,5749
548,5927
549,6113
550,6266
551,6402
552,6711
553,7076
554,7547
555,7819
556,8200
557,8648
558,8818
559,8981
560,9238
561,9145
562,9155
563,8895
564,8904
565,8699
566,8561
567,8400
568,8305
569,8079
570,7867
571,7582
572,7607
573,7241
574,7174
575,7072
576,6851
577,6539
578,6429
579,6134
580,6222
581,5920
582,6140
583,5947
584,5906
585,5715
586,5828
587,5503
588,5630
589,5297
590,5216
591,5048
592,5040
593,4825
594,4791
595,4610
596,4483
597,4327
598,4257
599,3971
600,3967
601,3841
602,3777
603,3564
604,3707
605,3552
606,3563
607,3510
608,3680
609,3767
610,3906
611,3876
612,4319
613,4459
614,4594
615,4897
616,5102
617,5310
618,5852
619,6024
620,6437
621,6729
622,7124
623,7256
624,7621
625,7769
626,8086
627,8160
628,8154
629,8037
630,8277
631,8090
632,8003
633,7700
634,7755
635,7470
636,7592
637,7297
638,7348
639,6879
640,6596
641,6632
642,6489
643,6344
644,6259
645,6246
646,6096
647,5977
648,6041
649,5660
650,5686
651,5434
652,5349
653,5284
654,5174
655,5039
656,4925
657,4537
658,4385
659,4183
660,3973
661,3870
662,3896
663,3674
664,3567
665,3326
666,3225
667,2938
668,2963
669,2907
670,2727
671,2670
672,2625
673,2384
674,2337
675,2133
676,2015
677,2059
678,1987
679,1814
680,1783
681,1768
682,1587
683,1524
684,978
686,5
687,199
688,667
689,1118
690,1252
691,1292
692,1272
693,1242
694,1066
695,992
696,975
697,941
698,898
699,904
700,820
701,807
702,760
703,672
704,718
705,691
706,640
707,624
708,610
709,556
710,528
711,514
712,493
713,486
714,486
715,496
716,425
717,397
718,425
719,381
720,385
721,380
722,384
723,363
724,353
725,344
726,342
727,358
728,356
729,362
730,352
731,320
732,320
733,342
734,352
735,346
736,339
737,303
738,351
739,298
740,317
741,293
742,330
743,311
744,302
745,315
746,309
747,341
748,313
749,302
750,308
751,280
752,315
753,283
754,272
755,282
756,276
757,263
758,277
759,285
760,270
761,283
762,298
763,281
764,259
765,257
766,248
767,295
768,291
769,235
770,269
771,261
772,282
773,252
774,251
775,259
776,279
777,260
778,261
779,274
780,279
781,258
782,276
783,254
784,245
785,264
786,269
787,241
788,285
789,279
790,275
791,289
792,266
793,275
794,283
795,251
796,268
797,306
798,282
799,290
800,294
801,309
802,288
803,316
804,292
805,333
806,300
807,313
808,339
809,359
810,372
811,387
812,371
813,406
814,416
815,427
816,451
817,480
818,463
819,506
820,530
821,548
822,463
823,502
824,529
825,461
826,483
827,519
828,509
829,493
830,469
831,435
832,406
833,377
834,372
835,338
836,399
837,354
838,359
839,331
840,371
841,369
842,329
843,365
844,337
845,303
846,323
847,297
848,351
849,316
850,277
851,299
852,295
853,323
854,318
855,290
856,300
857,329
858,336
859,352
860,386
861,336
862,338
863,342
864,377
865,321
866,330
867,381
868,334
869,347
870,348
871,351
872,357
873,304
874,339
875,299
876,304
877,333
878,329
879,319
880,304
881,292
882,316
883,276
884,298
885,291
886,252
887,234
888,269
889,262
890,257
891,243
892,205
893,233
894,223
895,215
896,214
897,203
898,212
899,221
900,209
901,181
902,199
903,170
904,172
905,165
906,176
907,163
908,170
909,170
910,152
911,178
912,141
913,142
914,135
915,145
916,169
917,128
918,135
919,144
920,152
921,123
922,146
923,122
924,127
925,145
926,148
927,126
928,120
929,143
930,131
931,131
932,110
933,148
934,99
935,132
936,133
937,114
938,100
939,132
940,103
941,119
942,125
943,113
944,139
945,132
946,118
947,108
948,117
949,113
950,101
951,121
952,111
953,106
954,114
955,128
956,87
957,96
958,103
959,113
960,104
961,101
962,85
963,97
964,93
965,74
966,74
967,99
968,82
969,84
970,71
971,83
972,77
973,69
974,82
975,80
976,114
977,58
978,70
979,66
980,79
981,70
982,80
983,64
984,67
985,64
986,72
987,73
988,73
989,78
990,66
991,80
992,79
993,78
994,79
995,76
996,80
997,69
998,77
999,64
1000,82
1001,74
1002,82
1003,74
1004,78
1005,69
1006,67
1007,74
1008,72
1009,57
1010,71
1011,52
1012,61
1013,56
1014,70
1015,47
1016,48
1017,54
1018,54
1019,47
1020,48
1021,50
1022,51
1023,58
1024,54
1025,63
1026,64
1027,47
1028,51
1029,50
1030,48
1031,36
1032,40
1033,34
1034,51
1035,37
1036,39
1037,33
1038,47
1039,36
1040,42
1041,45
1042,49
1043,32
1044,33
1045,42
1046,43
1047,42
1048,31
1049,34
1050,27
1051,33
1052,28
1053,30
1054,29
1055,37
1056,36
1057,35
1058,46
1059,33
1060,36
1061,44
1062,32
1063,26
1064,29
1065,33
1066,32
1067,15
1068,34
1069,22
