sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,7,0,216,2474,0,19,1,0
0,1,0,0,1,2868,0,5,0,0
1,0,369,0,251,2474,0,40,2,0
1,1,4,0,8,3204,0,140,0,0
2,0,745,0,284,2474,0,61,2,0
2,1,5,0,17,3593,0,216,0,0
3,0,1136,0,314,2474,0,82,2,0
3,1,8,0,31,3946,0,346,0,0
4,0,1550,0,351,2474,0,105,3,0
4,1,10,0,41,4294,0,428,0,0
5,0,2028,0,351,2474,0,130,3,0
5,1,12,0,54,4662,0,514,0,0
6,0,2505,0,351,2474,0,154,3,0
6,1,15,0,66,5029,0,601,0,0
7,0,2972,0,364,2474,0,179,3,0
7,1,17,0,75,5395,0,689,0,0
8,0,3443,0,374,2474,0,203,4,0
8,1,20,0,85,5763,0,777,0,0
9,0,3919,0,375,2474,0,228,4,0
9,1,23,0,95,6125,0,867,1,0
10,0,4379,0,395,2474,0,253,4,0
10,1,26,0,106,6495,0,956,1,0
11,0,4816,0,438,2474,0,278,5,0
11,1,27,0,117,6863,0,1044,1,0
12,0,5256,0,476,2474,0,303,5,0
12,1,30,0,127,7225,0,1134,1,0
13,0,5706,0,506,2474,0,327,5,0
13,1,32,0,140,7588,0,1223,1,0
14,0,6160,0,532,2474,0,353,6,0
14,1,37,0,159,7944,0,1318,1,0
15,0,6619,0,553,2474,0,377,6,0
15,1,42,0,168,8309,0,1407,1,0
16,0,7019,0,630,2474,0,404,6,0
16,1,45,0,183,8672,0,1497,1,0
17,0,7485,0,644,2474,0,429,6,0
17,1,49,0,193,9036,0,1587,2,0
18,0,7928,0,679,2474,0,454,7,0
18,1,52,0,202,9399,0,1676,2,0
19,0,8369,0,717,2474,0,479,7,0
19,1,55,0,212,9767,0,1764,2,0
20,0,8828,0,738,2474,0,504,7,0
20,1,59,0,228,10138,0,1852,2,0
21,0,9305,0,738,2474,0,528,8,0
21,1,62,0,235,10509,0,1938,2,0
22,0,9778,0,745,2474,0,553,8,0
22,1,66,0,247,10880,0,2026,2,0
23,0,10244,0,758,2474,0,578,8,0
23,1,68,0,257,11239,0,2116,2,0
24,0,10720,0,761,2474,0,603,9,0
24,1,71,0,267,11601,0,2205,3,0
25,0,11199,0,761,2474,0,629,9,0
25,1,72,0,273,11966,0,2293,3,0
26,0,11636,0,804,2474,0,654,9,0
26,1,76,0,285,12330,0,2383,3,0
27,0,12077,0,843,2474,0,679,10,0
27,1,78,0,296,12692,0,2472,3,0
28,0,12526,0,873,2474,0,704,10,0
28,1,81,0,304,13051,0,2563,3,0
29,0,12987,0,891,2474,0,729,10,0
29,1,83,0,314,13415,0,2652,3,0
30,0,13439,0,917,2474,0,755,11,0
30,1,85,0,336,13773,0,2743,3,0
31,0,13865,0,969,2474,0,781,11,0
31,1,87,0,345,14131,0,2834,3,0
32,0,14309,0,1005,2474,0,806,11,0
32,1,88,0,353,14492,0,2923,4,0
33,0,14769,0,1022,2474,0,831,11,0
33,1,90,0,368,14853,0,3013,4,0
34,0,15204,0,1067,2474,0,857,12,0
34,1,94,0,379,15218,0,3102,4,0
35,0,15658,0,1090,2474,0,882,12,0
35,1,95,0,394,15582,0,3191,4,0
36,0,16137,0,1092,2474,0,907,12,0
36,1,97,0,401,15945,0,3280,4,0
37,0,16615,0,1092,2474,0,932,13,0
37,1,100,0,410,16309,0,3371,4,0
38,0,17085,0,1101,2474,0,957,13,0
38,1,101,0,420,16675,0,3460,4,0
39,0,17554,0,1111,2474,0,982,13,0
39,1,103,0,429,17038,0,3549,4,0
40,0,18033,0,1112,2474,0,1008,14,0
40,1,105,0,438,17402,0,3639,5,0
41,0,18505,0,1120,2474,0,1033,14,0
41,1,108,0,448,17763,0,3729,5,0
42,0,18933,0,1169,2474,0,1059,14,0
42,1,111,0,457,18124,0,3819,5,0
43,0,19391,0,1188,2474,0,1084,15,0
43,1,113,0,467,18485,0,3909,5,0
44,0,19848,0,1210,2474,0,1109,15,0
44,1,115,0,475,18846,0,4000,5,0
45,0,20314,0,1224,2474,0,1134,15,0
45,1,117,0,483,19207,0,4090,5,0
46,0,20771,0,1247,2474,0,1159,15,0
46,1,119,0,493,19568,0,4180,5,0
47,0,21178,0,1318,2474,0,1184,16,0
47,1,121,0,503,19928,0,4270,5,0
48,0,21648,0,1326,2474,0,1209,16,0
48,1,122,0,515,20288,0,4359,6,0
49,0,22089,0,1365,2474,0,1234,16,0
49,1,124,0,529,20646,0,4452,6,0
50,0,22546,0,1386,2474,0,1259,17,0
50,1,126,0,540,21007,0,4542,6,0
51,0,23009,0,1404,2474,0,1284,17,0
51,1,128,0,548,21374,0,4630,6,0
52,0,23488,0,1405,2474,0,1309,17,0
52,1,133,0,557,21742,0,4719,6,0
53,0,23960,0,1412,2474,0,1334,18,0
53,1,135,0,566,22108,0,4808,6,0
54,0,24431,0,1419,2474,0,1359,18,0
54,1,139,0,577,22473,0,4896,6,0
55,0,24910,0,1421,2474,0,1384,18,0
55,1,142,0,587,22840,0,4987,7,0
56,0,25388,0,1422,2474,0,1409,19,0
56,1,145,0,596,23205,0,5076,7,0
57,0,25814,0,1473,2474,0,1435,19,0
57,1,148,0,609,23568,0,5166,7,0
58,0,26274,0,1492,2474,0,1460,19,0
58,1,150,0,615,23931,0,5255,7,0
59,0,26708,0,1536,2474,0,1486,20,0
59,1,152,0,625,24291,0,5345,7,0
60,0,27169,0,1552,2474,0,1512,20,0
60,1,154,0,633,24651,0,5434,7,0
61,0,27621,0,1580,2474,0,1537,20,0
61,1,156,0,644,25012,0,5524,7,0
62,0,28054,0,1626,2474,0,1562,20,0
62,1,159,0,658,25371,0,5615,7,0
63,0,28511,0,1649,2474,0,1587,21,0
63,1,161,0,667,25734,0,5705,8,0
64,0,28960,0,1679,2474,0,1612,21,0
64,1,163,0,680,26093,0,5795,8,0
65,0,29416,0,1702,2474,0,1637,21,0
65,1,166,0,690,26454,0,5885,8,0
66,0,29872,0,1727,2474,0,1662,22,0
66,1,169,0,704,26818,0,5975,8,0
67,0,30351,0,1727,2474,0,1687,22,0
67,1,172,0,716,27182,0,6063,8,0
68,0,30829,0,1727,2474,0,1712,22,0
68,1,173,0,722,27547,0,6151,8,0
69,0,31293,0,1743,2474,0,1737,23,0
69,1,178,0,732,27907,0,6242,8,0
70,0,31766,0,1748,2474,0,1762,23,0
70,1,180,0,742,28271,0,6330,8,0
71,0,32245,0,1748,2474,0,1787,23,0
71,1,183,0,756,28640,0,6419,9,0
72,0,32688,0,1783,2474,0,1813,24,0
72,1,189,0,767,28996,0,6512,9,0
73,0,33123,0,1825,2474,0,1839,24,0
73,1,191,0,780,29355,0,6603,9,0
74,0,33573,0,1855,2474,0,1865,24,0
74,1,194,0,789,29717,0,6693,9,0
75,0,34029,0,1877,2474,0,1890,25,0
75,1,197,0,800,30079,0,6783,9,0
76,0,34490,0,1895,2474,0,1915,25,0
76,1,199,0,808,30439,0,6873,9,0
77,0,34927,0,1936,2474,0,1940,25,0
77,1,202,0,818,30801,0,6963,9,0
78,0,35335,0,2008,2474,0,1965,25,0
78,1,204,0,830,31163,0,7053,10,0
79,0,35808,0,2014,2474,0,1991,26,0
79,1,207,0,840,31523,0,7144,10,0
80,0,36236,0,2062,2474,0,2016,26,0
80,1,211,0,849,31889,0,7234,10,0
81,0,36674,0,2105,2474,0,2042,26,0
81,1,216,0,864,32247,0,7327,10,0
82,0,37131,0,2125,2474,0,2068,27,0
82,1,219,0,877,32607,0,7418,10,0
83,0,37609,0,2125,2474,0,2094,27,0
83,1,222,0,885,32969,0,7507,10,0
84,0,38085,0,2130,2474,0,2119,27,0
84,1,225,0,896,33337,0,7597,10,0
85,0,38555,0,2138,2474,0,2144,28,0
85,1,227,0,907,33700,0,7686,10,0
86,0,39031,0,2142,2474,0,2169,28,0
86,1,232,0,920,34067,0,7776,11,0
87,0,39508,0,2142,2474,0,2193,28,0
87,1,236,0,932,34434,0,7864,11,0
88,0,39953,0,2178,2474,0,2219,29,0
88,1,239,0,946,34798,0,7955,11,0
89,0,40409,0,2200,2474,0,2244,29,0
89,1,241,0,960,35164,0,8043,11,0
90,0,40861,0,2226,2474,0,2269,29,0
90,1,242,0,974,35527,0,8132,11,0
91,0,41326,0,2241,2474,0,2294,29,0
91,1,243,0,986,35889,0,8221,11,0
92,0,41763,0,2281,2474,0,2320,30,0
92,1,247,0,999,36248,0,8310,11,0
93,0,42182,0,2340,2474,0,2346,30,0
93,1,248,0,1007,36609,0,8400,11,0
94,0,42599,0,2401,2474,0,2370,30,0
94,1,250,0,1021,36981,0,8487,12,0
95,0,43066,0,2413,2474,0,2395,31,0
95,1,253,0,1032,37347,0,8576,12,0
96,0,43509,0,2450,2474,0,2420,31,0
96,1,254,0,1040,37709,0,8666,12,0
97,0,43959,0,2477,2474,0,2446,31,0
97,1,256,0,1049,38068,0,8756,12,0
98,0,44426,0,2489,2474,0,2472,32,0
98,1,260,0,1058,38429,0,8846,12,0
99,0,44905,0,2489,2474,0,2497,32,0
99,1,262,0,1068,38790,0,8935,12,0
100,0,45375,0,2497,2474,0,2522,32,0
100,1,265,0,1076,39149,0,9025,12,0
101,0,45835,0,2517,2474,0,2547,33,0
101,1,269,0,1086,39511,0,9116,12,0
102,0,46302,0,2529,2474,0,2572,33,0
102,1,272,0,1093,39881,0,9204,12,0
103,0,46782,0,2530,2474,0,2597,33,0
103,1,276,0,1102,40249,0,9293,13,0
104,0,47218,0,2573,2474,0,2622,33,0
104,1,278,0,1109,40611,0,9383,13,0
105,0,47659,0,2609,2474,0,2647,34,0
105,1,279,0,1117,40974,0,9472,13,0
106,0,48117,0,2632,2474,0,2672,34,0
106,1,282,0,1125,41340,0,9562,13,0
107,0,48577,0,2649,2474,0,2698,34,0
107,1,286,0,1139,41701,0,9653,13,0
108,0,49023,0,2682,2474,0,2723,35,0
108,1,288,0,1150,42060,0,9745,13,0
109,0,49450,0,2734,2474,0,2749,35,0
109,1,291,0,1162,42421,0,9835,13,0
110,0,49878,0,2784,2474,0,2774,35,0
110,1,294,0,1177,42786,0,9925,13,0
111,0,50336,0,2804,2474,0,2800,36,0
111,1,297,0,1187,43146,0,10016,14,0
112,0,50777,0,2840,2474,0,2826,36,0
112,1,300,0,1197,43506,0,10105,14,0
113,0,51230,0,2867,2474,0,2851,36,0
113,1,301,0,1207,43869,0,10195,14,0
114,0,51701,0,2876,2474,0,2876,37,0
114,1,303,0,1215,44233,0,10284,14,0
115,0,52180,0,2876,2474,0,2901,37,0
115,1,307,0,1223,44596,0,10372,14,0
116,0,52654,0,2881,2474,0,2926,37,0
116,1,309,0,1234,44958,0,10462,14,0
117,0,53124,0,2889,2474,0,2951,37,0
117,1,309,0,1248,45318,0,10551,14,0
118,0,53604,0,2890,2474,0,2976,38,0
118,1,310,0,1255,45681,0,10641,14,0
119,0,54079,0,2895,2474,0,3001,38,0
119,1,314,0,1263,46047,0,10730,15,0
120,0,54501,0,2951,2474,0,3027,38,0
120,1,317,0,1277,46410,0,10820,15,0
121,0,54966,0,2965,2474,0,3052,39,0
121,1,318,0,1289,46772,0,10910,15,0
122,0,55400,0,3008,2474,0,3077,39,0
122,1,320,0,1302,47132,0,11000,15,0
123,0,55868,0,3020,2474,0,3103,39,0
123,1,324,0,1314,47494,0,11092,15,0
124,0,56316,0,3050,2474,0,3128,40,0
124,1,326,0,1324,47856,0,11181,15,0
125,0,56736,0,3108,2474,0,3154,40,0
125,1,327,0,1335,48216,0,11271,15,0
126,0,57196,0,3126,2474,0,3180,40,0
126,1,329,0,1346,48577,0,11361,16,0
127,0,57638,0,3163,2474,0,3205,41,0
127,1,332,0,1355,48938,0,11450,16,0
128,0,58087,0,3193,2474,0,3230,41,0
128,1,334,0,1363,49300,0,11539,16,0
129,0,58534,0,3226,2474,0,3256,41,0
129,1,335,0,1374,49661,0,11629,16,0
130,0,59011,0,3227,2474,0,3281,42,0
130,1,338,0,1383,50027,0,11717,16,0
131,0,59492,0,3228,2474,0,3306,42,0
131,1,342,0,1393,50395,0,11805,16,0
132,0,59952,0,3246,2474,0,3330,42,0
132,1,344,0,1403,50758,0,11894,16,0
133,0,60426,0,3249,2474,0,3355,42,0
133,1,344,0,1412,51118,0,11983,16,0
134,0,60903,0,3250,2474,0,3380,43,0
134,1,348,0,1423,51478,0,12072,16,0
135,0,61356,0,3278,2474,0,3406,43,0
135,1,351,0,1436,51843,0,12163,17,0
136,0,61801,0,3314,2474,0,3431,43,0
136,1,352,0,1442,52206,0,12252,17,0
137,0,62249,0,3345,2474,0,3456,44,0
137,1,352,0,1451,52570,0,12341,17,0
138,0,62708,0,3364,2474,0,3481,44,0
138,1,354,0,1460,52938,0,12430,17,0
139,0,63161,0,3389,2474,0,3506,44,0
139,1,356,0,1468,53300,0,12519,17,0
140,0,63589,0,3439,2474,0,3532,45,0
140,1,359,0,1479,53659,0,12611,17,0
141,0,64037,0,3472,2474,0,3558,45,0
141,1,362,0,1491,54025,0,12700,17,0
142,0,64501,0,3485,2474,0,3583,45,0
142,1,364,0,1500,54389,0,12789,18,0
143,0,64939,0,3527,2474,0,3608,46,0
143,1,366,0,1510,54754,0,12879,18,0
144,0,65393,0,3551,2474,0,3633,46,0
144,1,369,0,1523,55115,0,12968,18,0
145,0,65872,0,3551,2474,0,3658,46,0
145,1,372,0,1534,55475,0,13058,18,0
146,0,66350,0,3552,2474,0,3683,46,0
146,1,373,0,1540,55837,0,13146,18,0
147,0,66821,0,3562,2474,0,3709,47,0
147,1,378,0,1551,56201,0,13236,18,0
148,0,67291,0,3571,2474,0,3734,47,0
148,1,380,0,1563,56559,0,13327,18,0
149,0,67767,0,3572,2474,0,3759,47,0
149,1,383,0,1572,56920,0,13416,18,0
150,0,68239,0,3581,2474,0,3784,48,0
150,1,385,0,1583,57281,0,13506,18,0
151,0,68658,0,3638,2474,0,3809,48,0
151,1,386,0,1593,57638,0,13597,19,0
152,0,69112,0,3665,2474,0,3834,48,0
152,1,386,0,1600,58004,0,13685,19,0
153,0,69556,0,3699,2474,0,3859,49,0
153,1,389,0,1610,58366,0,13774,19,0
154,0,70024,0,3712,2474,0,3884,49,0
154,1,390,0,1619,58729,0,13864,19,0
155,0,70478,0,3736,2474,0,3910,49,0
155,1,393,0,1628,59095,0,13952,19,0
156,0,70894,0,3798,2474,0,3935,49,0
156,1,395,0,1638,59455,0,14042,19,0
157,0,71357,0,3814,2474,0,3960,50,0
157,1,397,0,1647,59818,0,14130,19,0
158,0,71790,0,3859,2474,0,3985,50,0
158,1,400,0,1659,60180,0,14220,20,0
159,0,72244,0,3886,2474,0,4010,50,0
159,1,401,0,1669,60545,0,14309,20,0
160,0,72706,0,3901,2474,0,4036,51,0
160,1,402,0,1676,60905,0,14398,20,0
161,0,73183,0,3903,2474,0,4061,51,0
161,1,404,0,1685,61266,0,14487,20,0
162,0,73658,0,3907,2474,0,4086,51,0
162,1,405,0,1695,61629,0,14575,20,0
163,0,74126,0,3916,2474,0,4111,52,0
163,1,407,0,1703,61989,0,14664,20,0
164,0,74603,0,3919,2474,0,4136,52,0
164,1,409,0,1718,62354,0,14754,20,0
165,0,75080,0,3921,2474,0,4161,52,0
165,1,410,0,1731,62719,0,14842,20,0
166,0,75519,0,3962,2474,0,4186,52,0
166,1,413,0,1741,63083,0,14931,21,0
167,0,75959,0,4001,2474,0,4211,53,0
167,1,414,0,1754,63444,0,15023,21,0
168,0,76416,0,4022,2474,0,4236,53,0
168,1,419,0,1766,63812,0,15112,21,0
169,0,76877,0,4041,2474,0,4261,53,0
169,1,421,0,1781,64174,0,15201,21,0
170,0,77331,0,4064,2474,0,4286,54,0
170,1,425,0,1792,64538,0,15291,21,0
171,0,77766,0,4110,2474,0,4312,54,0
