VM-exit counters per physical CPU (12 reasons):
  cpu         irq     timer      mmio       wfi   hvc-smc    sysreg    gic-if       sgi    cpu-up  sys-down   nothing     other
    1       14982     14976     45228     14976         -         -         -         -         -         -         -         -
    2        1501      1029     31227       129         7         -         -       117         -         -        11         -
    3        1472      1422        52      2373         -         -         -        20         -         -         2         -
Host periodic scheduler ticks (event-driven timer IRQs excluded):
  cpu   0:       3243
  cpu   1:          0
  cpu   2:       3245
  cpu   3:       3239
axvisor:$ 
[2Kaxvisor:$ v
[2Kaxvisor:$ vm
[2Kaxvisor:$ vm 
[2Kaxvisor:$ vm c
[2Kaxvisor:$ vm co
[2Kaxvisor:$ vm con
[2Kaxvisor:$ vm cons
[2Kaxvisor:$ vm conso
[2Kaxvisor:$ vm consol
[2Kaxvisor:$ vm console
[2Kaxvisor:$ vm console 
[2Kaxvisor:$ vm console 2
✓ Attached VM[2] console; use Ctrl+X, then h to return to the shell
PERIODIC LATENCY START
sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10710848,36753010272,36753721120,710848
1,20575472,36763010272,36763585744,575472
2,30711520,36773010272,36773721792,711520
3,40564384,36783010272,36783574656,564384
4,50730208,36793010272,36793740480,730208
5,60602016,36803010272,36803612288,602016
6,70704608,36813010272,36813714880,704608
7,80621552,36823010272,36823631824,621552
8,90670304,36833010272,36833680576,670304
9,100895040,36843010272,36843905312,895040
10,110534128,36853010272,36853544400,534128
11,120582640,36863010272,36863592912,582640
12,130771664,36873010272,36873781936,771664
13,140782208,36883010272,36883792480,782208
14,150928560,36893010272,36893938832,928560
15,160991632,36903010272,36904001904,991632
16,170718912,36913010272,36913729184,718912
17,180475216,36923010272,36923485488,475216
18,190709600,36933010272,36933719872,709600
19,200506096,36943010272,36943516368,506096
20,210597664,36953010272,36953607936,597664
21,220562544,36963010272,36963572816,562544
22,230593248,36973010272,36973603520,593248
23,240607168,36983010272,36983617440,607168
24,250546208,36993010272,36993556480,546208
25,260571040,37003010272,37003581312,571040
26,270524800,37013010272,37013535072,524800
27,280583504,37023010272,37023593776,583504
28,290712544,37033010272,37033722816,712544
29,300627696,37043010272,37043637968,627696
30,310613984,37053010272,37053624256,613984
31,320861216,37063010272,37063871488,861216
32,330885984,37073010272,37073896256,885984
33,340862624,37083010272,37083872896,862624
34,351047856,37093010272,37094058128,1047856
35,360828176,37103010272,37103838448,828176
36,370858768,37113010272,37113869040,858768
37,380816112,37123010272,37123826384,816112
38,391043920,37133010272,37134054192,1043920
39,400834112,37143010272,37143844384,834112
40,410829616,37153010272,37153839888,829616
41,420756336,37163010272,37163766608,756336
42,430846672,37173010272,37173856944,846672
43,440866432,37183010272,37183876704,866432
44,450726880,37193010272,37193737152,726880
45,460899264,37203010272,37203909536,899264
46,470881808,37213010272,37213892080,881808
47,480976544,37223010272,37223986816,976544
48,490670224,37233010272,37233680496,670224
49,500704528,37243010272,37243714800,704528
50,510789136,37253010272,37253799408,789136
51,520872576,37263010272,37263882848,872576
52,530782896,37273010272,37273793168,782896
53,540813792,37283010272,37283824064,813792
54,550946352,37293010272,37293956624,946352
55,560811120,37303010272,37303821392,811120
56,570770000,37313010272,37313780272,770000
57,580840560,37323010272,37323850832,840560
58,590672992,37333010272,37333683264,672992
59,600838608,37343010272,37343848880,838608
60,610837744,37353010272,37353848016,837744
61,620848864,37363010272,37363859136,848864
62,630855584,37373010272,37373865856,855584
63,640736352,37383010272,37383746624,736352
64,650691600,37393010272,37393701872,691600
65,660686464,37403010272,37403696736,686464
66,670792096,37413010272,37413802368,792096
67,680720480,37423010272,37423730752,720480
68,690767680,37433010272,37433777952,767680
69,700814096,37443010272,37443824368,814096
70,710823200,37453010272,37453833472,823200
