bucket_us,count
139,1
143,1
150,1
151,4
152,2
153,1
154,3
155,1
156,3
157,4
158,5
159,6
160,4
161,8
162,5
163,1
164,7
165,6
166,9
167,8
168,14
169,18
170,21
171,32
172,46
173,55
174,66
175,65
176,93
177,80
178,100
179,119
180,105
181,118
182,138
183,149
184,145
185,147
186,169
187,170
188,194
189,194
190,216
191,200
192,240
193,201
194,229
195,204
196,224
197,208
198,215
199,212
200,218
201,196
202,198
203,196
204,188
205,221
206,211
207,244
208,173
209,209
210,220
211,221
212,202
213,198
214,239
215,236
216,269
217,279
218,298
219,298
220,300
221,320
222,362
223,383
224,468
225,525
226,567
227,605
228,720
229,844
230,996
231,1107
232,1295
233,1429
234,1622
235,1793
236,1946
237,2001
238,2214
239,2399
240,2650
241,2890
242,3082
243,3184
244,3572
245,3865
246,4167
247,4320
248,4748
249,4742
250,4895
251,4810
252,5032
253,4884
254,4941
255,4711
256,4674
257,4543
258,4531
259,4297
260,4269
261,4042
262,4062
263,3983
264,3924
265,3892
266,3833
267,3805
268,3788
269,3661
270,3690
271,3498
272,3727
273,3637
274,3708
275,3646
276,3843
277,3818
278,3890
279,3969
280,3961
281,4123
282,4201
283,4151
284,4160
285,4025
286,4102
287,4062
288,3901
289,3762
290,3817
291,3853
292,3714
293,3668
294,3790
295,3509
296,3517
297,3331
298,3467
299,3216
300,3340
301,3157
302,3176
303,3123
304,3064
305,2946
306,2892
307,2823
308,2827
309,2686
310,2727
311,2411
312,2466
313,2238
314,2241
315,2170
316,2242
317,2034
318,1980
319,1894
320,1885
321,1791
322,1747
323,1685
324,1695
325,1646
326,1550
327,1509
328,1389
329,1376
330,1350
331,1340
332,1294
333,1251
334,1221
335,1137
336,1132
337,1087
338,1153
339,1125
340,1134
341,1079
342,1208
343,1136
344,1141
345,1158
346,1213
347,1191
348,1122
349,1112
350,1107
351,1071
352,1046
353,1023
354,1100
355,1050
356,1008
357,978
358,1026
359,993
360,1015
361,1003
362,957
363,975
364,984
365,938
366,913
367,942
368,919
369,893
370,827
371,852
372,851
373,841
374,843
375,846
376,837
377,751
378,804
379,756
380,799
381,750
382,737
383,752
384,733
385,731
386,700
387,709
388,714
389,690
390,711
391,706
392,710
393,642
394,663
395,667
396,675
397,728
398,673
399,658
400,627
401,665
402,642
403,669
404,656
405,658
406,668
407,658
408,648
409,622
410,597
411,652
412,630
413,610
414,605
415,622
416,606
417,581
418,620
419,643
420,601
421,613
422,575
423,583
424,571
425,595
426,609
427,571
428,605
429,583
430,623
431,614
432,567
433,610
434,591
435,597
436,625
437,607
438,649
439,604
440,672
441,701
442,671
443,707
444,774
445,802
446,875
447,909
448,934
449,1017
450,1212
451,1328
452,1505
453,1573
454,1887
455,1982
456,2242
457,2460
458,2637
459,2970
460,3201
461,3518
462,3675
463,3830
464,4042
465,4217
466,4289
467,4228
468,4347
469,4382
470,4174
471,4324
472,4515
473,4351
474,4479
475,4369
476,4354
477,4342
478,4322
479,4266
480,4445
481,4360
482,4598
483,4531
484,4720
485,4691
486,4935
487,5001
488,5360
489,5633
490,6000
491,6217
492,6738
493,7114
494,7760
495,7995
496,8646
497,9128
498,9882
499,10554
500,10958
501,11555
502,12177
503,12130
504,12544
505,12775
506,13146
507,13163
508,13310
509,13026
510,13120
511,13151
512,13233
513,13144
514,13542
515,13276
516,13589
517,13818
518,14072
519,14013
520,14775
521,15023
522,15611
523,15389
524,16185
525,16006
526,16367
527,16042
528,16358
529,16070
530,16263
531,15800
532,15896
533,15568
534,15568
535,15115
536,14843
537,14343
538,14095
539,13549
540,13405
541,12715
542,12616
543,12055
544,11734
545,11006
546,10650
547,10085
548,9961
549,9347
550,9143
551,8593
552,8608
553,8048
554,7964
555,7394
556,7359
557,6982
558,6857
559,6261
560,6383
561,5884
562,5836
563,5566
564,5391
565,5198
566,4943
567,4781
568,4721
569,4400
570,4360
571,4235
572,4062
573,3824
574,3825
575,3550
576,3401
577,3307
578,3259
579,3074
580,3036
581,2827
582,2725
583,2695
584,2579
585,2531
586,2370
587,2246
588,2249
589,2204
590,2159
591,2030
592,2118
593,2032
594,1920
595,1933
596,1923
597,1749
598,1804
599,1733
600,1662
601,1664
602,1631
603,1523
604,1445
605,1416
606,1478
607,1380
608,1352
609,1352
610,1266
611,1266
612,1244
613,1180
614,1166
615,1093
616,1210
617,1180
618,1157
619,1129
620,1143
621,1139
622,1153
623,1182
624,1222
625,1256
626,1270
627,1303
628,1409
629,1425
630,1468
631,1556
632,1607
633,1610
634,1500
635,1690
636,1660
637,1722
638,1598
639,1619
640,1597
641,1605
642,1617
643,1560
644,1578
645,1498
646,1560
647,1412
648,1520
649,1448
650,1426
651,1441
652,1425
653,1471
654,1422
655,1373
656,1434
657,1353
658,1443
659,1391
660,1333
661,1351
662,1343
663,1345
664,1268
665,1274
666,1332
667,1250
668,1218
669,1179
670,1174
671,1190
672,1112
673,1073
674,1090
675,986
676,976
677,936
678,884
679,864
680,835
681,750
682,752
683,735
684,702
685,676
686,635
687,678
688,615
689,597
690,594
691,514
692,516
693,506
694,496
695,431
696,458
697,458
698,425
699,399
700,397
701,355
702,426
703,380
704,354
705,348
