sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,5,0,216,2492,0,19,1,0
0,1,0,0,2,2845,0,5,0,0
1,0,350,0,265,2492,0,71,2,0
1,1,3,0,8,3215,0,79,0,0
2,0,775,0,273,2492,0,93,2,0
2,1,3,0,13,3601,0,213,0,0
3,0,1119,0,303,2492,0,113,2,0
3,1,4,0,19,3969,0,309,0,0
4,0,1541,0,329,2492,0,137,3,0
4,1,6,0,26,4348,0,393,0,0
5,0,2019,0,330,2492,0,161,3,0
5,1,8,0,35,4718,0,484,0,0
6,0,2498,0,330,2492,0,186,3,0
6,1,9,0,43,5090,0,575,0,0
7,0,2968,0,338,2492,0,209,3,0
7,1,11,0,49,5462,0,664,0,0
8,0,3436,0,348,2492,0,234,4,0
8,1,12,0,56,5834,0,754,0,0
9,0,3917,0,349,2492,0,258,4,0
9,1,15,0,66,6207,0,844,1,0
10,0,4376,0,367,2492,0,283,4,0
10,1,17,0,72,6577,0,934,1,0
11,0,4828,0,395,2492,0,307,5,0
11,1,18,0,77,6949,0,1024,1,0
12,0,5285,0,418,2492,0,331,5,0
12,1,21,0,84,7319,0,1116,1,0
13,0,5747,0,434,2492,0,356,5,0
13,1,23,0,94,7687,0,1208,1,0
14,0,6209,0,452,2492,0,380,6,0
14,1,24,0,100,8058,0,1299,1,0
15,0,6638,0,503,2492,0,404,6,0
15,1,26,0,105,8429,0,1390,1,0
16,0,7074,0,546,2492,0,429,6,0
16,1,28,0,111,8799,0,1481,1,0
17,0,7541,0,556,2492,0,454,6,0
17,1,30,0,116,9167,0,1573,2,0
18,0,7982,0,594,2492,0,479,7,0
18,1,31,0,123,9534,0,1665,2,0
19,0,8438,0,617,2492,0,504,7,0
19,1,33,0,131,9906,0,1755,2,0
20,0,8917,0,619,2492,0,529,7,0
20,1,35,0,140,10279,0,1846,2,0
21,0,9396,0,619,2492,0,554,8,0
21,1,37,0,148,10650,0,1938,2,0
22,0,9866,0,630,2492,0,580,8,0
22,1,39,0,154,11020,0,2029,2,0
23,0,10336,0,638,2492,0,605,8,0
23,1,41,0,160,11389,0,2120,2,0
24,0,10813,0,639,2492,0,630,9,0
24,1,42,0,169,11759,0,2211,2,0
25,0,11286,0,646,2492,0,655,9,0
25,1,44,0,176,12128,0,2303,3,0
26,0,11711,0,698,2492,0,680,9,0
26,1,45,0,182,12494,0,2396,3,0
27,0,12167,0,722,2492,0,706,10,0
27,1,47,0,191,12862,0,2489,3,0
28,0,12624,0,743,2492,0,731,10,0
28,1,48,0,198,13231,0,2580,3,0
29,0,13085,0,763,2492,0,755,10,0
29,1,50,0,202,13604,0,2671,3,0
30,0,13527,0,799,2492,0,780,11,0
30,1,52,0,210,13973,0,2763,3,0
31,0,13956,0,851,2492,0,805,11,0
31,1,53,0,218,14344,0,2855,3,0
32,0,14415,0,871,2492,0,830,11,0
32,1,54,0,227,14714,0,2946,3,0
33,0,14863,0,900,2492,0,855,12,0
33,1,56,0,235,15083,0,3037,4,0
34,0,15313,0,928,2492,0,880,12,0
34,1,57,0,240,15452,0,3128,4,0
35,0,15767,0,954,2492,0,905,12,0
35,1,60,0,248,15822,0,3220,4,0
36,0,16245,0,955,2492,0,930,13,0
36,1,61,0,253,16192,0,3311,4,0
37,0,16718,0,960,2492,0,955,13,0
37,1,63,0,261,16559,0,3403,4,0
38,0,17186,0,970,2492,0,981,13,0
38,1,64,0,266,16929,0,3495,4,0
39,0,17642,0,994,2492,0,1006,14,0
39,1,66,0,274,17297,0,3589,4,0
40,0,18120,0,996,2492,0,1031,14,0
40,1,69,0,284,17665,0,3681,4,0
41,0,18582,0,1013,2492,0,1056,14,0
41,1,71,0,290,18035,0,3773,5,0
42,0,19032,0,1040,2492,0,1081,15,0
42,1,73,0,300,18401,0,3866,5,0
43,0,19486,0,1065,2492,0,1106,15,0
43,1,77,0,303,18768,0,3959,5,0
44,0,19942,0,1086,2492,0,1131,15,0
44,1,79,0,308,19137,0,4049,5,0
45,0,20395,0,1113,2492,0,1157,16,0
45,1,81,0,315,19507,0,4142,5,0
