VM-exit counters per physical CPU (12 reasons):
  cpu         irq     timer      mmio       wfi   hvc-smc    sysreg    gic-if       sgi    cpu-up  sys-down   nothing     other
    1       15471     15365     46395     15364         -         -         -         -         -         -         -         -
    2        1610      1156     31203       128         7         -         -       128         -         -        11         -
    3        2079      1967        52      2839         -         -         -        21         -         -         2         -
Host periodic scheduler ticks (event-driven timer IRQs excluded):
  cpu   0:       3318
  cpu   1:       3319
  cpu   2:       3317
  cpu   3:       3314
axvisor:$ 
[2Kaxvisor:$ v
[2Kaxvisor:$ vm
[2Kaxvisor:$ vm 
[2Kaxvisor:$ vm c
[2Kaxvisor:$ vm co
[2Kaxvisor:$ vm con
[2Kaxvisor:$ vm cons
[2Kaxvisor:$ vm conso
[2Kaxvisor:$ vm consol
[2Kaxvisor:$ vm console
[2Kaxvisor:$ vm console 
[2Kaxvisor:$ vm console 2
✓ Attached VM[2] console; use Ctrl+X, then h to return to the shell
PERIODIC LATENCY START
sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10578896,37537010672,37537589568,578896
1,20644352,37547010672,37547655024,644352
2,30651408,37557010672,37557662080,651408
3,40639888,37567010672,37567650560,639888
4,50679984,37577010672,37577690656,679984
5,60666736,37587010672,37587677408,666736
6,70750736,37597010672,37597761408,750736
7,80675216,37607010672,37607685888,675216
8,90660224,37617010672,37617670896,660224
9,100667664,37627010672,37627678336,667664
10,110694464,37637010672,37637705136,694464
11,120665632,37647010672,37647676304,665632
12,130642656,37657010672,37657653328,642656
13,140719168,37667010672,37667729840,719168
14,150775568,37677010672,37677786240,775568
15,160652976,37687010672,37687663648,652976
16,170687664,37697010672,37697698336,687664
17,180636176,37707010672,37707646848,636176
18,190684960,37717010672,37717695632,684960
19,200688720,37727010672,37727699392,688720
20,210645536,37737010672,37737656208,645536
21,220742096,37747010672,37747752768,742096
22,230748272,37757010672,37757758944,748272
23,240828992,37767010672,37767839664,828992
24,250641184,37777010672,37777651856,641184
25,260743040,37787010672,37787753712,743040
26,270798192,37797010672,37797808864,798192
27,280794400,37807010672,37807805072,794400
28,290760192,37817010672,37817770864,760192
29,300743680,37827010672,37827754352,743680
30,310754992,37837010672,37837765664,754992
31,320750480,37847010672,37847761152,750480
32,330699024,37857010672,37857709696,699024
33,340645872,37867010672,37867656544,645872
34,350683040,37877010672,37877693712,683040
35,360672832,37887010672,37887683504,672832
36,370706064,37897010672,37897716736,706064
37,380653536,37907010672,37907664208,653536
38,390648208,37917010672,37917658880,648208
39,400646208,37927010672,37927656880,646208
40,410685392,37937010672,37937696064,685392
41,420633056,37947010672,37947643728,633056
42,430688000,37957010672,37957698672,688000
43,440699776,37967010672,37967710448,699776
44,450682256,37977010672,37977692928,682256
45,460793344,37987010672,37987804016,793344
46,470710704,37997010672,37997721376,710704
47,480762768,38007010672,38007773440,762768
48,490747728,38017010672,38017758400,747728
49,500759616,38027010672,38027770288,759616
50,510801856,38037010672,38037812528,801856
51,520738816,38047010672,38047749488,738816
52,530780576,38057010672,38057791248,780576
53,540701280,38067010672,38067711952,701280
54,550681040,38077010672,38077691712,681040
55,560812560,38087010672,38087823232,812560
56,570746832,38097010672,38097757504,746832
57,580767776,38107010672,38107778448,767776
58,590727776,38117010672,38117738448,727776
59,600701968,38127010672,38127712640,701968
60,610766400,38137010672,38137777072,766400
61,620809392,38147010672,38147820064,809392
62,630738768,38157010672,38157749440,738768
63,640669152,38167010672,38167679824,669152
64,650727776,38177010672,38177738448,727776
65,660767024,38187010672,38187777696,767024
66,670804400,38197010672,38197815072,804400
67,680789664,38207010672,38207800336,789664
68,690803312,38217010672,38217813984,803312
69,700776656,38227010672,38227787328,776656
70,710724432,38237010672,38237735104,724432
71,720726336,38247010672,38247737008,726336
72,730712688,38257010672,38257723360,712688
73,740712864,38267010672,38267723536,712864
74,750755120,38277010672,38277765792,755120
75,760798416,38287010672,38287809088,798416
76,770657264,38297010672,38297667936,657264
77,780699168,38307010672,38307709840,699168
78,790824208,38317010672,38317834880,824208
79,800778736,38327010672,38327789408,778736
80,810807840,38337010672,38337818512,807840
81,820688400,38347010672,38347699072,688400
82,830668688,38357010672,38357679360,668688
83,840641600,38367010672,38367652272,641600
84,850685856,38377010672,38377696528,685856
85,860672736,38387010672,38387683408,672736
86,870689568,38397010672,38397700240,689568
87,880670880,38407010672,38407681552,670880
88,890683568,38417010672,38417694240,683568
89,900645280,38427010672,38427655952,645280
90,910713280,38437010672,38437723952,713280
91,920656912,38447010672,38447667584,656912
92,930686320,38457010672,38457696992,686320
93,940670592,38467010672,38467681264,670592
94,950737936,38477010672,38477748608,737936
95,960642624,38487010672,38487653296,642624
96,970655776,38497010672,38497666448,655776
97,980565936,38507010672,38507576608,565936
98,990666592,38517010672,38517677264,666592
99,1000554272,38527010672,38527564944,554272
100,1010595072,38537010672,38537605744,595072
101,1020547408,38547010672,38547558080,547408
102,1030530688,38557010672,38557541360,530688
103,1040545232,38567010672,38567555904,545232
104,1050609664,38577010672,38577620336,609664
105,1060516928,38587010672,38587527600,516928
106,1070529024,38597010672,38597539696,529024
107,1080541824,38607010672,38607552496,541824
108,1090573264,38617010672,38617583936,573264
109,1100525584,38627010672,38627536256,525584
110,1110769120,38637010672,38637779792,769120
111,1120651504,38647010672,38647662176,651504
112,1130672336,38657010672,38657683008,672336
113,1140730544,38667010672,38667741216,730544
114,1150807920,38677010672,38677818592,807920
115,1160773168,38687010672,38687783840,773168
116,1170687648,38697010672,38697698320,687648
117,1180775712,38707010672,38707786384,775712
118,1190709712,38717010672,38717720384,709712
119,1200739584,38727010672,38727750256,739584
120,1210764784,38737010672,38737775456,764784
121,1220864240,38747010672,38747874912,864240
122,1230783888,38757010672,38757794560,783888
123,1240757040,38767010672,38767767712,757040
124,1250772288,38777010672,38777782960,772288
125,1260744496,38787010672,38787755168,744496
126,1270682208,38797010672,38797692880,682208
127,1280788384,38807010672,38807799056,788384
128,1290742576,38817010672,38817753248,742576
129,1300780272,38827010672,38827790944,780272
130,1310788128,38837010672,38837798800,788128
131,1320712608,38847010672,38847723280,712608
132,1330679200,38857010672,38857689872,679200
133,1340742272,38867010672,38867752944,742272
134,1350689312,38877010672,38877699984,689312
135,1360656528,38887010672,38887667200,656528
136,1370690352,38897010672,38897701024,690352
137,1380725888,38907010672,38907736560,725888
138,1390762864,38917010672,38917773536,762864
139,1400728400,38927010672,38927739072,728400
140,1410749968,38937010672,38937760640,749968
