bucket_us,count
149,1
163,1
164,2
165,1
166,1
167,2
168,7
169,14
170,22
171,20
172,33
173,43
174,54
175,60
176,91
177,101
178,89
179,90
180,97
181,114
182,113
183,106
184,94
185,105
186,127
187,111
188,132
189,122
190,115
191,105
192,131
193,130
194,135
195,123
196,106
197,123
198,151
199,125
200,134
201,110
202,122
203,123
204,124
205,124
206,121
207,114
208,114
209,98
210,111
211,100
212,91
213,89
214,99
215,102
216,89
217,94
218,104
219,70
220,90
221,102
222,93
223,88
224,72
225,93
226,85
227,88
228,97
229,81
230,74
231,84
232,82
233,86
234,87
235,84
236,74
237,82
238,74
239,74
240,72
241,68
242,67
243,76
244,83
245,71
246,75
247,58
248,62
249,71
250,65
251,77
252,62
253,58
254,72
255,69
256,73
257,61
258,54
259,66
260,59
261,58
262,69
263,60
264,62
265,75
266,61
267,70
268,66
269,70
270,67
271,57
272,60
273,54
274,62
275,71
276,72
277,60
278,68
279,71
280,61
281,62
282,48
283,65
284,55
285,52
286,68
287,56
288,63
289,63
290,57
291,57
292,57
293,54
294,54
295,62
296,55
297,48
298,66
299,62
300,46
301,68
302,72
303,62
304,72
305,61
306,76
307,67
308,64
309,62
310,55
311,65
312,62
313,70
314,67
315,64
316,55
317,57
318,76
319,72
320,80
321,76
322,74
323,80
324,67
325,68
326,80
327,106
328,92
329,107
330,107
331,127
332,119
333,132
334,161
335,149
336,181
337,192
338,207
339,192
340,211
341,241
342,257
343,270
344,305
345,323
346,343
347,351
348,359
349,363
350,389
351,407
352,438
353,440
354,446
355,415
356,473
357,458
358,488
359,460
360,461
361,499
362,527
363,541
364,502
365,518
366,537
367,501
368,491
369,504
370,496
371,482
372,487
373,488
374,464
375,449
376,467
377,439
378,477
379,447
380,477
381,475
382,469
383,428
384,433
385,465
386,449
387,427
388,424
389,440
390,462
391,450
392,449
393,467
394,497
395,464
396,448
397,483
398,487
399,454
400,435
401,426
402,478
403,477
404,454
405,469
406,458
407,466
408,429
409,397
410,434
411,409
412,451
413,432
414,437
415,393
416,420
417,455
418,480
419,418
420,457
421,492
422,436
423,457
424,510
425,508
426,539
427,572
428,561
429,616
430,593
431,637
432,650
433,674
434,732
435,769
436,777
437,835
438,895
439,946
440,1020
441,1080
442,1227
443,1327
444,1497
445,1631
446,1862
447,2164
448,2577
449,2759
450,3253
451,3528
452,4098
453,4491
454,5052
455,5482
456,6039
457,6549
458,7214
459,7625
460,8199
461,8292
462,8612
463,8579
464,8729
465,8330
466,8760
467,8271
468,8412
469,8217
470,8144
471,7809
472,7847
473,7550
474,7570
475,7424
476,7181
477,7066
478,6950
479,6962
480,6939
481,6770
482,6996
483,6747
484,6959
485,6787
486,6902
487,7043
488,7420
489,7396
490,7756
491,8035
492,8439
493,8588
494,9368
495,9362
496,9843
497,10218
498,10665
499,10965
500,11244
501,11104
502,11681
503,11540
504,11755
505,11483
506,11718
507,11467
508,11526
509,11320
510,11241
511,11004
512,11376
513,11063
514,11463
515,11370
516,11886
517,11876
518,12289
519,12591
520,13097
521,13094
522,13210
523,13087
524,13449
525,13131
526,13353
527,12995
528,13186
529,12584
530,12944
531,12498
532,12106
533,11775
534,11536
535,11245
536,10924
537,10298
538,10041
539,9405
540,8960
541,8540
542,8464
543,7914
544,7693
545,7220
546,7073
547,6975
548,6944
549,6635
550,6716
551,6587
552,6722
553,6493
554,6246
555,5879
556,5958
557,5581
558,5528
559,5256
560,5254
561,5049
562,5071
563,4968
564,5054
565,4781
566,4883
567,4762
568,4715
569,4529
570,4629
571,4549
572,4827
573,4878
574,4996
575,5193
576,5822
577,6110
578,6566
579,6856
580,7435
581,7893
582,8007
583,8274
584,8705
585,8654
586,8750
587,8558
588,8568
589,8273
590,8272
591,7657
592,7491
593,7017
594,6769
595,6195
596,5724
597,5380
598,4989
599,4633
600,4367
601,3947
602,3806
603,3357
604,3136
605,2950
606,2711
607,2467
608,2353
609,2193
610,2144
611,1960
612,1939
613,1866
614,1823
615,1807
616,1753
617,1699
618,1849
619,1713
620,1757
621,1764
622,1727
623,1728
624,1772
625,1704
626,1709
627,1757
628,1746
629,1705
630,1730
631,1630
632,1602
633,1478
634,1524
635,1520
636,1512
637,1492
638,1459
639,1442
640,1491
641,1341
642,1463
643,1364
644,1305
645,1281
646,1360
647,1253
648,1292
649,1238
650,1257
651,1256
652,1240
653,1178
654,1264
655,1212
656,1301
657,1293
658,1319
659,1274
660,1324
661,1237
662,1275
663,1276
664,1260
665,1266
666,1275
667,1261
668,1294
669,1239
670,1240
671,1168
672,1194
673,1152
674,1098
675,1045
676,1020
677,978
678,934
679,936
680,927
681,936
682,887
683,888
684,843
685,782
686,744
687,779
688,710
689,682
690,649
691,644
692,627
693,619
694,590
695,618
696,562
697,557
698,574
699,567
700,555
701,556
702,522
703,479
704,500
705,488
706,490
707,458
708,434
709,410
710,456
711,398
712,370
713,398
714,412
715,382
716,347
717,363
718,360
719,332
720,328
721,289
722,312
723,286
724,319
725,294
726,316
727,309
728,311
729,307
730,306
731,313
732,286
733,265
734,262
735,255
736,254
737,273
738,255
739,260
740,264
741,235
742,253
743,241
744,238
745,237
746,255
747,226
748,263
749,227
750,284
751,271
752,276
753,301
754,302
755,325
756,342
757,330
758,354
759,379
760,385
761,342
762,348
763,389
764,397
765,344
766,382
767,405
768,338
769,418
770,376
771,367
772,392
773,376
774,366
775,402
776,411
777,384
778,439
779,462
780,485
781,507
782,547
783,573
784,590
785,644
786,713
787,681
788,731
789,766
790,857
791,869
792,918
793,951
794,1098
795,1126
796,1143
797,1236
798,1258
799,1263
800,1349
801,1375
802,1441
803,1530
804,1608
805,1577
806,1806
807,1736
808,1881
809,1810
810,1865
811,1857
812,2003
813,2010
814,2113
815,2059
816,2142
817,2143
818,2254
819,2249
820,2326
821,2269
822,2227
823,2167
824,2136
825,2222
826,2025
827,1900
828,1976
829,1870
830,1755
831,1705
832,1773
833,1634
834,1593
835,1474
836,1471
837,1406
838,1419
839,1348
840,1235
841,1188
842,1249
843,1095
844,1049
845,1026
846,976
847,923
848,916
849,892
850,892
851,865
852,810
853,808
854,697
855,752
856,769
857,745
858,749
859,750
860,752
861,726
862,765
863,762
864,813
865,839
866,856
867,789
868,836
869,892
870,819
871,788
872,874
873,897
874,898
875,922
876,940
877,996
878,1028
879,992
880,1023
881,1110
882,1108
883,1121
884,1158
885,1138
886,1160
887,1265
888,1231
889,1278
890,1279
891,1267
892,1253
893,1196
894,1267
895,1202
896,1266
897,1134
898,1222
899,1242
900,1246
901,1181
902,1119
903,1158
904,1085
905,1108
906,1069
907,1056
908,1019
909,1019
910,999
911,986
912,968
913,928
914,912
915,930
916,875
917,798
918,816
919,821
920,762
921,731
922,714
923,651
924,624
925,594
926,582
927,595
928,550
929,537
930,521
931,467
932,468
933,443
934,449
935,412
936,376
937,376
938,361
939,311
940,341
941,332
942,297
943,285
944,271
945,263
946,261
947,246
948,215
949,200
950,233
951,206
952,188
953,185
954,182
955,164
956,139
957,153
958,160
959,145
960,150
961,143
962,127
963,108
964,126
965,151
966,92
967,106
968,125
969,95
970,99
971,113
972,93
973,98
974,103
975,93
976,99
977,73
978,84
979,85
980,92
981,88
982,110
983,74
984,92
985,87
986,86
987,85
988,94
989,67
990,91
991,94
992,100
993,99
994,103
995,97
996,129
997,116
998,119
999,107
1000,125
1001,154
1002,148
1003,167
1004,157
1005,187
1006,189
1007,200
1008,203
1009,231
1010,264
1011,273
1012,303
1013,294
1014,290
1015,328
1016,374
1017,391
1018,410
1019,418
1020,451
1021,427
1022,523
1023,445
1024,458
1025,503
1026,519
1027,499
1028,481
1029,478
1030,479
1031,457
1032,538
1033,513
1034,536
1035,511
1036,467
1037,481
1038,451
1039,444
1040,470
1041,410
1042,437
1043,457
1044,424
1045,426
1046,378
1047,387
1048,376
1049,351
1050,365
1051,375
1052,325
1053,366
1054,327
1055,319
1056,289
1057,296
1058,306
1059,264
1060,269
1061,268
1062,251
