sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,6,0,212,2473,0,20,1,0
0,1,0,0,0,2874,0,5,0,0
1,0,345,0,266,2473,0,43,2,0
1,1,0,0,3,3235,0,119,0,0
2,0,729,0,288,2473,0,67,2,0
2,1,0,0,7,3593,0,205,0,0
3,0,1113,0,322,2473,0,91,2,0
3,1,1,0,10,4013,0,298,0,0
4,0,1533,0,350,2473,0,118,3,0
4,1,2,0,12,4374,0,399,0,0
5,0,2007,0,351,2473,0,146,3,0
5,1,2,0,16,4732,0,502,0,0
6,0,2481,0,352,2473,0,174,3,0
6,1,4,0,19,5086,0,608,0,0
7,0,2953,0,357,2473,0,202,3,0
7,1,5,0,21,5439,0,717,0,0
8,0,3421,0,364,2473,0,229,4,0
8,1,6,0,25,5794,0,822,1,0
9,0,3898,0,365,2473,0,256,4,0
9,1,6,0,28,6157,0,921,1,0
10,0,4362,0,377,2473,0,284,4,0
10,1,7,0,30,6516,0,1022,1,0
11,0,4810,0,407,2473,0,312,5,0
11,1,8,0,30,6873,0,1126,1,0
12,0,5257,0,436,2473,0,340,5,0
12,1,9,0,35,7226,0,1233,1,0
13,0,5700,0,468,2473,0,368,5,0
13,1,11,0,40,7576,0,1345,1,0
14,0,6158,0,487,2473,0,396,6,0
14,1,11,0,42,7928,0,1454,1,0
15,0,6607,0,513,2473,0,424,6,0
15,1,12,0,47,8281,0,1560,1,0
16,0,7029,0,567,2473,0,453,6,0
16,1,12,0,50,8638,0,1665,1,0
17,0,7497,0,573,2473,0,481,7,0
17,1,13,0,53,8994,0,1770,2,0
18,0,7930,0,617,2473,0,509,7,0
18,1,13,0,55,9348,0,1880,2,0
19,0,8384,0,639,2473,0,538,7,0
19,1,13,0,59,9694,0,1994,2,0
20,0,8850,0,648,2473,0,566,7,0
20,1,15,0,61,10054,0,2095,2,0
21,0,9324,0,648,2473,0,594,8,0
21,1,16,0,62,10407,0,2203,2,0
22,0,9777,0,672,2473,0,622,8,0
22,1,16,0,64,10760,0,2313,2,0
23,0,10245,0,680,2473,0,650,8,0
23,1,16,0,68,11109,0,2425,2,0
24,0,10718,0,682,2473,0,678,9,0
24,1,17,0,70,11460,0,2536,2,0
25,0,11195,0,683,2473,0,707,9,0
25,1,17,0,73,11817,0,2640,2,0
26,0,11622,0,730,2473,0,735,9,0
26,1,18,0,76,12177,0,2740,3,0
27,0,12074,0,753,2473,0,763,10,0
27,1,18,0,80,12528,0,2850,3,0
28,0,12524,0,779,2473,0,792,10,0
28,1,20,0,85,12883,0,2956,3,0
29,0,12995,0,784,2473,0,820,10,0
29,1,20,0,88,13233,0,3068,3,0
30,0,13442,0,812,2473,0,848,11,0
30,1,22,0,91,13588,0,3174,3,0
31,0,13870,0,859,2473,0,876,11,0
31,1,22,0,96,13947,0,3275,3,0
32,0,14330,0,876,2473,0,904,11,0
32,1,22,0,100,14307,0,3375,3,0
33,0,14775,0,908,2473,0,931,12,0
33,1,23,0,102,14670,0,3475,4,0
34,0,15233,0,926,2473,0,960,12,0
34,1,23,0,105,15029,0,3577,4,0
35,0,15692,0,942,2473,0,988,12,0
35,1,23,0,108,15384,0,3681,4,0
36,0,16169,0,942,2473,0,1017,13,0
36,1,23,0,110,15741,0,3787,4,0
37,0,16641,0,944,2473,0,1045,13,0
37,1,24,0,113,16095,0,3892,4,0
38,0,17112,0,950,2473,0,1072,13,0
38,1,24,0,114,16457,0,3995,4,0
39,0,17584,0,952,2473,0,1101,13,0
39,1,25,0,119,16813,0,4098,4,0
40,0,18059,0,953,2473,0,1129,14,0
40,1,26,0,121,17168,0,4203,5,0
41,0,18498,0,989,2473,0,1157,14,0
41,1,26,0,123,17519,0,4312,5,0
42,0,18948,0,1016,2473,0,1185,14,0
42,1,26,0,126,17872,0,4422,5,0
43,0,19402,0,1038,2473,0,1213,15,0
43,1,27,0,131,18230,0,4526,5,0
44,0,19861,0,1053,2473,0,1241,15,0
44,1,28,0,135,18590,0,4625,5,0
45,0,20305,0,1087,2473,0,1270,15,0
45,1,30,0,138,18949,0,4729,5,0
46,0,20736,0,1130,2473,0,1298,16,0
46,1,31,0,140,19302,0,4836,5,0
47,0,21178,0,1165,2473,0,1326,16,0
47,1,32,0,143,19659,0,4941,5,0
48,0,21647,0,1171,2473,0,1355,16,0
48,1,33,0,146,20016,0,5045,6,0
49,0,22083,0,1211,2473,0,1383,17,0
49,1,34,0,148,20373,0,5148,6,0
50,0,22532,0,1237,2473,0,1412,17,0
50,1,34,0,151,20729,0,5250,6,0
51,0,23007,0,1239,2473,0,1439,17,0
51,1,36,0,153,21078,0,5363,6,0
52,0,23483,0,1239,2473,0,1468,18,0
52,1,37,0,156,21431,0,5471,6,0
53,0,23951,0,1248,2473,0,1496,18,0
53,1,38,0,158,21786,0,5577,6,0
54,0,24418,0,1256,2473,0,1523,18,0
54,1,39,0,160,22146,0,5679,7,0
55,0,24894,0,1256,2473,0,1552,19,0
55,1,40,0,162,22501,0,5787,7,0
56,0,25361,0,1264,2473,0,1580,19,0
56,1,40,0,165,22857,0,5891,7,0
57,0,25772,0,1327,2473,0,1609,19,0
57,1,41,0,169,23214,0,5994,7,0
58,0,26232,0,1344,2473,0,1636,20,0
58,1,41,0,170,23577,0,6094,7,0
59,0,26667,0,1385,2473,0,1664,20,0
