bucket_us,count
158,1
159,3
160,6
161,6
162,17
163,20
164,19
165,33
166,44
167,54
168,57
169,64
170,62
171,89
172,87
173,88
174,115
175,94
176,120
177,112
178,138
179,144
180,129
181,135
182,159
183,169
184,156
185,142
186,139
187,135
188,181
189,185
190,155
191,154
192,152
193,165
194,160
195,146
196,142
197,139
198,135
199,108
200,152
201,133
202,141
203,137
204,128
205,127
206,147
207,139
208,129
209,120
210,138
211,131
212,128
213,121
214,134
215,136
216,137
217,122
218,124
219,115
220,118
221,81
222,110
223,111
224,117
225,104
226,100
227,91
228,106
229,108
230,82
231,79
232,101
233,74
234,86
235,99
236,88
237,80
238,85
239,84
240,62
241,75
242,77
243,76
244,64
245,85
246,65
247,70
248,86
249,56
250,69
251,67
252,62
253,67
254,66
255,75
256,65
257,68
258,73
259,66
260,58
261,60
262,54
263,56
264,50
265,67
266,51
267,63
268,55
269,64
270,66
271,69
272,55
273,51
274,61
275,47
276,50
277,50
278,69
279,48
280,48
281,48
282,61
283,65
284,57
285,55
286,39
287,68
288,47
289,47
290,45
291,46
292,41
293,41
294,48
295,38
296,46
297,36
298,51
299,40
300,51
301,47
302,32
303,42
304,37
305,41
306,36
307,31
308,36
309,49
310,34
311,46
312,44
313,28
314,33
315,34
316,37
317,35
318,36
319,42
320,35
321,36
322,32
323,50
324,43
325,39
326,39
327,26
328,43
329,34
330,37
331,37
332,37
333,48
334,41
335,49
336,53
337,50
338,63
339,77
340,93
341,98
342,104
343,119
344,136
345,156
346,160
347,149
348,184
349,193
350,244
351,233
352,242
353,259
354,295
355,267
356,309
357,365
358,351
359,369
360,403
361,381
362,426
363,417
364,420
365,414
366,424
367,415
368,430
369,501
370,468
371,484
372,481
373,463
374,484
375,444
376,495
377,476
378,450
379,505
380,496
381,508
382,494
383,468
384,509
385,491
386,524
387,442
388,444
389,480
390,469
391,490
392,452
393,464
394,474
395,468
396,461
397,455
398,446
399,499
400,464
401,465
402,442
403,446
404,469
405,466
406,479
407,456
408,438
409,440
410,426
411,486
412,466
413,461
414,448
415,470
416,433
417,454
418,449
419,461
420,482
421,472
422,486
423,433
424,527
425,507
426,531
427,513
428,528
429,527
430,592
431,590
432,706
433,725
434,747
435,764
436,906
437,964
438,1067
439,1151
440,1272
441,1460
442,1644
443,1880
444,2090
445,2213
446,2449
447,2574
448,2733
449,2963
450,3282
451,3377
452,3663
453,3749
454,4165
455,4213
456,4366
457,4457
458,4808
459,4973
460,5147
461,5275
462,5536
463,5779
464,6029
465,5937
466,6369
467,6440
468,6512
469,6577
470,6755
471,6750
472,6977
473,6927
474,7026
475,6912
476,7181
477,7059
478,7336
479,7594
480,7653
481,7703
482,8102
483,8072
484,8457
485,8855
486,9055
487,9146
488,9632
489,9647
490,10135
491,10021
492,10449
493,10582
494,11091
495,10927
496,11588
497,11754
498,12139
499,12290
500,12659
501,12687
502,13045
503,13369
504,13766
505,13929
506,14329
507,14117
508,14594
509,14882
510,15131
511,15454
512,15769
513,15760
514,16319
515,16304
516,17074
517,17362
518,18106
519,17996
520,18762
521,18801
522,19722
523,19537
524,20082
525,20374
526,20672
527,20601
528,21072
529,20930
530,21600
531,21346
532,21545
533,21386
534,21484
535,21153
536,20902
537,20480
538,20779
539,20248
540,20010
541,19464
542,19584
543,18692
544,18515
545,17920
546,17470
547,16721
548,16498
549,15934
550,15645
551,14652
552,14658
553,13917
554,13547
555,12818
556,12458
557,11798
558,11345
559,10534
560,10136
561,9695
562,9222
563,8832
564,8463
565,7905
566,7903
567,7312
568,7107
569,6798
570,6279
571,5921
572,5770
573,5438
574,5151
575,4907
576,4642
577,4383
578,4287
579,4087
580,3710
581,3594
582,3424
583,3159
584,3044
585,2801
586,2695
587,2543
588,2423
589,2386
590,2279
591,2170
592,2188
593,2031
594,1954
595,1841
596,1761
597,1773
598,1828
599,1692
600,1632
601,1596
602,1619
603,1551
604,1570
605,1513
606,1548
607,1488
608,1421
609,1491
610,1568
611,1428
612,1483
613,1349
614,1433
615,1325
616,1372
617,1344
618,1315
619,1321
620,1214
621,1219
622,1198
623,1207
624,1191
625,1160
626,1122
627,1096
628,1099
629,1080
630,1064
631,1039
632,1015
633,1008
634,981
635,895
636,909
637,886
638,874
639,857
640,815
641,852
642,832
643,742
644,710
645,728
646,620
647,671
648,629
649,673
650,605
651,570
652,539
653,589
654,543
655,487
656,519
657,464
658,512
659,497
660,454
661,463
662,440
