sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,5,0,214,2474,0,18,1,0
0,1,0,0,2,2861,0,30,0,0
1,0,6,0,216,2972,0,19,1,0
1,1,1,0,4,3256,0,103,0,0
2,0,6,0,217,3469,0,20,2,0
2,1,2,0,6,3645,0,180,0,0
3,0,7,0,218,3967,0,21,2,0
3,1,2,0,8,3997,0,298,0,0
4,0,7,0,220,4463,0,22,2,0
4,1,2,0,10,4379,0,381,0,0
5,0,7,0,221,4962,0,23,2,0
5,1,2,0,13,4753,0,468,0,0
6,0,8,0,223,5460,0,24,2,0
6,1,2,0,14,5127,0,556,0,0
7,0,8,0,224,5959,0,25,3,0
7,1,3,0,16,5499,0,643,1,0
8,0,8,0,226,6456,0,26,3,0
8,1,3,0,19,5873,0,731,1,0
9,0,8,0,226,6955,0,27,3,0
9,1,3,0,20,6246,0,819,1,0
10,0,8,0,228,7452,0,28,3,0
10,1,4,0,25,6620,0,907,1,0
11,0,9,0,229,7951,0,29,3,0
11,1,5,0,26,6994,0,995,1,0
12,0,9,0,230,8449,0,30,3,0
12,1,5,0,28,7369,0,1081,1,0
13,0,10,0,232,8947,0,31,4,0
13,1,5,0,29,7744,0,1168,1,0
14,0,10,0,233,9445,0,32,4,0
14,1,5,0,32,8117,0,1255,2,0
15,0,10,0,234,9944,0,33,4,0
15,1,6,0,35,8488,0,1343,2,0
16,0,10,0,235,10441,0,34,4,0
16,1,6,0,38,8860,0,1433,2,0
17,0,10,0,236,10940,0,34,4,0
17,1,7,0,41,9235,0,1520,2,0
18,0,11,0,237,11438,0,35,4,0
18,1,7,0,42,9608,0,1607,2,0
19,0,11,0,239,11937,0,36,5,0
19,1,7,0,44,9982,0,1693,2,0
20,0,11,0,240,12434,0,37,5,0
20,1,8,0,45,10357,0,1780,2,0
21,0,12,0,241,12933,0,38,5,0
21,1,8,0,48,10730,0,1867,2,0
22,0,12,0,242,13431,0,39,5,0
22,1,9,0,51,11100,0,1958,3,0
23,0,12,0,243,13929,0,40,5,0
23,1,9,0,53,11472,0,2046,3,0
24,0,12,0,245,14427,0,41,6,0
24,1,9,0,54,11845,0,2135,3,0
25,0,12,0,246,14926,0,42,6,0
25,1,10,0,55,12218,0,2223,3,0
26,0,13,0,247,15423,0,43,6,0
26,1,11,0,58,12588,0,2313,3,0
27,0,13,0,248,15922,0,44,6,0
27,1,11,0,60,12960,0,2401,3,0
28,0,13,0,250,16419,0,45,6,0
28,1,11,0,61,13332,0,2490,3,0
29,0,13,0,250,16918,0,46,6,0
29,1,11,0,62,13704,0,2579,4,0
30,0,13,0,252,17415,0,47,7,0
30,1,11,0,64,14076,0,2667,4,0
31,0,13,0,253,17914,0,48,7,0
31,1,13,0,66,14446,0,2757,4,0
32,0,13,0,255,18411,0,49,7,0
32,1,13,0,69,14817,0,2845,4,0
33,0,14,0,255,18910,0,50,7,0
33,1,14,0,70,15189,0,2934,4,0
34,0,14,0,257,19407,0,51,7,0
34,1,15,0,74,15559,0,3024,4,0
35,0,15,0,257,19906,0,51,7,0
35,1,15,0,76,15931,0,3112,4,0
36,0,16,0,258,20404,0,52,8,0
36,1,15,0,77,16305,0,3199,5,0
37,0,16,0,258,20903,0,53,8,0
37,1,15,0,79,16677,0,3288,5,0
38,0,17,0,260,21400,0,54,8,0
38,1,16,0,82,17048,0,3377,5,0
39,0,17,0,261,21899,0,55,8,0
39,1,16,0,82,17422,0,3464,5,0
40,0,18,0,263,22396,0,56,8,0
40,1,17,0,86,17794,0,3552,5,0
41,0,18,0,263,22895,0,57,9,0
41,1,17,0,87,18166,0,3640,5,0
42,0,18,0,265,23392,0,58,9,0
42,1,18,0,89,18537,0,3729,5,0
43,0,19,0,265,23891,0,59,9,0
43,1,19,0,89,18910,0,3817,6,0
44,0,19,0,267,24389,0,60,9,0
44,1,19,0,91,19282,0,3906,6,0
45,0,19,0,268,24888,0,61,9,0
45,1,19,0,93,19653,0,3995,6,0
46,0,19,0,270,25385,0,62,9,0
46,1,20,0,95,20025,0,4084,6,0
47,0,19,0,271,25884,0,63,10,0
47,1,20,0,97,20396,0,4173,6,0
48,0,20,0,273,26381,0,64,10,0
48,1,21,0,98,20768,0,4262,6,0
