sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10708496,36965010448,36965718944,708496
1,20665920,36975010448,36975676368,665920
2,30719920,36985010448,36985730368,719920
3,40672176,36995010448,36995682624,672176
4,50679136,37005010448,37005689584,679136
5,60587936,37015010448,37015598384,587936
6,70610000,37025010448,37025620448,610000
7,80572032,37035010448,37035582480,572032
8,90594288,37045010448,37045604736,594288
9,100558624,37055010448,37055569072,558624
10,110509296,37065010448,37065519744,509296
11,120580608,37075010448,37075591056,580608
12,130596544,37085010448,37085606992,596544
13,140637024,37095010448,37095647472,637024
14,150616816,37105010448,37105627264,616816
15,160382896,37115010448,37115393344,382896
16,170759712,37125010448,37125770160,759712
17,180552672,37135010448,37135563120,552672
18,190600048,37145010448,37145610496,600048
19,200608752,37155010448,37155619200,608752
20,210588976,37165010448,37165599424,588976
21,220683248,37175010448,37175693696,683248
22,230673136,37185010448,37185683584,673136
23,240511808,37195010448,37195522256,511808
24,250611824,37205010448,37205622272,611824
25,260720496,37215010448,37215730944,720496
26,270683088,37225010448,37225693536,683088
27,280674352,37235010448,37235684800,674352
28,290671232,37245010448,37245681680,671232
29,300690560,37255010448,37255701008,690560
30,310785424,37265010448,37265795872,785424
31,320672512,37275010448,37275682960,672512
32,330721472,37285010448,37285731920,721472
33,340522896,37295010448,37295533344,522896
34,350666896,37305010448,37305677344,666896
35,360513232,37315010448,37315523680,513232
36,370483056,37325010448,37325493504,483056
37,380687424,37335010448,37335697872,687424
38,390690720,37345010448,37345701168,690720
39,400555360,37355010448,37355565808,555360
40,410707792,37365010448,37365718240,707792
41,420543296,37375010448,37375553744,543296
42,430620624,37385010448,37385631072,620624
43,440673360,37395010448,37395683808,673360
44,450609600,37405010448,37405620048,609600
45,460729968,37415010448,37415740416,729968
46,470733088,37425010448,37425743536,733088
47,480624368,37435010448,37435634816,624368
48,490591024,37445010448,37445601472,591024
49,500598416,37455010448,37455608864,598416
50,510624784,37465010448,37465635232,624784
51,520600112,37475010448,37475610560,600112
52,530678464,37485010448,37485688912,678464
53,540646720,37495010448,37495657168,646720
54,550608352,37505010448,37505618800,608352
55,560622288,37515010448,37515632736,622288
56,570589392,37525010448,37525599840,589392
57,580594368,37535010448,37535604816,594368
58,590600336,37545010448,37545610784,600336
59,600600240,37555010448,37555610688,600240
60,610617360,37565010448,37565627808,617360
61,620670464,37575010448,37575680912,670464
62,630591648,37585010448,37585602096,591648
63,640632976,37595010448,37595643424,632976
64,650598944,37605010448,37605609392,598944
65,660608400,37615010448,37615618848,608400
66,670586176,37625010448,37625596624,586176
67,680679280,37635010448,37635689728,679280
