bucket_us,count
156,2
157,1
158,1
159,7
160,12
161,17
162,32
163,35
164,51
165,51
166,63
167,72
168,76
169,75
170,101
171,109
172,141
173,133
174,130
175,135
176,144
177,170
178,180
179,183
180,180
181,182
182,171
183,171
184,190
185,196
186,203
187,203
188,178
189,202
190,200
191,192
192,204
193,228
194,197
195,229
196,253
197,252
198,258
199,260
200,241
201,238
202,251
203,246
204,234
205,261
206,260
207,260
208,227
209,252
210,250
211,257
212,226
213,253
214,247
215,241
216,238
217,237
218,263
219,206
220,224
221,206
222,228
223,204
224,212
225,221
226,184
227,173
228,187
229,184
230,203
231,197
232,196
233,195
234,180
235,182
236,156
237,176
238,202
239,165
240,207
241,196
242,168
243,148
244,168
245,142
246,180
247,155
248,141
249,160
250,120
251,142
252,141
253,125
254,129
255,139
256,122
257,143
258,164
259,128
260,142
261,143
262,127
263,130
264,129
265,116
266,113
267,122
268,94
269,108
270,96
271,108
272,105
273,99
274,99
275,90
276,112
277,94
278,105
279,97
280,90
281,96
282,101
283,87
284,78
285,96
286,71
287,78
288,80
289,79
290,83
291,68
292,85
293,71
294,76
295,66
296,78
297,69
298,85
299,64
300,70
301,62
302,72
303,71
304,52
305,78
306,60
307,59
308,57
309,57
310,74
311,59
312,64
313,61
314,68
315,49
316,54
317,57
318,59
319,61
320,67
321,67
322,46
323,46
324,63
325,64
326,42
327,53
328,57
329,64
330,69
331,49
332,68
333,62
334,68
335,73
336,60
337,88
338,63
339,93
340,99
341,101
342,110
343,105
344,115
345,131
346,137
347,141
348,167
349,154
350,147
351,168
352,160
353,193
354,187
355,190
356,228
357,215
358,226
359,217
360,273
361,244
362,254
363,292
364,271
365,304
366,306
367,323
368,309
369,338
370,342
371,346
372,349
373,358
374,369
375,357
376,382
377,342
378,389
379,355
380,388
381,358
382,438
383,384
384,425
385,421
386,425
387,369
388,385
389,401
390,405
391,403
392,420
393,391
394,421
395,451
396,423
397,410
398,386
399,405
