sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,6,0,211,2492,0,22,1,0
0,1,0,0,1,2845,0,6,0,0
1,0,7,0,213,2989,0,23,1,0
1,1,1,0,7,3208,0,99,0,0
2,0,7,0,214,3488,0,24,2,0
2,1,2,0,9,3573,0,192,0,0
3,0,7,0,216,3986,0,25,2,0
3,1,3,0,11,3937,0,286,0,0
4,0,7,0,217,4485,0,26,2,0
4,1,3,0,14,4303,0,378,0,0
5,0,7,0,218,4984,0,27,2,0
5,1,3,0,16,4671,0,469,0,0
6,0,7,0,219,5483,0,27,2,0
6,1,4,0,18,5036,0,561,0,0
7,0,7,0,220,5982,0,28,2,0
7,1,4,0,22,5403,0,652,0,0
8,0,8,0,221,6481,0,29,2,0
8,1,5,0,26,5770,0,744,1,0
9,0,8,0,221,6980,0,30,3,0
9,1,5,0,27,6137,0,836,1,0
10,0,8,0,222,7479,0,31,3,0
10,1,6,0,28,6505,0,926,1,0
11,0,8,0,223,7978,0,31,3,0
11,1,6,0,30,6873,0,1017,1,0
12,0,8,0,224,8477,0,32,3,0
12,1,7,0,33,7240,0,1108,1,0
13,0,8,0,225,8976,0,33,3,0
13,1,7,0,36,7610,0,1197,1,0
14,0,8,0,226,9475,0,34,3,0
14,1,8,0,41,7974,0,1289,1,0
15,0,9,0,227,9974,0,35,4,0
15,1,9,0,43,8339,0,1382,1,0
16,0,9,0,228,10473,0,36,4,0
16,1,10,0,45,8705,0,1475,1,0
17,0,9,0,229,10972,0,36,4,0
17,1,10,0,47,9072,0,1566,2,0
18,0,9,0,229,11471,0,37,4,0
18,1,11,0,49,9435,0,1661,2,0
19,0,10,0,230,11969,0,38,4,0
19,1,11,0,51,9797,0,1756,2,0
20,0,10,0,230,12468,0,39,4,0
20,1,11,0,53,10161,0,1851,2,0
21,0,10,0,231,12967,0,39,5,0
21,1,11,0,55,10524,0,1945,2,0
22,0,11,0,232,13466,0,40,5,0
22,1,13,0,59,10886,0,2040,2,0
23,0,11,0,233,13965,0,41,5,0
23,1,13,0,63,11252,0,2133,2,0
24,0,11,0,233,14464,0,42,5,0
24,1,13,0,64,11616,0,2227,2,0
25,0,12,0,234,14963,0,43,5,0
25,1,13,0,67,11981,0,2319,2,0
26,0,12,0,235,15462,0,44,5,0
26,1,13,0,68,12345,0,2413,3,0
27,0,12,0,236,15961,0,44,6,0
27,1,14,0,70,12711,0,2506,3,0
28,0,12,0,237,16460,0,45,6,0
28,1,14,0,71,13075,0,2599,3,0
29,0,12,0,237,16959,0,46,6,0
29,1,15,0,71,13442,0,2692,3,0
30,0,12,0,238,17458,0,47,6,0
30,1,16,0,76,13809,0,2783,3,0
31,0,13,0,240,17957,0,48,6,0
31,1,17,0,78,14174,0,2877,3,0
32,0,13,0,240,18456,0,49,6,0
32,1,17,0,81,14538,0,2970,3,0
33,0,14,0,241,18955,0,49,6,0
33,1,19,0,83,14901,0,3065,3,0
34,0,14,0,242,19453,0,50,7,0
34,1,19,0,84,15265,0,3159,3,0
35,0,14,0,243,19952,0,51,7,0
35,1,20,0,86,15629,0,3253,4,0
36,0,14,0,244,20451,0,52,7,0
36,1,20,0,91,15991,0,3349,4,0
37,0,14,0,244,20950,0,53,7,0
37,1,21,0,93,16353,0,3444,4,0
38,0,15,0,245,21448,0,54,7,0
38,1,21,0,97,16710,0,3544,4,0
39,0,16,0,245,21947,0,55,7,0
39,1,22,0,102,17070,0,3643,4,0
40,0,16,0,246,22446,0,55,8,0
40,1,23,0,106,17434,0,3737,4,0
41,0,16,0,247,22945,0,56,8,0
41,1,23,0,108,17799,0,3831,4,0
42,0,17,0,247,23444,0,57,8,0
42,1,23,0,110,18167,0,3921,4,0
43,0,17,0,249,23943,0,58,8,0
43,1,24,0,110,18533,0,4013,4,0
44,0,17,0,250,24442,0,59,8,0
44,1,25,0,114,18896,0,4108,5,0
45,0,17,0,250,24941,0,59,8,0
45,1,25,0,117,19258,0,4204,5,0
46,0,17,0,252,25439,0,60,9,0
46,1,26,0,119,19623,0,4297,5,0
47,0,17,0,252,25938,0,61,9,0
47,1,26,0,121,19989,0,4388,5,0
48,0,17,0,253,26437,0,62,9,0
48,1,26,0,123,20353,0,4481,5,0
49,0,17,0,254,26936,0,63,9,0
49,1,27,0,124,20718,0,4573,5,0
50,0,18,0,254,27435,0,63,9,0
50,1,28,0,129,21082,0,4667,5,0
51,0,18,0,255,27934,0,64,9,0
51,1,28,0,132,21447,0,4760,5,0
52,0,18,0,256,28433,0,65,10,0
52,1,28,0,134,21812,0,4853,5,0
53,0,18,0,257,28932,0,66,10,0
53,1,29,0,137,22174,0,4948,6,0
54,0,19,0,257,29431,0,67,10,0
54,1,29,0,140,22539,0,5041,6,0
55,0,19,0,258,29929,0,68,10,0
55,1,30,0,145,22902,0,5135,6,0
56,0,20,0,259,30427,0,69,10,0
56,1,31,0,153,23260,0,5234,6,0
57,0,20,0,259,30926,0,70,10,0
57,1,31,0,157,23625,0,5327,6,0
58,0,21,0,259,31424,0,71,11,0
58,1,33,0,158,23989,0,5420,6,0
59,0,21,0,260,31923,0,72,11,0
59,1,34,0,160,24354,0,5513,6,0
60,0,21,0,261,32422,0,72,11,0
60,1,35,0,163,24717,0,5607,6,0
61,0,21,0,262,32921,0,73,11,0
61,1,35,0,165,25081,0,5701,7,0
62,0,21,0,263,33420,0,74,11,0
62,1,36,0,167,25446,0,5794,7,0
63,0,21,0,264,33919,0,75,12,0
63,1,37,0,169,25810,0,5888,7,0
64,0,21,0,265,34418,0,76,12,0
64,1,37,0,171,26177,0,5979,7,0
65,0,21,0,266,34916,0,77,12,0
65,1,38,0,175,26541,0,6074,7,0
66,0,22,0,266,35415,0,77,12,0
66,1,38,0,177,26906,0,6166,7,0
67,0,22,0,267,35914,0,78,12,0
67,1,39,0,179,27273,0,6257,7,0
68,0,22,0,267,36413,0,79,12,0
68,1,39,0,181,27640,0,6349,7,0
69,0,22,0,269,36912,0,80,13,0
69,1,39,0,185,28002,0,6445,7,0
70,0,22,0,269,37411,0,81,13,0
70,1,40,0,186,28366,0,6538,8,0
71,0,23,0,270,37909,0,82,13,0
71,1,40,0,189,28732,0,6631,8,0
72,0,24,0,271,38408,0,82,13,0
72,1,41,0,190,29097,0,6724,8,0
73,0,24,0,272,38907,0,83,13,0
73,1,41,0,193,29459,0,6820,8,0
74,0,24,0,272,39406,0,84,13,0
74,1,41,0,195,29824,0,6914,8,0
75,0,24,0,274,39905,0,85,13,0
75,1,41,0,196,30190,0,7006,8,0
76,0,25,0,274,40404,0,86,14,0
76,1,42,0,197,30554,0,7100,8,0
77,0,25,0,275,40903,0,87,14,0
77,1,42,0,200,30916,0,7196,8,0
78,0,25,0,276,41402,0,87,14,0
78,1,43,0,203,31274,0,7294,8,0
79,0,25,0,277,41900,0,89,14,0
79,1,44,0,207,31635,0,7391,8,0
80,0,25,0,278,42399,0,90,14,0
80,1,45,0,210,32001,0,7484,9,0
81,0,25,0,279,42898,0,90,14,0
81,1,45,0,213,32363,0,7579,9,0
82,0,25,0,280,43397,0,91,15,0
