sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,12319264,211008016,213327280,2319264
1,20669440,221008016,221677456,669440
2,30558736,231008016,231566752,558736
3,40562368,241008016,241570384,562368
4,50509840,251008016,251517856,509840
5,60473856,261008016,261481872,473856
6,70572960,271008016,271580976,572960
7,80569792,281008016,281577808,569792
8,90581840,291008016,291589856,581840
9,100687136,301008016,301695152,687136
10,110523152,311008016,311531168,523152
11,120488240,321008016,321496256,488240
12,130530032,331008016,331538048,530032
13,140571168,341008016,341579184,571168
14,150757264,351008016,351765280,757264
15,160599264,361008016,361607280,599264
16,170761280,371008016,371769296,761280
17,180520928,381008016,381528944,520928
18,190557792,391008016,391565808,557792
19,200526784,401008016,401534800,526784
20,210515824,411008016,411523840,515824
21,220601616,421008016,421609632,601616
22,230534080,431008016,431542096,534080
23,240469104,441008016,441477120,469104
24,250471968,451008016,451479984,471968
25,260549664,461008016,461557680,549664
26,270487584,471008016,471495600,487584
27,280525216,481008016,481533232,525216
28,290708608,491008016,491716624,708608
29,300522096,501008016,501530112,522096
30,310595200,511008016,511603216,595200
31,320555776,521008016,521563792,555776
32,330329520,531008016,531337536,329520
33,340483376,541008016,541491392,483376
34,350466672,551008016,551474688,466672
35,360535520,561008016,561543536,535520
36,370506752,571008016,571514768,506752
37,380518112,581008016,581526128,518112
38,390583136,591008016,591591152,583136
39,400490768,601008016,601498784,490768
40,410514928,611008016,611522944,514928
41,420526704,621008016,621534720,526704
42,430556176,631008016,631564192,556176
43,440539872,641008016,641547888,539872
44,450501008,651008016,651509024,501008
45,460511456,661008016,661519472,511456
46,762357552,671008016,963365568,292357552
47,769721968,681008016,970729984,289721968
48,776572176,691008016,977580192,286572176
49,783855888,701008016,984863904,283855888
50,790958976,711008016,991966992,280958976
51,798206400,721008016,999214416,278206400
52,805272112,731008016,1006280128,275272112
53,812424256,741008016,1013432272,272424256
54,819840128,751008016,1020848144,269840128
55,826886192,761008016,1027894208,266886192
56,834315984,771008016,1035324000,264315984
57,841512624,781008016,1042520640,261512624
58,848770128,791008016,1049778144,258770128
59,855854272,801008016,1056862288,255854272
60,863194304,811008016,1064202320,253194304
61,870366464,821008016,1071374480,250366464
62,877458672,831008016,1078466688,247458672
63,884513280,841008016,1085521296,244513280
64,891644384,851008016,1092652400,241644384
65,898879680,861008016,1099887696,238879680
66,906123616,871008016,1107131632,236123616
67,913420848,881008016,1114428864,233420848
68,921035392,891008016,1122043408,231035392
69,928377280,901008016,1129385296,228377280
70,935542480,911008016,1136550496,225542480
71,942774928,921008016,1143782944,222774928
72,950710800,931008016,1151718816,220710800
73,958088624,941008016,1159096640,218088624
74,966580720,951008016,1167588736,216580720
75,973783200,961008016,1174791216,213783200
76,981328192,971008016,1182336208,211328192
77,988607776,981008016,1189615792,208607776
78,995908720,991008016,1196916736,205908720
79,1003092432,1001008016,1204100448,203092432
80,1010684064,1011008016,1211692080,200684064
81,1018257216,1021008016,1219265232,198257216
82,1025822864,1031008016,1226830880,195822864
83,1320102704,1041008016,1521110720,480102704
84,1327949248,1051008016,1528957264,477949248
85,1335658896,1061008016,1536666912,475658896
86,1343266992,1071008016,1544275008,473266992
87,1351066624,1081008016,1552074640,471066624
88,1358723856,1091008016,1559731872,468723856
89,1366218064,1101008016,1567226080,466218064
90,1374010016,1111008016,1575018032,464010016
91,1381500416,1121008016,1582508432,461500416
92,1389085264,1131008016,1590093280,459085264
93,1396966608,1141008016,1597974624,456966608
94,1404536240,1151008016,1605544256,454536240
95,1411987344,1161008016,1612995360,451987344
96,1419476528,1171008016,1620484544,449476528
97,1427105264,1181008016,1628113280,447105264
98,1434565584,1191008016,1635573600,444565584
99,1442144656,1201008016,1643152672,442144656
100,1449549696,1211008016,1650557712,439549696
101,1457038208,1221008016,1658046224,437038208
102,1464485552,1231008016,1665493568,434485552
103,1472169680,1241008016,1673177696,432169680
104,1479693600,1251008016,1680701616,429693600
105,1487443648,1261008016,1688451664,427443648
106,1495028512,1271008016,1696036528,425028512
107,1502873184,1281008016,1703881200,422873184
108,1510463232,1291008016,1711471248,420463232
109,1518242800,1301008016,1719250816,418242800
110,1525778656,1311008016,1726786672,415778656
111,1533480000,1321008016,1734488016,413480000
112,1541120944,1331008016,1742128960,411120944
113,1548577056,1341008016,1749585072,408577056
114,1556119504,1351008016,1757127520,406119504
115,1563708624,1361008016,1764716640,403708624
116,1571445072,1371008016,1772453088,401445072
117,1579381600,1381008016,1780389616,399381600
118,1866091952,1391008016,2067099968,676091952
119,1877001936,1401008016,2078009952,677001936
120,1884879792,1411008016,2085887808,674879792
121,1892867952,1421008016,2093875968,672867952
