sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10572048,86319021392,86319593440,572048
1,20490896,86329021392,86329512288,490896
2,30494400,86339021392,86339515792,494400
3,42349824,86349021392,86351371216,2349824
4,55847984,86359021392,86364869376,5847984
5,62224832,86369021392,86371246224,2224832
6,70512560,86379021392,86379533952,512560
7,80585984,86389021392,86389607376,585984
8,90484976,86399021392,86399506368,484976
9,100516752,86409021392,86409538144,516752
10,122153168,86419021392,86431174560,12153168
11,123487056,86429021392,86432508448,3487056
12,132260512,86439021392,86441281904,2260512
13,140536112,86449021392,86449557504,536112
14,150422768,86459021392,86459444160,422768
15,162344784,86469021392,86471366176,2344784
16,170548864,86479021392,86479570256,548864
17,182334928,86489021392,86491356320,2334928
18,190430736,86499021392,86499452128,430736
19,200511648,86509021392,86509533040,511648
20,210547408,86519021392,86519568800,547408
21,220520112,86529021392,86529541504,520112
22,230547280,86539021392,86539568672,547280
23,245374256,86549021392,86554395648,5374256
24,252005200,86559021392,86561026592,2005200
25,260536832,86569021392,86569558224,536832
26,270551840,86579021392,86579573232,551840
27,280547872,86589021392,86589569264,547872
28,290537248,86599021392,86599558640,537248
29,308500944,86609021392,86617522336,8500944
30,311947424,86619021392,86620968816,1947424
31,320524432,86629021392,86629545824,524432
32,332250112,86639021392,86641271504,2250112
33,342077216,86649021392,86651098608,2077216
34,350586096,86659021392,86659607488,586096
35,360511680,86669021392,86669533072,511680
36,371706320,86679021392,86680727712,1706320
37,381982144,86689021392,86691003536,1982144
38,390451184,86699021392,86699472576,451184
39,400622688,86709021392,86709644080,622688
40,410569744,86719021392,86719591136,569744
41,420524000,86729021392,86729545392,524000
42,442210544,86739021392,86751231936,12210544
43,443493056,86749021392,86752514448,3493056
44,450620624,86759021392,86759642016,620624
45,462371888,86769021392,86771393280,2371888
46,470546992,86779021392,86779568384,546992
47,480456720,86789021392,86789478112,456720
48,502270384,86799021392,86811291776,12270384
49,512107024,86809021392,86821128416,12107024
50,512408960,86819021392,86821430352,2408960
51,520557536,86829021392,86829578928,557536
52,530557104,86839021392,86839578496,557104
53,540580992,86849021392,86849602384,580992
54,550553008,86859021392,86859574400,553008
55,561236592,86869021392,86870257984,1236592
56,572279088,86879021392,86881300480,2279088
57,580575536,86889021392,86889596928,575536
58,590482608,86899021392,86899504000,482608
59,600420800,86909021392,86909442192,420800
60,610542560,86919021392,86919563952,542560
61,624387520,86929021392,86933408912,4387520
62,630484192,86939021392,86939505584,484192
63,640581904,86949021392,86949603296,581904
64,650415168,86959021392,86959436560,415168
65,660446000,86969021392,86969467392,446000
66,670577760,86979021392,86979599152,577760
67,687577408,86989021392,86996598800,7577408
68,690459584,86999021392,86999480976,459584
69,700562688,87009021392,87009584080,562688
70,710554800,87019021392,87019576192,554800
71,720716608,87029021392,87029738000,716608
72,730473072,87039021392,87039494464,473072
73,751979536,87049021392,87061000928,11979536
74,761932496,87059021392,87070953888,11932496
75,762269600,87069021392,87071290992,2269600
76,770458752,87079021392,87079480144,458752
77,780742896,87089021392,87089764288,742896
78,790759360,87099021392,87099780752,759360
79,802396368,87109021392,87111417760,2396368
80,814190016,87119021392,87123211408,4190016
81,820465456,87129021392,87129486848,465456
82,830530752,87139021392,87139552144,530752
83,840553104,87149021392,87149574496,553104
84,850541104,87159021392,87159562496,541104
85,862466048,87169021392,87171487440,2466048
86,881964000,87179021392,87190985392,11964000
87,882296928,87189021392,87191318320,2296928
88,890444304,87199021392,87199465696,444304
89,900544720,87209021392,87209566112,544720
90,910490800,87219021392,87219512192,490800
91,920704464,87229021392,87229725856,704464
92,940433184,87239021392,87249454576,10433184
93,941448960,87249021392,87250470352,1448960
94,950455824,87259021392,87259477216,455824
95,960547664,87269021392,87269569056,547664
96,970567120,87279021392,87279588512,567120
97,980566160,87289021392,87289587552,566160
98,990532704,87299021392,87299554096,532704
99,1003594528,87309021392,87312615920,3594528
100,1010454304,87319021392,87319475696,454304
101,1020439216,87329021392,87329460608,439216
102,1030550336,87339021392,87339571728,550336
103,1040531536,87349021392,87349552928,531536
104,1050543568,87359021392,87359564960,543568
105,1066791200,87369021392,87375812592,6791200
106,1070413056,87379021392,87379434448,413056
107,1080422624,87389021392,87389444016,422624
108,1090483648,87399021392,87399505040,483648
109,1100551280,87409021392,87409572672,551280
110,1112347184,87419021392,87421368576,2347184
111,1130044000,87429021392,87439065392,10044000
112,1130340672,87439021392,87439362064,340672
113,1140404816,87449021392,87449426208,404816
114,1150793632,87459021392,87459815024,793632
115,1160423888,87469021392,87469445280,423888
116,1170577968,87479021392,87479599360,577968
117,1180459360,87489021392,87489480752,459360
118,1202188144,87499021392,87511209536,12188144
119,1203472112,87509021392,87512493504,3472112
120,1210487424,87519021392,87519508816,487424
121,1220547024,87529021392,87529568416,547024
122,1230524832,87539021392,87539546224,524832
123,1240533392,87549021392,87549554784,533392
124,1256370384,87559021392,87565391776,6370384
125,1262037600,87569021392,87571058992,2037600
126,1270568112,87579021392,87579589504,568112
127,1280545760,87589021392,87589567152,545760
128,1290439872,87599021392,87599461264,439872
129,1300527632,87609021392,87609549024,527632
130,1319451008,87619021392,87628472400,9451008
131,1322218352,87629021392,87631239744,2218352
132,1331947680,87639021392,87640969072,1947680
133,1340576880,87649021392,87649598272,576880
134,1356201648,87659021392,87665223040,6201648
135,1360561968,87669021392,87669583360,561968
136,1370525616,87679021392,87679547008,525616
137,1392200160,87689021392,87701221552,12200160
138,1393467200,87699021392,87702488592,3467200
139,1400562976,87709021392,87709584368,562976
140,1410527504,87719021392,87719548896,527504
141,1420555936,87729021392,87729577328,555936
142,1430940048,87739021392,87739961440,940048
143,1445834992,87749021392,87754856384,5834992
144,1450422928,87759021392,87759444320,422928
145,1460559472,87769021392,87769580864,559472
146,1470546944,87779021392,87779568336,546944
147,1480484400,87789021392,87789505792,484400
148,1490409792,87799021392,87799431184,409792
149,1509076224,87809021392,87818097616,9076224
150,1510619152,87819021392,87819640544,619152
151,1520736384,87829021392,87829757776,736384
152,1532523360,87839021392,87841544752,2523360
153,1540765296,87849021392,87849786688,765296
154,1552534384,87859021392,87861555776,2534384
155,1560751616,87869021392,87869773008,751616
156,1592320736,87879021392,87901342128,22320736
157,1593936416,87889021392,87902957808,13936416
158,1594725024,87899021392,87903746416,4725024
159,1602221008,87909021392,87911242400,2221008
160,1610574272,87919021392,87919595664,574272
161,1620578544,87929021392,87929599936,578544
162,1635352224,87939021392,87944373616,5352224
163,1640449376,87949021392,87949470768,449376
164,1650488064,87959021392,87959509456,488064
165,1662049808,87969021392,87971071200,2049808
166,1670661200,87979021392,87979682592,661200
167,1680557456,87989021392,87989578848,557456
168,1698528528,87999021392,88007549920,8528528
169,1700423152,88009021392,88009444544,423152
170,1712277600,88019021392,88021298992,2277600
171,1720470960,88029021392,88029492352,470960
172,1730451440,88039021392,88039472832,451440
173,1740525360,88049021392,88049546752,525360
174,1750585728,88059021392,88059607120,585728
175,1761786384,88069021392,88070807776,1786384
176,1770559104,88079021392,88079580496,559104
177,1780593616,88089021392,88089615008,593616
178,1790577216,88099021392,88099598608,577216
179,1800561696,88109021392,88109583088,561696
180,1810723488,88119021392,88119744880,723488
181,1824881728,88129021392,88133903120,4881728
182,1830421920,88139021392,88139443312,421920
183,1840470176,88149021392,88149491568,470176
184,1852222096,88159021392,88161243488,2222096
185,1860582384,88169021392,88169603776,582384
186,1872267568,88179021392,88181288960,2267568
187,1888028720,88189021392,88197050112,8028720
188,1890475936,88199021392,88199497328,475936
189,1900509712,88209021392,88209531104,509712
190,1910612768,88219021392,88219634160,612768
191,1920570656,88229021392,88229592048,570656
192,1930573696,88239021392,88239595088,573696
193,1940855120,88249021392,88249876512,855120
194,1951384656,88259021392,88260406048,1384656
195,1960751840,88269021392,88269773232,751840
196,1971970400,88279021392,88280991792,1970400
197,1980671904,88289021392,88289693296,671904
198,1990712416,88299021392,88299733808,712416
199,2002496976,88309021392,88311518368,2496976
200,2014576928,88319021392,88323598320,4576928
201,2022017888,88329021392,88331039280,2017888
202,2030686560,88339021392,88339707952,686560
203,2040692400,88349021392,88349713792,692400
204,2052436624,88359021392,88361458016,2436624
205,2060688768,88369021392,88369710160,688768
206,2082270208,88379021392,88391291600,12270208
207,2083481168,88389021392,88392502560,3481168
208,2090437600,88399021392,88399458992,437600
209,2112407040,88409021392,88421428432,12407040
210,2122336496,88419021392,88431357888,12336496
211,2140666560,88429021392,88449687952,20666560
212,2140993888,88439021392,88450015280,10993888
213,2141950912,88449021392,88450972304,1950912
214,2150409280,88459021392,88459430672,409280
215,2160502128,88469021392,88469523520,502128
216,2170587744,88479021392,88479609136,587744
217,2180521600,88489021392,88489542992,521600
218,2190534816,88499021392,88499556208,534816
219,2204148752,88509021392,88513170144,4148752
220,2210481216,88519021392,88519502608,481216
221,2220479456,88529021392,88529500848,479456
222,2230490784,88539021392,88539512176,490784
223,2252051856,88549021392,88561073248,12051856
224,2252374832,88559021392,88561396224,2374832
225,2267342720,88569021392,88576364112,7342720
226,2270500896,88579021392,88579522288,500896
227,2280432576,88589021392,88589453968,432576
228,2290568672,88599021392,88599590064,568672
229,2302250608,88609021392,88611272000,2250608
230,2310577728,88619021392,88619599120,577728
231,2332154928,88629021392,88641176320,12154928
232,2333472848,88639021392,88642494240,3472848
