sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,9,0,251,2469,0,126,2,0
0,1,0,0,0,3178,0,5,0,0
1,0,254,0,306,2469,0,247,2,0
1,1,1,0,5,3503,0,113,0,0
2,0,584,0,330,2469,0,380,3,0
2,1,1,0,7,3870,0,204,0,0
3,0,920,0,358,2469,0,503,3,0
3,1,2,0,11,4237,0,292,0,0
4,0,1215,0,411,2469,0,656,3,0
4,1,2,0,14,4606,0,381,0,0
5,0,1539,0,447,2469,0,787,4,0
5,1,2,0,17,4972,0,471,0,0
6,0,1864,0,486,2469,0,917,5,0
6,1,4,0,20,5334,0,562,0,0
7,0,2227,0,501,2469,0,1032,5,0
7,1,4,0,22,5703,0,653,0,0
8,0,2580,0,511,2469,0,1167,6,0
8,1,5,0,26,6071,0,745,0,0
9,0,2922,0,525,2469,0,1307,6,0
9,1,6,0,28,6438,0,836,1,0
10,0,3272,0,547,2469,0,1432,7,0
10,1,6,0,31,6807,0,928,1,0
11,0,3619,0,569,2469,0,1559,8,0
11,1,7,0,35,7176,0,1019,1,0
12,0,3973,0,587,2469,0,1679,9,0
12,1,7,0,40,7541,0,1109,1,0
13,0,4337,0,603,2469,0,1797,9,0
13,1,7,0,43,7908,0,1202,1,0
14,0,4662,0,615,2469,0,1923,9,0
14,1,7,0,45,8281,0,1288,1,0
15,0,5011,0,646,2469,0,2041,10,0
15,1,7,0,48,8647,0,1379,1,0
16,0,5301,0,708,2469,0,2179,10,0
16,1,8,0,53,9012,0,1470,1,0
17,0,5625,0,735,2469,0,2324,10,0
17,1,10,0,58,9379,0,1560,1,0
18,0,5936,0,776,2469,0,2462,11,0
18,1,14,0,61,9772,0,1631,1,0
19,0,6315,0,823,2469,0,2656,11,0
19,1,14,0,61,10605,0,1631,1,0
20,0,6934,0,862,2469,0,2935,12,0
20,1,14,0,61,11787,0,1631,1,0
21,0,7582,0,932,2469,0,3233,13,0
21,1,14,0,61,13025,0,1631,1,0
22,0,8217,0,980,2469,0,3457,13,0
22,1,14,0,61,14158,0,1631,1,0
23,0,8922,0,1057,2469,0,3767,14,0
23,1,14,0,61,15516,0,1631,1,0
