bucket_us,count
157,1
166,1
169,1
170,3
171,2
172,4
173,1
174,3
175,4
176,3
177,4
178,3
179,2
180,1
181,1
182,7
183,6
184,6
185,2
186,4
187,5
188,3
189,7
190,5
191,6
192,1
193,11
194,3
195,6
196,8
197,6
198,1
199,6
200,2
201,6
202,6
203,8
204,5
205,4
206,5
207,9
208,8
209,6
210,4
211,2
212,7
213,8
214,7
215,5
216,4
217,6
218,6
219,3
220,3
221,1
222,7
223,6
224,2
225,5
226,4
227,6
228,5
229,7
230,7
231,8
232,7
233,8
234,6
235,7
236,3
237,4
238,7
239,9
240,6
241,3
242,10
243,4
244,8
245,6
246,3
247,3
248,7
249,6
250,6
251,10
252,6
253,10
254,4
255,8
256,5
257,8
258,7
259,4
260,7
261,4
262,4
263,5
264,6
265,6
266,6
267,3
268,10
269,4
270,5
271,3
272,4
273,8
274,9
275,4
276,6
277,6
278,5
279,4
280,6
281,5
282,1
283,6
284,6
285,10
286,6
287,2
288,10
289,4
290,10
291,5
292,5
293,6
294,7
295,7
296,7
297,3
298,4
299,3
300,3
301,3
302,4
303,5
304,3
305,3
306,8
307,2
308,9
309,5
310,4
311,6
312,3
313,9
314,4
315,5
316,2
317,2
318,8
319,4
320,4
321,4
322,7
323,6
324,8
325,15
326,10
327,1
328,8
329,9
330,7
331,11
332,7
333,10
334,7
335,12
336,8
337,12
338,12
339,11
340,10
341,17
342,19
343,11
344,15
345,20
346,20
347,19
348,17
349,21
350,16
351,17
352,18
353,19
354,27
355,21
356,19
357,15
358,18
359,18
360,20
361,26
362,23
363,14
364,23
365,25
366,18
367,19
368,28
369,18
370,19
371,22
372,22
373,15
374,23
375,17
376,21
377,13
378,22
379,23
380,10
381,13
382,23
383,13
384,24
385,29
386,12
387,17
388,22
389,19
390,15
391,22
392,25
393,23
394,16
395,24
396,20
397,26
398,22
399,13
400,19
401,23
402,25
403,17
404,21
405,24
406,22
407,18
408,16
409,18
410,24
411,18
412,22
413,13
414,19
415,17
416,18
417,24
418,20
419,29
420,20
421,25
422,14
423,18
424,21
425,17
426,15
427,23
428,20
429,27
430,28
431,28
432,35
433,34
434,44
435,55
436,55
437,40
438,68
439,64
440,91
441,77
442,108
443,106
444,123
445,124
446,132
447,169
448,159
449,189
450,227
451,223
452,227
453,259
454,272
455,310
456,338
457,334
458,376
459,388
460,387
461,423
462,434
463,434
464,507
465,466
466,467
467,453
468,447
469,454
470,460
471,425
472,462
473,390
474,409
475,375
476,348
477,342
478,355
479,350
480,329
481,278
482,319
483,298
484,297
485,292
486,293
487,271
488,278
489,275
490,284
491,260
492,299
493,262
494,310
495,298
496,271
497,318
498,320
499,296
500,284
501,309
502,290
503,320
504,290
505,265
506,292
507,253
508,253
509,270
510,231
511,285
512,250
513,242
514,246
515,241
516,230
517,219
518,209
519,216
520,195
521,186
522,197
523,185
524,187
525,204
526,210
527,176
528,202
529,183
530,160
531,172
532,184
533,180
534,176
535,173
536,182
537,179
538,162
539,180
540,167
541,179
542,186
543,170
544,173
545,182
546,216
547,188
548,197
549,225
550,216
551,246
552,257
553,255
554,292
555,257
556,319
557,272
558,311
559,319
560,335
561,364
562,388
563,365
564,377
565,398
566,394
567,414
568,482
569,462
570,452
571,499
572,459
573,438
574,494
575,496
576,470
577,466
578,507
579,488
580,459
581,446
582,464
583,445
584,420
585,399
586,458
587,392
588,408
589,409
590,419
591,389
592,405
593,355
594,363
595,312
596,370
597,343
598,324
599,350
600,307
601,345
602,304
603,341
604,320
605,314
606,304
607,266
608,322
609,260
610,306
611,262
612,260
613,279
614,253
615,244
616,248
617,245
618,285
619,239
620,239
621,242
622,258
623,244
624,280
625,260
626,243
627,251
628,255
629,260
630,288
631,219
632,263
633,244
634,284
635,281
636,334
637,269
638,279
639,287
640,291
641,280
642,285
643,275
644,292
645,293
646,315
647,322
648,312
649,320
650,311
651,279
652,320
653,330
654,287
655,283
656,284
657,297
658,312
659,306
660,270
661,303
662,273
663,244
664,260
665,241
666,220
667,231
668,273
669,216
670,221
671,209
672,200
673,208
674,203
675,201
676,169
677,163
678,189
679,132
680,149
681,169
682,152
683,131
684,141
685,160
686,140
687,137
688,114
689,117
690,134
691,135
692,112
693,120
694,127
695,105
696,92
697,108
698,95
699,89
700,92
701,83
702,101
703,71
704,65
705,78
706,74
707,81
708,76
709,63
710,67
711,55
712,47
713,57
714,59
715,50
716,48
717,57
718,62
719,56
720,31
721,44
722,50
723,45
724,40
725,27
726,30
727,35
728,44
729,35
730,28
731,36
732,29
733,35
734,26
735,28
736,24
737,28
738,21
739,26
740,33
741,31
742,23
743,22
744,25
745,22
746,16
747,19
748,21
749,24
750,25
751,17
752,21
753,28
754,20
755,15
756,20
757,19
758,17
759,17
760,32
761,16
762,28
763,22
764,15
765,18
766,22
767,18
768,20
769,21
770,23
771,13
772,16
773,18
774,13
775,16
776,15
777,17
778,19
779,11
780,18
781,17
782,15
783,18
784,16
785,14
786,23
787,15
788,20
789,19
790,12
791,10
792,12
793,15
794,16
795,18
796,14
797,14
798,21
799,16
800,15
801,24
802,12
803,20
804,16
805,10
806,19
807,15
808,18
809,9
810,19
811,14
812,25
813,28
814,21
815,32
816,20
817,21
818,21
819,19
820,28
821,23
822,25
823,14
824,24
825,21
826,28
827,27
828,27
829,19
830,25
831,31
832,27
833,21
834,32
835,25
836,26
837,26
838,25
839,38
840,30
841,34
842,25
843,31
844,42
845,34
846,27
847,22
848,35
849,31
850,37
851,42
852,32
853,28
854,30
855,34
856,31
857,29
858,25
859,24
860,25
861,32
862,25
863,33
864,28
865,21
866,24
867,31
868,25
869,27
870,21
871,18
872,25
873,31
874,25
875,24
876,21
877,17
878,16
879,20
880,28
881,17
882,26
883,14
884,22
885,19
886,19
887,19
888,21
889,22
890,17
891,25
892,12
893,12
894,16
895,13
896,14
897,15
898,14
899,13
900,14
901,10
902,5
903,15
904,10
905,10
906,13
907,13
908,18
909,14
910,19
911,12
912,15
913,16
914,13
915,9
916,8
917,7
918,8
919,9
920,5
921,4
922,20
923,7
924,1
927,4
928,6
929,3
930,8
