sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,7,0,217,2475,0,19,1,0
0,1,0,0,1,2878,0,5,0,0
1,0,368,0,255,2475,0,41,2,0
1,1,0,0,4,3264,0,81,0,0
2,0,830,0,270,2475,0,69,2,0
2,1,0,0,5,3631,0,169,0,0
3,0,1270,0,308,2475,0,95,2,0
3,1,0,0,5,3995,0,259,0,0
4,0,1714,0,342,2475,0,122,3,0
4,1,0,0,6,4365,0,348,0,0
5,0,2192,0,342,2475,0,149,3,0
5,1,1,0,7,4732,0,437,0,0
6,0,2668,0,344,2475,0,175,3,0
6,1,1,0,8,5100,0,526,1,0
7,0,3133,0,355,2475,0,202,3,0
7,1,2,0,10,5465,0,615,1,0
8,0,3602,0,365,2475,0,228,4,0
8,1,3,0,11,5836,0,703,1,0
9,0,4078,0,365,2475,0,254,4,0
9,1,3,0,11,6205,0,790,1,0
10,0,4546,0,375,2475,0,282,4,0
10,1,4,0,12,6570,0,881,1,0
11,0,4815,0,391,2475,0,324,5,0
11,1,4,0,13,6887,0,1015,1,0
12,0,5215,0,441,2475,0,350,5,0
12,1,4,0,14,7261,0,1100,1,0
13,0,5648,0,484,2475,0,377,5,0
13,1,5,0,14,7628,0,1188,1,0
14,0,6086,0,524,2475,0,404,6,0
14,1,5,0,14,7994,0,1278,2,0
15,0,6548,0,538,2475,0,431,6,0
15,1,5,0,15,8358,0,1368,2,0
16,0,7003,0,560,2475,0,458,6,0
16,1,5,0,16,8721,0,1458,2,0
17,0,7406,0,634,2475,0,485,7,0
17,1,5,0,17,9088,0,1548,2,0
18,0,8011,0,651,2475,0,520,7,0
18,1,9,0,18,9738,0,1627,2,0
19,0,8517,0,692,2475,0,550,8,0
19,1,9,0,18,10460,0,1627,2,0
20,0,9013,0,705,2475,0,578,8,0
20,1,9,0,18,11142,0,1627,2,0
21,0,9511,0,706,2475,0,604,8,0
21,1,9,0,18,11811,0,1627,2,0
22,0,9982,0,708,2475,0,630,8,0
22,1,9,0,18,12455,0,1627,2,0
