sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10879424,79470025968,79470905392,879424
1,20847200,79480025968,79480873168,847200
2,30803728,79490025968,79490829696,803728
3,40792352,79500025968,79500818320,792352
4,50930080,79510025968,79510956048,930080
5,60768992,79520025968,79520794960,768992
6,70807856,79530025968,79530833824,807856
7,80743568,79540025968,79540769536,743568
8,90859296,79550025968,79550885264,859296
9,100787520,79560025968,79560813488,787520
10,110887376,79570025968,79570913344,887376
11,120954880,79580025968,79580980848,954880
12,130740368,79590025968,79590766336,740368
13,140789184,79600025968,79600815152,789184
14,150803200,79610025968,79610829168,803200
15,160779920,79620025968,79620805888,779920
16,170767280,79630025968,79630793248,767280
17,180886720,79640025968,79640912688,886720
18,190807152,79650025968,79650833120,807152
19,200896576,79660025968,79660922544,896576
20,210696176,79670025968,79670722144,696176
21,220678960,79680025968,79680704928,678960
22,230728544,79690025968,79690754512,728544
23,240778752,79700025968,79700804720,778752
24,250633104,79710025968,79710659072,633104
25,260642816,79720025968,79720668784,642816
26,270590336,79730025968,79730616304,590336
27,280552208,79740025968,79740578176,552208
28,290529120,79750025968,79750555088,529120
29,300462880,79760025968,79760488848,462880
30,310455648,79770025968,79770481616,455648
31,320583072,79780025968,79780609040,583072
32,330501056,79790025968,79790527024,501056
33,340672144,79800025968,79800698112,672144
34,350554112,79810025968,79810580080,554112
35,360526512,79820025968,79820552480,526512
36,370458528,79830025968,79830484496,458528
37,380443984,79840025968,79840469952,443984
38,390429760,79850025968,79850455728,429760
39,400417328,79860025968,79860443296,417328
40,410659008,79870025968,79870684976,659008
41,420792448,79880025968,79880818416,792448
42,430755296,79890025968,79890781264,755296
43,440680736,79900025968,79900706704,680736
44,450540352,79910025968,79910566320,540352
45,460500752,79920025968,79920526720,500752
46,470729568,79930025968,79930755536,729568
47,480577184,79940025968,79940603152,577184
48,490596832,79950025968,79950622800,596832
49,500586560,79960025968,79960612528,586560
50,510607312,79970025968,79970633280,607312
51,520591520,79980025968,79980617488,591520
52,530904528,79990025968,79990930496,904528
53,540799936,80000025968,80000825904,799936
54,550706048,80010025968,80010732016,706048
55,560886176,80020025968,80020912144,886176
56,570869632,80030025968,80030895600,869632
57,580820160,80040025968,80040846128,820160
58,590926736,80050025968,80050952704,926736
59,600777856,80060025968,80060803824,777856
60,610524192,80070025968,80070550160,524192
61,620453968,80080025968,80080479936,453968
62,630617024,80090025968,80090642992,617024
63,640682240,80100025968,80100708208,682240
64,650611696,80110025968,80110637664,611696
65,660554400,80120025968,80120580368,554400
66,670466176,80130025968,80130492144,466176
67,680613376,80140025968,80140639344,613376
68,690821264,80150025968,80150847232,821264
69,700555936,80160025968,80160581904,555936
70,710487888,80170025968,80170513856,487888
71,720594288,80180025968,80180620256,594288
72,730549056,80190025968,80190575024,549056
73,740985424,80200025968,80201011392,985424
74,750872672,80210025968,80210898640,872672
75,760857904,80220025968,80220883872,857904
76,770695472,80230025968,80230721440,695472
77,780909280,80240025968,80240935248,909280
78,790836704,80250025968,80250862672,836704
79,800853680,80260025968,80260879648,853680
80,810843408,80270025968,80270869376,843408
81,820815456,80280025968,80280841424,815456
82,830902096,80290025968,80290928064,902096
83,840730144,80300025968,80300756112,730144
84,850723040,80310025968,80310749008,723040
85,860861952,80320025968,80320887920,861952
86,870854160,80330025968,80330880128,854160
87,880787552,80340025968,80340813520,787552
88,890855248,80350025968,80350881216,855248
89,900734640,80360025968,80360760608,734640
90,910734400,80370025968,80370760368,734400
91,920730016,80380025968,80380755984,730016
92,930858960,80390025968,80390884928,858960
93,940651744,80400025968,80400677712,651744
94,950852624,80410025968,80410878592,852624
95,960711952,80420025968,80420737920,711952
