bucket_us,count
141,1
143,1
148,2
149,3
152,2
153,4
154,1
155,3
156,11
157,11
158,17
159,24
160,29
161,33
162,40
163,50
164,58
165,62
166,60
167,64
168,64
169,81
170,61
171,78
172,86
173,68
174,86
175,83
176,65
177,92
178,90
179,87
180,86
181,87
182,112
183,114
184,115
185,106
186,126
187,130
188,127
189,142
190,132
191,167
192,141
193,146
194,158
195,148
196,188
197,149
198,164
199,147
200,170
201,184
202,186
203,179
204,176
205,190
206,160
207,166
208,170
209,181
210,212
211,203
212,188
213,159
214,190
215,186
216,185
217,188
218,68
220,9
221,77
222,144
223,176
224,174
225,169
226,177
227,139
228,167
229,174
230,162
231,164
232,159
233,164
234,147
235,148
236,142
237,155
238,134
239,151
240,132
241,135
242,119
243,113
244,151
245,106
246,122
247,116
248,115
249,126
250,94
251,97
252,112
253,102
254,96
255,112
256,93
257,96
258,102
259,96
260,96
261,83
262,94
263,107
264,94
265,80
266,80
267,82
268,94
269,85
270,85
271,81
272,96
273,64
274,78
275,70
276,65
277,66
278,66
279,65
280,75
281,61
282,68
283,57
284,52
285,54
286,55
287,51
288,54
289,55
290,52
291,46
292,59
293,65
294,36
295,48
296,54
297,54
298,56
299,45
300,52
301,50
302,44
303,41
304,33
305,44
306,48
307,38
308,51
309,43
310,52
311,50
312,59
313,62
314,60
315,51
316,56
317,48
318,52
319,56
320,64
321,58
322,69
323,44
324,45
325,62
326,49
327,54
328,61
329,55
330,66
331,63
332,67
333,55
334,54
335,51
336,63
337,49
338,58
339,61
340,66
341,60
342,70
343,62
344,68
345,57
346,57
347,66
348,42
349,53
350,47
351,55
352,64
353,63
354,53
355,48
356,58
357,55
358,36
359,45
360,45
361,50
362,47
363,55
364,36
365,38
366,37
367,45
368,38
369,44
370,40
371,41
372,37
373,40
374,39
375,37
376,36
377,37
378,38
379,41
380,35
381,39
382,43
383,35
384,35
385,26
386,25
387,39
388,41
389,42
390,34
391,27
392,19
393,27
394,38
395,43
396,32
397,37
398,35
399,38
400,35
401,38
402,39
403,39
404,26
405,45
406,40
407,34
408,39
409,46
410,50
411,53
412,45
413,51
414,59
415,46
416,67
417,74
418,63
419,69
420,86
421,67
422,69
423,87
424,81
425,95
426,93
427,100
428,93
429,120
430,111
431,109
432,117
433,124
434,117
435,119
436,117
437,145
438,132
439,151
440,137
441,138
442,158
443,166
444,156
445,157
446,174
447,183
448,181
449,185
450,181
451,175
452,229
453,202
454,231
455,250
456,228
457,252
458,248
459,262
460,275
461,279
462,286
463,307
464,315
465,329
466,318
467,306
468,366
469,331
470,351
471,395
472,399
473,388
474,450
475,435
476,439
477,458
478,456
479,482
480,506
481,511
482,541
483,569
484,568
485,549
486,581
487,588
488,607
489,638
490,640
491,616
492,688
493,686
494,680
495,692
496,682
497,703
498,688
499,703
500,706
501,646
502,689
503,659
504,674
505,636
506,660
507,679
508,645
509,632
510,631
511,577
512,608
513,538
514,548
515,549
516,523
517,521
518,515
519,441
520,454
521,456
522,453
523,427
524,385
525,434
526,406
527,387
528,374
529,359
530,328
531,327
532,323
533,320
534,295
535,294
536,297
537,283
538,295
539,245
540,282
541,255
542,254
543,255
544,239
545,217
546,220
547,244
548,184
549,204
550,230
551,185
552,192
553,209
554,197
555,176
556,177
557,170
558,171
559,129
560,170
561,144
562,166
563,134
564,150
565,110
566,124
567,116
568,143
569,95
570,148
571,121
572,136
573,107
574,108
575,120
576,105
577,96
578,102
579,102
580,100
581,109
582,90
583,88
584,89
585,91
586,97
587,87
588,108
589,105
590,79
591,85
592,73
593,89
594,102
595,76
596,85
597,79
598,78
599,70
600,87
601,81
602,96
603,93
604,80
605,69
606,87
607,72
608,85
609,73
610,82
611,83
612,102
613,90
614,88
615,108
616,96
617,105
618,81
619,85
620,98
621,97
622,101
623,106
624,103
625,104
626,95
627,91
628,116
629,93
630,97
631,101
632,110
633,98
634,88
635,82
636,100
637,88
638,69
639,89
640,86
641,81
642,71
643,81
644,87
645,84
646,85
647,80
648,68
649,57
650,71
651,63
652,55
653,56
654,71
655,55
656,52
657,42
658,49
659,45
660,63
661,53
662,45
663,51
664,32
665,43
666,41
667,34
668,46
669,33
670,28
671,30
672,38
673,24
674,31
675,23
676,33
677,22
678,31
679,25
680,31
681,21
682,21
683,26
684,31
685,26
686,35
687,25
688,23
689,31
690,22
691,19
692,24
693,27
694,16
695,26
696,23
