sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,7,0,243,2434,0,162,2,0
0,1,0,0,1,3324,0,6,0,0
1,0,257,0,279,2434,0,293,2,0
1,1,3,0,8,3713,0,87,0,0
2,0,582,0,292,2434,0,448,2,0
2,1,4,0,21,4088,0,176,0,0
3,0,928,0,300,2434,0,587,3,0
3,1,9,0,33,4463,0,269,0,0
4,0,1250,0,328,2434,0,734,3,0
4,1,15,0,42,4833,0,361,0,0
5,0,1589,0,348,2434,0,866,3,0
5,1,21,0,53,5205,0,456,0,0
6,0,1897,0,375,2434,0,1018,4,0
6,1,23,0,60,5576,0,548,0,0
7,0,2233,0,375,2434,0,1166,4,0
7,1,26,0,72,5943,0,639,1,0
8,0,2555,0,378,2434,0,1335,5,0
8,1,30,0,84,6315,0,732,1,0
9,0,2883,0,379,2434,0,1500,5,0
9,1,30,0,93,6685,0,823,1,0
10,0,3208,0,381,2434,0,1664,6,0
10,1,32,0,102,7054,0,914,1,0
11,0,3573,0,396,2434,0,1783,6,0
11,1,33,0,113,7427,0,1008,1,0
12,0,3925,0,415,2434,0,1903,7,0
12,1,35,0,120,7796,0,1100,1,0
13,0,4266,0,433,2434,0,2030,7,0
13,1,37,0,127,8168,0,1192,1,0
14,0,4591,0,434,2434,0,2189,8,0
14,1,40,0,136,8515,0,1308,1,0
15,0,4939,0,435,2434,0,2340,9,0
15,1,43,0,145,8887,0,1402,1,0
16,0,5247,0,449,2434,0,2513,9,0
16,1,45,0,152,9260,0,1494,2,0
17,0,5573,0,485,2434,0,2648,10,0
17,1,46,0,160,9627,0,1588,2,0
18,0,6261,0,527,2434,0,2991,10,0
18,1,51,0,165,10933,0,1654,2,0
19,0,7194,0,564,2434,0,3477,11,0
19,1,51,0,165,12741,0,1654,2,0
20,0,8078,0,637,2434,0,3994,12,0
20,1,51,0,165,14585,0,1654,2,0
21,0,9037,0,690,2434,0,4506,12,0
21,1,51,0,165,16506,0,1654,2,0
22,0,9518,0,729,2434,0,4788,13,0
22,1,51,0,165,17328,0,1654,2,0
23,0,10043,0,752,2434,0,5091,13,0
23,1,51,0,165,18515,0,1654,2,0
24,0,10868,0,753,2434,0,5565,14,0
24,1,51,0,165,20089,0,1654,2,0
