sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,14630720,87529012368,87533643088,4630720
1,24921344,87539012368,87543933712,4921344
2,30485536,87549012368,87549497904,485536
3,40547840,87559012368,87559560208,547840
4,54916064,87569012368,87573928432,4916064
5,60421344,87579012368,87579433712,421344
6,70705312,87589012368,87589717680,705312
7,80643600,87599012368,87599655968,643600
8,90565408,87609012368,87609577776,565408
9,100605616,87619012368,87619617984,605616
10,124479664,87629012368,87643492032,14479664
11,124785488,87639012368,87643797856,4785488
12,130557920,87649012368,87649570288,557920
13,140638320,87659012368,87659650688,638320
14,150567936,87669012368,87669580304,567936
15,164596624,87679012368,87683608992,4596624
16,170547536,87689012368,87689559904,547536
17,181293728,87699012368,87700306096,1293728
18,190425408,87709012368,87709437776,425408
19,200492608,87719012368,87719504976,492608
20,210481072,87729012368,87729493440,481072
21,220677360,87739012368,87739689728,677360
22,244330288,87749012368,87763342656,14330288
23,244852512,87759012368,87763864880,4852512
24,250572608,87769012368,87769584976,572608
25,260732880,87779012368,87779745248,732880
26,284834672,87789012368,87803847040,14834672
27,285749680,87799012368,87804762048,5749680
28,290489984,87809012368,87809502352,489984
29,307698624,87819012368,87826710992,7698624
30,314508832,87829012368,87833521200,4508832
31,320426144,87839012368,87839438512,426144
32,330415952,87849012368,87849428320,415952
33,340477744,87859012368,87859490112,477744
34,350470704,87869012368,87869483072,470704
35,370730320,87879012368,87889742688,10730320
36,371392336,87889012368,87890404704,1392336
37,380428080,87899012368,87899440448,428080
38,404591856,87909012368,87923604224,14591856
39,404903136,87919012368,87923915504,4903136
40,410528880,87929012368,87929541248,528880
41,420619728,87939012368,87939632096,619728
42,434045552,87949012368,87953057920,4045552
43,440427344,87959012368,87959439712,427344
44,450529664,87969012368,87969542032,529664
45,460556080,87979012368,87979568448,556080
46,470539424,87989012368,87989551792,539424
47,480703840,87999012368,87999716208,703840
48,497192256,88009012368,88016204624,7192256
49,500429152,88019012368,88019441520,429152
50,510651840,88029012368,88029664208,651840
51,524995616,88039012368,88044007984,4995616
52,530594032,88049012368,88049606400,594032
53,540638256,88059012368,88059650624,638256
54,560320064,88069012368,88079332432,10320064
55,561410160,88079012368,88080422528,1410160
56,570491456,88089012368,88089503824,491456
57,584668960,88099012368,88103681328,4668960
58,590428832,88109012368,88109441200,428832
59,600476800,88119012368,88119489168,476800
60,610461392,88129012368,88129473760,461392
61,624470960,88139012368,88143483328,4470960
62,630389088,88149012368,88149401456,389088
63,644536128,88159012368,88163548496,4536128
64,650561264,88169012368,88169573632,561264
65,660661360,88179012368,88179673728,661360
66,670758352,88189012368,88189770720,758352
67,686411056,88199012368,88205423424,6411056
68,690414416,88209012368,88209426784,414416
69,700675344,88219012368,88219687712,675344
70,714992864,88229012368,88234005232,4992864
71,724536032,88239012368,88243548400,4536032
72,730675936,88249012368,88249688304,675936
73,749637584,88259012368,88268649952,9637584
74,754516048,88269012368,88273528416,4516048
75,760466496,88279012368,88279478864,466496
76,770532864,88289012368,88289545232,532864
77,780530016,88299012368,88299542384,530016
78,790539280,88309012368,88309551648,539280
79,802549440,88319012368,88321561808,2549440
80,813129872,88329012368,88332142240,3129872
81,820460256,88339012368,88339472624,460256
82,830581632,88349012368,88349594000,581632
83,844785120,88359012368,88363797488,4785120
84,854942640,88369012368,88373955008,4942640
85,860602800,88379012368,88379615168,602800
86,884862400,88389012368,88403874768,14862400
87,885655152,88399012368,88404667520,5655152
88,890737504,88409012368,88409749872,737504
89,912948224,88419012368,88431960592,12948224
90,913441552,88429012368,88432453920,3441552
91,924993488,88439012368,88444005856,4993488
92,939581248,88449012368,88458593616,9581248
93,940589872,88459012368,88459602240,589872
94,954706704,88469012368,88473719072,4706704
95,960666736,88479012368,88479679104,666736
96,975061856,88489012368,88494074224,5061856
97,980752960,88499012368,88499765328,752960
98,990832896,88509012368,88509845264,832896
99,1002741168,88519012368,88521753536,2741168
100,1010550064,88529012368,88529562432,550064
101,1020548320,88539012368,88539560688,548320
102,1034515232,88549012368,88553527600,4515232
103,1044525920,88559012368,88563538288,4525920
104,1054941024,88569012368,88573953392,4941024
105,1065873664,88579012368,88584886032,5873664
106,1070730720,88589012368,88589743088,730720
107,1084608000,88599012368,88603620368,4608000
108,1090640560,88609012368,88609652928,640560
109,1100653664,88619012368,88619666032,653664
110,1113656528,88629012368,88632668896,3656528
111,1129028432,88639012368,88648040800,9028432
112,1130516432,88649012368,88649528800,516432
113,1154463088,88659012368,88673475456,14463088
114,1154761472,88669012368,88673773840,4761472
115,1160457792,88679012368,88679470160,457792
116,1174505328,88689012368,88693517696,4505328
117,1180446144,88699012368,88699458512,446144
118,1192097376,88709012368,88711109744,2097376
119,1200417232,88719012368,88719429600,417232
120,1210443312,88729012368,88729455680,443312
121,1220760448,88739012368,88739772816,760448
122,1234791488,88749012368,88753803856,4791488
123,1240574512,88759012368,88759586880,574512
124,1264558928,88769012368,88783571296,14558928
125,1264992880,88779012368,88784005248,4992880
126,1275175088,88789012368,88794187456,5175088
127,1280526496,88799012368,88799538864,526496
128,1304648240,88809012368,88823660608,14648240
129,1304964416,88819012368,88823976784,4964416
130,1318458064,88829012368,88837470432,8458064
131,1320576288,88839012368,88839588656,576288
132,1330544496,88849012368,88849556864,544496
133,1340805200,88859012368,88859817568,805200
134,1350600496,88869012368,88869612864,600496
135,1364817216,88879012368,88883829584,4817216
136,1381486160,88889012368,88900498528,11486160
137,1381801920,88899012368,88900814288,1801920
138,1394660352,88909012368,88913672720,4660352
139,1400584272,88919012368,88919596640,584272
140,1414869088,88929012368,88933881456,4869088
141,1420614496,88939012368,88939626864,614496
142,1430625616,88949012368,88949637984,625616
143,1444950784,88959012368,88963963152,4950784
144,1454907648,88969012368,88973920016,4907648
145,1460589792,88979012368,88979602160,589792
146,1470560704,88989012368,88989573072,560704
147,1480606992,88999012368,88999619360,606992
148,1490403840,89009012368,89009416208,403840
149,1508137520,89019012368,89027149888,8137520
150,1510471184,89029012368,89029483552,471184
151,1520615216,89039012368,89039627584,615216
152,1530547712,89049012368,89049560080,547712
153,1544571072,89059012368,89063583440,4571072
154,1550539040,89069012368,89069551408,539040
155,1571333440,89079012368,89090345808,11333440
156,1571769760,89089012368,89090782128,1769760
157,1580629024,89099012368,89099641392,629024
158,1594999264,89109012368,89114011632,4999264
159,1600728576,89119012368,89119740944,728576
160,1610600992,89129012368,89129613360,600992
161,1634781552,89139012368,89153793920,14781552
162,1635283456,89149012368,89154295824,5283456
163,1640683520,89159012368,89159695888,683520
164,1654560752,89169012368,89173573120,4560752
165,1674581744,89179012368,89193594112,14581744
166,1675043232,89189012368,89194055600,5043232
167,1685016432,89199012368,89204028800,5016432
168,1704851072,89209012368,89223863440,14851072
169,1718748016,89219012368,89237760384,18748016
170,1719267968,89229012368,89238280336,9267968
171,1725083360,89239012368,89244095728,5083360
172,1744928592,89249012368,89263940960,14928592
173,1745768176,89259012368,89264780544,5768176
174,1750757008,89269012368,89269769376,757008
175,1761373856,89279012368,89280386224,1373856
176,1770481520,89289012368,89289493888,481520
177,1780671664,89299012368,89299684032,671664
178,1790600256,89309012368,89309612624,600256
179,1800702608,89319012368,89319714976,702608
180,1824494224,89329012368,89343506592,14494224
181,1824854960,89339012368,89343867328,4854960
182,1834510512,89349012368,89353522880,4510512
183,1840586176,89359012368,89359598544,586176
