bucket_us,count
166,1
167,1
168,1
169,3
170,2
171,4
172,1
173,1
174,5
175,6
176,2
177,3
178,3
179,4
180,9
181,5
182,10
183,3
184,7
185,5
186,6
187,6
188,7
189,5
190,8
191,7
192,4
193,9
194,9
195,4
196,7
197,11
198,10
199,4
200,4
201,12
202,5
203,11
204,12
205,9
206,10
207,6
208,10
209,7
210,10
211,14
212,5
213,6
214,5
215,10
216,5
217,7
218,3
219,2
220,10
221,9
222,5
223,6
224,5
225,5
226,9
227,6
228,5
229,6
230,8
231,2
232,3
233,5
234,8
235,12
236,7
237,3
238,3
239,10
240,6
241,9
242,3
243,6
244,4
245,6
246,4
247,2
248,5
249,7
250,6
251,3
252,2
253,4
254,5
255,3
256,6
257,5
258,3
259,6
260,4
261,2
262,4
263,2
264,6
265,8
266,5
267,4
268,4
269,3
270,6
271,2
272,4
273,2
274,2
275,2
276,3
277,4
278,1
279,4
280,1
281,5
282,9
283,4
284,7
285,7
286,8
287,1
288,4
289,3
290,4
291,4
292,4
293,4
294,5
295,2
296,2
297,1
298,7
299,6
300,5
301,8
302,7
303,9
304,5
305,3
306,5
307,4
308,5
309,7
310,3
311,5
312,1
313,6
314,5
315,11
316,5
317,9
318,4
319,7
320,5
321,2
322,9
323,4
324,10
325,6
326,11
327,5
328,3
329,9
330,12
331,16
332,11
333,11
334,7
335,14
336,11
337,22
338,24
339,16
340,28
341,24
342,23
343,25
344,30
345,22
346,22
347,24
348,31
349,24
350,26
351,24
352,27
353,29
354,37
355,32
356,39
357,42
358,34
359,34
360,53
361,36
362,42
363,43
364,49
365,45
366,46
367,46
368,53
369,50
370,44
371,52
372,46
373,46
374,57
375,50
376,54
377,59
378,61
379,50
380,49
381,43
382,52
383,54
384,46
385,46
386,60
387,53
388,55
389,51
390,43
391,39
392,50
393,49
394,47
395,44
396,39
397,42
398,43
399,36
400,41
401,40
402,14
403,35
404,35
405,41
406,32
407,34
408,36
409,39
410,33
411,26
412,18
413,36
414,22
415,38
416,33
417,36
418,32
419,33
420,33
421,25
422,30
423,40
424,28
425,32
426,40
427,33
428,48
429,30
430,47
431,40
432,53
433,46
434,76
435,80
436,70
437,72
438,74
439,62
440,70
441,73
442,92
443,83
444,92
445,85
446,101
447,96
448,102
449,114
450,127
451,97
452,98
453,111
454,136
455,136
456,139
457,150
458,140
459,136
460,166
461,185
462,178
463,196
464,205
465,185
466,204
467,188
468,219
469,227
470,248
471,231
472,241
473,237
474,264
475,239
476,251
477,244
478,285
479,301
480,293
481,314
482,296
483,323
484,324
485,376
486,349
487,371
488,367
489,366
490,368
491,373
492,345
493,408
494,361
495,372
496,370
497,418
498,432
499,449
500,410
501,408
502,453
503,461
504,479
505,486
506,439
507,449
508,466
509,469
510,494
511,485
512,479
513,500
514,486
515,439
516,509
517,467
518,511
519,448
520,494
521,433
522,502
523,496
524,510
525,508
526,521
527,495
528,503
529,508
530,465
531,474
532,520
533,515
534,497
535,463
536,483
537,476
538,476
539,420
540,451
541,436
542,435
543,381
544,378
545,373
546,341
547,335
548,308
549,294
550,292
551,252
552,282
553,250
554,264
555,250
556,245
557,210
558,201
559,210
560,225
561,214
562,215
563,223
564,194
565,197
566,225
567,193
568,197
569,222
570,211
571,188
572,177
573,168
574,185
575,151
576,141
577,146
578,169
579,126
580,165
581,120
582,146
583,140
584,114
585,124
586,113
587,132
588,112
589,107
590,99
591,105
592,110
593,102
594,104
595,82
596,91
597,93
598,94
599,111
600,89
601,75
602,77
603,75
604,65
605,74
606,68
607,57
608,61
609,71
610,73
611,72
612,68
613,79
614,76
615,55
616,69
617,58
618,71
619,66
620,67
621,77
622,66
623,81
624,72
625,87
626,74
627,73
628,91
629,57
630,75
631,76
632,81
633,68
634,78
635,79
636,88
637,89
638,86
639,74
640,86
641,78
642,94
643,88
644,82
645,84
646,68
647,76
648,79
649,71
650,86
651,75
652,86
653,66
654,70
655,74
656,69
657,76
658,75
659,67
660,65
661,69
662,68
663,80
664,78
665,64
666,82
667,72
668,79
669,96
670,64
671,71
672,61
673,67
674,67
675,55
676,77
677,59
678,69
679,70
680,53
681,46
682,58
683,66
684,61
685,62
686,55
687,52
688,49
689,63
690,46
691,39
692,52
693,38
694,35
695,43
696,39
697,41
698,36
699,32
700,35
701,26
702,25
703,25
704,30
705,30
706,35
707,25
708,23
709,28
710,18
711,22
712,29
713,19
714,23
715,32
716,33
717,24
718,22
719,22
720,25
721,26
722,27
723,25
724,15
725,18
726,22
727,19
728,22
729,20
730,20
731,10
732,19
733,12
734,15
735,11
736,13
737,7
738,13
739,6
740,12
741,14
742,7
743,7
744,7
745,7
746,13
747,14
748,12
749,11
750,5
751,7
752,9
753,10
754,9
755,6
756,8
757,7
758,7
759,6
760,11
761,7
762,9
763,6
764,12
765,5
766,9
767,13
768,4
769,7
770,8
771,11
772,10
773,6
774,8
775,7
776,9
777,8
778,6
779,6
780,5
781,11
782,7
783,2
784,8
785,11
786,8
787,6
788,13
789,10
790,10
791,7
792,7
793,6
794,9
795,11
796,5
797,3
798,7
799,13
800,14
801,17
802,13
803,10
804,5
805,13
806,9
807,11
808,8
809,9
810,10
811,10
812,12
813,6
814,8
815,6
816,10
817,7
818,6
819,12
820,7
821,6
822,12
823,11
824,17
825,9
826,10
827,14
828,12
829,11
830,9
831,10
832,9
833,14
834,12
835,14
836,8
837,12
838,10
839,15
840,13
841,17
842,18
843,24
844,21
845,19
846,20
847,21
848,23
849,23
850,28
851,22
852,26
853,30
854,40
855,33
856,35
857,43
858,54
859,33
860,52
861,51
862,66
863,73
864,70
865,75
866,72
867,77
868,72
869,77
870,86
871,105
872,122
873,110
874,146
875,129
876,123
877,140
878,150
879,150
880,145
881,150
882,147
883,160
884,157
885,134
886,156
887,150
888,159
889,146
890,142
891,167
892,134
893,130
894,134
895,160
896,142
897,145
898,145
899,119
900,150
901,135
902,139
903,124
904,124
905,115
906,119
907,103
908,127
909,118
910,117
911,137
912,113
913,92
914,112
915,91
916,94
917,123
918,115
919,85
920,100
921,107
922,102
923,77
924,82
925,78
926,77
927,79
928,69
929,69
930,64
931,74
932,68
933,65
934,73
935,64
936,64
937,52
938,53
939,58
940,55
941,60
942,51
943,48
944,38
945,37
946,50
947,54
948,37
949,40
950,57
951,32
952,45
953,43
954,31
955,39
956,46
957,36
958,35
959,31
960,39
961,50
962,42
963,30
964,47
965,44
966,40
967,38
968,44
969,49
970,34
971,51
972,43
973,32
974,31
975,47
976,58
977,45
978,49
979,40
980,46
981,44
982,55
983,46
984,48
985,50
986,50
987,54
988,66
989,68
990,60
991,63
992,48
993,70
994,72
995,80
996,73
997,61
998,74
999,75
1000,90
1001,90
1002,99
1003,82
1004,78
1005,94
1006,109
1007,96
1008,104
1009,79
1010,70
1011,107
1012,73
1013,110
1014,96
1015,85
1016,81
1017,60
1018,83
1019,91
1020,85
1021,93
1022,92
1023,101
1024,67
1025,59
1026,83
1027,72
1028,71
1029,67
1030,60
1031,57
1032,69
1033,50
1034,58
1035,61
1036,62
1037,62
1038,61
1039,42
1040,54
1041,43
1042,50
1043,47
1044,54
1045,43
1046,40
1047,28
1048,41
1049,34
1050,43
1051,26
1052,27
1053,48
1054,35
1055,32
1056,35
1057,33
1058,27
1059,36
1060,27
1061,26
1062,24
1063,25
1064,21
1065,15
1066,27
1067,25
1068,21
1069,17
1070,26
1071,26
1072,17
1073,21
1074,22
1075,22
1076,13
1077,20
1078,17
1079,15
1080,21
1081,9
1082,16
1083,16
1084,15
1085,10
1086,13
1087,12
1088,11
1089,12
1090,10
1091,7
1092,5
1093,11
1094,14
1095,8
1096,11
1097,9
1098,9
1099,7
1100,9
1101,4
1103,2
1104,5
1105,7
1106,12
1107,11
1108,8
1109,8
1110,9
1111,5
1112,8
1113,8
1114,4
1115,3
1116,10
1117,6
1118,10
1119,4
1120,9
1121,15
1122,10
1123,8
1124,11
1125,12
1126,8
1127,11
1128,13
1129,18
1130,13
1131,14
1132,10
1133,16
1134,14
1135,11
1136,20
1137,19
1138,16
1139,14
1140,13
1141,11
1142,12
1143,12
1144,12
1145,21
1146,28
1147,13
1148,21
1149,29
1150,20
1151,18
1152,21
1153,26
1154,30
1155,28
1156,21
1157,30
1158,27
1159,32
1160,23
1161,30
1162,22
1163,36
1164,26
1165,18
1166,28
1167,22
1168,29
1169,27
1170,18
1171,19
1172,24
1173,19
1174,19
1175,17
1176,24
1177,19
1178,28
1179,22
1180,23
1181,17
1182,23
1183,14
1184,20
1185,20
1186,20
1187,20
1188,19
1189,18
1190,7
1191,25
1192,5
1193,12
1194,14
1195,17
1196,14
1197,15
1198,10
1199,5
1200,11
1201,10
1202,12
1203,7
1204,13
1205,6
1206,8
1207,9
1208,7
1209,6
1210,12
1211,12
1212,7
1213,10
1214,5
1215,9
1216,7
1217,3
1218,9
1219,5
1220,4
1221,6
1222,7
1223,4
1224,2
1225,6
1226,5
1227,7
1228,4
1229,3
1230,8
1231,5
1232,2
1233,5
1234,1
1235,3
1236,4
1237,1
1238,5
1239,5
1240,3
1241,7
1242,2
1243,2
1244,6
1245,6
1246,4
1247,2
1248,5
1249,2
1250,1
1251,1
1252,1
1253,2
1254,3
1255,2
1256,4
1257,2
1258,5
1259,2
1260,2
1261,3
1263,3
1264,4
1265,2
1266,3
1267,2
1268,1
1269,2
1270,2
1271,4
1272,2
1273,3
1275,2
1277,1
1278,4
1279,2
1281,1
1282,3
1283,1
1284,2
1285,3
1286,2
1288,1
1289,1
1290,1
1291,2
1294,2
1295,3
1297,1
1298,1
1300,2
1301,2
1302,2
1303,1
1304,1
1305,4
1306,7
1307,2
1309,1
1310,3
1311,2
1312,7
1314,1
1315,1
1316,1
1317,3
1318,1
1319,1
1320,3
1321,2
1322,1
1323,4
1324,5
1325,1
1326,3
1327,6
1328,1
1329,4
1330,5
1331,2
1332,2
1333,2
1334,1
1335,2
1336,4
1337,8
1338,4
1339,2
1340,3
1341,4
1342,1
1345,1
1346,1
1347,1
1348,2
1349,1
1350,3
1351,2
1352,2
1353,1
1355,2
1356,1
1357,2
1359,2
1361,1
1362,2
1363,1
1364,1
1365,1
1367,1
1369,1
1371,3
1373,1
1376,2
1377,2
1381,2
1383,1
1388,1
1389,3
1390,1
1392,1
1394,1
1411,1
1414,1
1417,1
1423,1
1427,2
1428,2
1430,4
1439,2
1440,2
1442,3
1443,1
1445,1
1446,2
1449,1
1452,1
1454,1
1455,1
1458,1
1461,1
1467,1
1470,1
1474,2
1475,1
1476,1
1477,2
1478,1
1479,1
1482,1
1484,1
1487,1
1495,1
1502,1
1504,2
1507,1
1508,1
1514,1
1515,1
1528,1
1534,2
1544,1
1545,1
1554,1
1563,2
1579,1
1589,1
1606,1
1610,1
1615,1
1619,1
1630,1
1636,2
1646,1
1650,1
1666,1
1678,1
1750,1
1789,1
1797,1
1815,1
1856,1
1945,1
1978,1
1996,1
2151,1
2205,1
2244,1
2282,1
2395,1
2419,1
2420,1
2438,1
2440,1
2441,1
2455,1
2460,2
2462,1
2469,1
2470,1
2471,1
2475,1
2476,3
2478,1
2480,1
2482,1
2494,1
2499,1
2503,1
2504,2
2545,1
2546,1
2551,1
2555,1
2557,1
2562,1
2565,2
2569,1
2577,1
2578,1
2586,1
2587,1
2589,1
2592,1
2593,1
2601,1
2615,2
2632,1
2634,1
2649,1
2684,1
2755,1
3000,1
3068,1
3528,1
3573,1
3583,1
3595,1
3617,1
3618,2
3621,2
3642,1
3669,1
3777,1
3822,1
3924,1
4160,1
4467,1
4477,1
4489,1
4492,1
4498,1
4499,1
4505,1
4513,1
4517,2
4560,1
4566,1
4572,1
4576,1
4592,1
4593,1
4598,1
4600,1
4601,1
4607,1
4613,2
4615,1
4621,1
4625,1
4627,2
4629,1
4631,1
4635,1
4638,1
4645,1
4651,1
4654,1
4672,1
4684,1
4691,1
4695,1
4729,1
4807,1
4945,1
4950,1
4956,1
5016,1
5027,1
5193,1
5484,1
5486,1
5500,1
5518,2
5584,1
5599,1
5612,1
5613,1
5621,1
5627,1
5628,1
5632,1
5633,1
5639,1
5645,1
5670,1
5671,2
5698,1
5700,1
5712,1
5855,1
6435,1
6453,1
6468,1
6474,1
6482,1
6499,1
6517,1
6541,1
6551,1
6564,1
6567,1
6582,1
6585,1
6589,1
6593,1
6597,2
6599,1
6606,1
6618,1
6621,2
6624,1
6632,1
6634,1
6638,1
6645,1
6649,1
6653,1
6665,1
6666,1
6688,1
6692,1
6791,1
7526,1
7539,1
7564,1
