sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,7,0,214,2476,0,18,1,0
0,1,0,0,1,2847,0,5,0,0
1,0,387,0,250,2476,0,41,2,0
1,1,24,0,53,3201,0,105,0,0
2,0,853,0,263,2476,0,66,2,0
2,1,59,0,118,3540,0,217,0,0
3,0,1302,0,294,2476,0,91,2,0
3,1,90,0,175,3879,0,331,0,0
4,0,1764,0,311,2476,0,116,3,0
4,1,131,0,237,4218,0,443,0,0
5,0,2241,0,312,2476,0,141,3,0
5,1,161,0,303,4551,0,559,0,0
6,0,2718,0,312,2476,0,167,3,0
6,1,200,0,399,4886,0,671,0,0
7,0,3191,0,320,2476,0,191,3,0
7,1,233,0,537,5220,0,781,0,0
8,0,3662,0,328,2476,0,216,4,0
8,1,256,0,639,5553,0,895,0,0
9,0,4141,0,328,2476,0,242,4,0
9,1,287,0,743,5884,0,1008,1,0
10,0,4611,0,337,2476,0,292,4,0
10,1,309,0,853,6217,0,1145,1,0
11,0,4887,0,372,2476,0,310,5,0
11,1,317,0,880,6530,0,1278,1,0
12,0,5317,0,392,2476,0,334,5,0
12,1,346,0,947,6872,0,1386,1,0
13,0,5768,0,420,2476,0,360,5,0
13,1,377,0,1014,7203,0,1503,1,0
14,0,6230,0,434,2476,0,385,6,0
14,1,413,0,1166,7530,0,1614,1,0
15,0,6694,0,452,2476,0,411,6,0
15,1,452,0,1249,7869,0,1727,1,0
16,0,7119,0,504,2476,0,436,6,0
16,1,481,0,1340,8201,0,1841,1,0
17,0,7559,0,542,2476,0,461,7,0
17,1,504,0,1473,8532,0,1952,2,0
18,0,8184,0,568,2476,0,496,7,0
18,1,537,0,1544,9224,0,2045,2,0
19,0,8738,0,589,2476,0,527,7,0
19,1,537,0,1544,9974,0,2045,2,0
20,0,9226,0,606,2476,0,553,8,0
20,1,537,0,1544,10651,0,2045,2,0
21,0,9730,0,606,2476,0,580,8,0
21,1,537,0,1544,11328,0,2045,2,0
22,0,10199,0,620,2476,0,606,8,0
22,1,537,0,1544,11981,0,2045,2,0
