sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10896928,79159017408,79159914336,896928
1,20925648,79169017408,79169943056,925648
2,30813120,79179017408,79179830528,813120
3,40846528,79189017408,79189863936,846528
4,50796064,79199017408,79199813472,796064
5,60944112,79209017408,79209961520,944112
6,70820272,79219017408,79219837680,820272
7,80812624,79229017408,79229830032,812624
8,90841136,79239017408,79239858544,841136
9,100789296,79249017408,79249806704,789296
10,110842304,79259017408,79259859712,842304
11,120794368,79269017408,79269811776,794368
12,130838960,79279017408,79279856368,838960
13,140809936,79289017408,79289827344,809936
14,150908304,79299017408,79299925712,908304
15,160798560,79309017408,79309815968,798560
16,170797936,79319017408,79319815344,797936
17,180822896,79329017408,79329840304,822896
18,190867088,79339017408,79339884496,867088
19,200799392,79349017408,79349816800,799392
20,211027904,79359017408,79360045312,1027904
21,220741008,79369017408,79369758416,741008
22,230747968,79379017408,79379765376,747968
23,240848208,79389017408,79389865616,848208
24,250820320,79399017408,79399837728,820320
25,260799360,79409017408,79409816768,799360
26,270894672,79419017408,79419912080,894672
27,280758464,79429017408,79429775872,758464
28,290852576,79439017408,79439869984,852576
29,300801360,79449017408,79449818768,801360
30,310921056,79459017408,79459938464,921056
31,320835232,79469017408,79469852640,835232
32,330851632,79479017408,79479869040,851632
33,340923936,79489017408,79489941344,923936
34,350850960,79499017408,79499868368,850960
35,360717952,79509017408,79509735360,717952
36,370852112,79519017408,79519869520,852112
37,380731568,79529017408,79529748976,731568
38,390811216,79539017408,79539828624,811216
39,400824240,79549017408,79549841648,824240
40,410823824,79559017408,79559841232,823824
41,420828400,79569017408,79569845808,828400
42,430943328,79579017408,79579960736,943328
43,440734256,79589017408,79589751664,734256
44,450741200,79599017408,79599758608,741200
45,460860192,79609017408,79609877600,860192
46,470822640,79619017408,79619840048,822640
47,480905504,79629017408,79629922912,905504
48,490915120,79639017408,79639932528,915120
49,500796192,79649017408,79649813600,796192
50,510845632,79659017408,79659863040,845632
51,520717552,79669017408,79669734960,717552
52,530852560,79679017408,79679869968,852560
53,540786448,79689017408,79689803856,786448
54,550755248,79699017408,79699772656,755248
55,560809312,79709017408,79709826720,809312
56,570905824,79719017408,79719923232,905824
57,580808400,79729017408,79729825808,808400
58,590946992,79739017408,79739964400,946992
59,600879344,79749017408,79749896752,879344
60,610845760,79759017408,79759863168,845760
61,620814624,79769017408,79769832032,814624
62,630791680,79779017408,79779809088,791680
63,640820432,79789017408,79789837840,820432
64,650911568,79799017408,79799928976,911568
65,660685120,79809017408,79809702528,685120
66,670952688,79819017408,79819970096,952688
67,680818000,79829017408,79829835408,818000
68,690890816,79839017408,79839908224,890816
69,700809328,79849017408,79849826736,809328
70,710827952,79859017408,79859845360,827952
71,720864176,79869017408,79869881584,864176
72,730827776,79879017408,79879845184,827776
73,740768208,79889017408,79889785616,768208
74,750749072,79899017408,79899766480,749072
75,760827536,79909017408,79909844944,827536
76,770843712,79919017408,79919861120,843712
77,780777792,79929017408,79929795200,777792
78,790820352,79939017408,79939837760,820352
79,800800896,79949017408,79949818304,800896
80,810878768,79959017408,79959896176,878768
81,820758112,79969017408,79969775520,758112
82,830872736,79979017408,79979890144,872736
83,840849392,79989017408,79989866800,849392
84,850607072,79999017408,79999624480,607072
85,860564400,80009017408,80009581808,564400
86,870604800,80019017408,80019622208,604800
87,880590816,80029017408,80029608224,590816
88,890561376,80039017408,80039578784,561376
89,900565968,80049017408,80049583376,565968
90,910589488,80059017408,80059606896,589488
91,920532640,80069017408,80069550048,532640
92,930545840,80079017408,80079563248,545840
93,940506752,80089017408,80089524160,506752
94,950597968,80099017408,80099615376,597968
95,960548912,80109017408,80109566320,548912
96,970616800,80119017408,80119634208,616800
97,980531936,80129017408,80129549344,531936
98,990565872,80139017408,80139583280,565872
99,1000553520,80149017408,80149570928,553520
100,1010578320,80159017408,80159595728,578320
101,1020733648,80169017408,80169751056,733648
102,1030898416,80179017408,80179915824,898416
103,1040813888,80189017408,80189831296,813888
104,1050759520,80199017408,80199776928,759520
105,1060810224,80209017408,80209827632,810224
106,1070866080,80219017408,80219883488,866080
107,1080806960,80229017408,80229824368,806960
108,1090630592,80239017408,80239648000,630592
109,1100357248,80249017408,80249374656,357248
110,1110606192,80259017408,80259623600,606192
111,1120558864,80269017408,80269576272,558864
112,1130580560,80279017408,80279597968,580560
113,1140551120,80289017408,80289568528,551120
114,1150713760,80299017408,80299731168,713760
115,1160541888,80309017408,80309559296,541888
116,1170586960,80319017408,80319604368,586960
117,1180533920,80329017408,80329551328,533920
118,1190574864,80339017408,80339592272,574864
119,1200586656,80349017408,80349604064,586656
120,1210535632,80359017408,80359553040,535632
121,1220557808,80369017408,80369575216,557808
122,1230547248,80379017408,80379564656,547248
123,1240542208,80389017408,80389559616,542208
124,1250595072,80399017408,80399612480,595072
125,1260539488,80409017408,80409556896,539488
126,1270614528,80419017408,80419631936,614528
127,1280568752,80429017408,80429586160,568752
128,1290537712,80439017408,80439555120,537712
129,1300562544,80449017408,80449579952,562544
130,1310647424,80459017408,80459664832,647424
131,1320574464,80469017408,80469591872,574464
132,1330563056,80479017408,80479580464,563056
133,1340604224,80489017408,80489621632,604224
