bucket_us,count
166,1
167,3
169,1
170,2
171,2
172,1
173,1
174,4
175,2
176,7
177,3
178,5
179,5
180,4
181,2
182,6
183,3
184,1
185,4
186,1
187,7
188,5
189,5
190,9
191,5
192,5
193,2
194,10
195,7
196,5
197,7
198,6
199,4
200,5
201,4
202,7
203,3
205,9
206,4
207,5
208,7
209,3
210,3
211,5
212,7
213,4
214,3
215,4
216,3
217,5
218,3
219,5
220,3
221,7
222,5
223,5
224,4
225,6
226,11
227,7
228,6
229,9
230,4
231,3
232,5
233,8
234,8
235,2
236,2
237,7
238,6
239,10
240,12
241,4
242,2
243,6
244,5
245,6
246,4
247,7
248,8
249,9
250,11
251,8
252,5
253,3
254,7
255,8
256,6
257,5
258,4
259,4
260,4
261,6
262,6
263,7
264,5
265,6
266,6
267,5
268,7
269,5
270,8
271,8
272,2
273,8
274,6
275,3
276,5
277,5
278,4
279,3
280,8
281,4
282,6
283,5
284,3
285,5
286,2
287,8
288,3
289,3
290,6
291,2
292,8
293,8
294,4
295,2
296,3
297,7
298,6
299,1
300,5
301,6
302,5
303,3
304,3
305,4
306,2
307,2
308,7
309,2
310,3
311,5
312,3
313,4
314,4
315,6
316,5
317,8
318,2
319,4
320,7
321,3
322,5
323,6
324,4
325,8
326,7
327,8
328,11
329,4
330,9
331,4
332,19
333,8
334,9
335,16
336,15
337,17
338,12
339,16
340,11
341,13
342,24
343,18
344,18
345,15
346,20
347,20
348,18
349,18
350,22
351,24
352,15
353,19
354,27
355,21
356,18
357,26
358,20
359,24
360,27
361,15
362,25
363,21
364,19
365,25
366,25
367,29
368,21
369,24
370,25
371,21
372,15
373,19
374,20
375,20
376,30
377,20
378,13
379,12
380,19
381,25
382,29
383,20
384,33
385,24
386,38
387,19
388,22
389,28
390,22
391,21
392,17
393,16
394,16
395,23
396,21
397,13
398,23
399,23
400,22
401,21
402,17
403,24
404,22
405,17
406,20
407,26
408,16
409,22
410,16
411,17
412,12
413,28
414,15
415,19
416,24
417,10
418,17
419,18
420,18
421,17
422,19
423,24
424,24
425,21
426,23
427,26
428,29
429,30
430,26
431,46
432,44
433,47
434,62
435,73
436,77
437,81
438,112
439,99
440,158
441,166
442,174
443,198
444,208
445,207
446,226
447,272
448,281
449,327
450,341
451,364
452,343
453,293
454,354
455,395
456,372
457,375
458,407
459,434
460,430
461,428
462,413
463,395
464,402
465,415
466,372
467,383
468,346
469,364
470,385
471,344
472,345
473,279
474,335
475,299
476,310
477,296
478,292
479,302
480,291
481,293
482,316
483,260
484,297
485,276
486,319
487,282
488,286
489,327
490,355
491,366
492,321
493,326
494,337
495,345
496,346
497,315
498,319
499,341
500,340
501,312
502,337
503,313
504,322
505,307
506,360
507,292
508,302
509,300
510,309
511,305
512,310
513,301
514,291
515,289
516,291
517,296
518,287
519,268
520,288
521,262
522,261
523,230
524,268
525,239
526,261
527,244
528,254
529,247
530,263
531,224
532,228
533,260
534,247
535,246
536,246
537,293
538,271
539,282
540,284
541,320
542,337
543,328
544,379
545,359
546,397
547,415
548,403
549,383
550,379
551,371
552,449
553,423
554,407
555,433
556,470
557,433
558,453
559,460
560,462
561,448
562,460
563,431
564,416
565,417
566,467
567,451
568,448
569,437
570,446
571,413
572,385
573,422
574,381
575,379
576,368
577,377
578,385
579,345
580,396
581,323
582,334
583,362
584,344
585,324
586,331
587,335
588,326
589,292
590,291
591,286
592,268
593,278
594,276
595,280
596,295
597,252
598,254
599,239
600,253
601,265
602,249
603,229
604,244
605,235
606,244
607,247
608,241
609,247
610,281
611,248
612,264
613,253
614,281
615,257
616,251
617,248
618,246
619,285
620,294
621,257
622,304
623,282
624,251
625,267
626,274
627,270
628,278
629,302
630,282
631,287
632,281
633,272
634,288
635,294
636,302
637,297
638,312
639,282
640,273
641,282
642,316
643,297
644,273
645,258
646,265
647,244
648,250
649,245
650,244
651,257
652,260
653,233
654,246
655,232
656,238
657,247
658,249
659,210
660,206
661,232
662,202
663,224
664,187
665,184
666,180
667,176
668,165
669,187
670,187
671,174
672,153
673,165
674,153
675,173
676,165
677,176
678,156
679,162
680,168
681,172
682,150
683,138
684,136
685,127
686,158
687,128
688,142
689,131
690,126
691,118
692,90
693,108
694,113
695,100
696,108
697,105
698,93
699,88
700,107
701,77
702,94
703,85
704,83
705,78
706,79
707,67
708,67
709,78
710,76
711,82
712,73
713,73
714,84
715,57
716,63
717,66
718,75
719,70
720,72
721,54
722,75
723,65
724,73
725,45
726,60
727,61
728,54
729,42
730,49
731,57
732,37
733,41
734,36
735,35
736,42
737,34
738,44
739,34
740,32
741,29
742,36
743,28
744,29
745,29
746,38
747,23
748,27
749,35
750,38
751,23
752,24
753,23
754,32
755,23
756,35
757,22
758,38
759,21
760,22
761,6
764,8
765,14
766,19
767,18
768,20
769,21
770,20
771,21
772,18
773,24
774,29
775,23
776,21
777,22
778,25
779,14
780,22
781,16
782,13
783,16
784,11
785,19
786,7
787,16
788,21
789,12
790,18
791,18
792,21
793,10
794,16
795,21
796,17
797,16
798,14
799,18
800,16
801,16
802,11
803,9
804,12
805,9
806,19
807,23
808,22
809,14
810,15
811,22
812,25
813,18
814,13
815,10
816,13
817,20
818,21
819,26
820,17
821,26
822,26
823,14
824,21
825,14
826,13
827,10
828,20
829,12
830,17
831,17
832,8
833,20
834,16
835,17
836,10
837,8
838,20
839,16
840,15
841,13
842,24
843,18
844,11
845,19
846,22
847,20
848,22
849,24
850,13
851,19
852,24
853,22
854,21
855,15
856,19
857,17
858,17
859,9
860,17
861,25
862,25
863,21
864,21
865,17
866,19
867,23
868,23
869,23
870,14
871,19
872,23
873,15
874,24
875,20
876,32
877,18
878,16
879,17
880,23
881,21
882,27
883,19
884,17
885,12
886,18
887,12
888,11
889,9
890,18
891,9
892,16
893,14
894,15
895,15
896,12
897,9
898,15
899,13
900,10
901,16
902,12
903,8
904,7
905,11
906,13
907,12
908,10
909,9
910,11
911,12
912,7
913,20
914,6
915,9
916,18
917,13
918,8
919,11
920,17
921,8
922,10
923,4
924,8
925,7
926,5
927,4
928,7
929,17
930,15
931,13
932,5
933,9
934,10
935,8
936,12
937,5
938,10
939,7
940,5
941,7
942,3
943,5
944,11
945,9
946,10
947,10
948,8
949,6
950,12
951,6
952,10
953,6
954,8
955,7
956,7
957,6
958,14
959,4
960,10
961,3
962,5
963,8
964,2
965,3
966,7
967,1
968,4
969,3
970,9
971,9
972,4
973,4
974,4
975,4
976,9
977,6
978,7
979,2
980,5
981,1
982,7
983,2
984,5
985,9
986,7
987,4
988,4
989,7
990,5
991,7
992,3
993,4
994,5
