sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,7,0,216,2491,0,18,2,0
0,1,0,0,2,2844,0,30,0,0
1,0,382,0,251,2491,0,40,2,0
1,1,1,0,4,3233,0,106,0,0
2,0,836,0,278,2491,0,65,2,0
2,1,1,0,4,3603,0,195,0,0
3,0,1285,0,308,2491,0,90,3,0
3,1,1,0,5,3972,0,284,0,0
4,0,1724,0,346,2491,0,115,3,0
4,1,1,0,6,4338,0,374,0,0
5,0,2203,0,348,2491,0,140,3,0
5,1,2,0,7,4707,0,463,0,0
6,0,2682,0,349,2491,0,165,4,0
6,1,2,0,10,5080,0,552,0,0
7,0,3154,0,355,2491,0,190,4,0
7,1,2,0,13,5448,0,642,0,0
8,0,3620,0,367,2491,0,214,4,0
8,1,3,0,15,5817,0,730,0,0
9,0,4100,0,367,2491,0,239,4,0
9,1,3,0,16,6182,0,823,1,0
10,0,4551,0,395,2491,0,265,5,0
10,1,3,0,17,6550,0,914,1,0
11,0,4843,0,438,2491,0,310,5,0
11,1,4,0,19,6954,0,1033,1,0
12,0,5279,0,460,2491,0,334,5,0
12,1,4,0,22,7338,0,1118,1,0
13,0,5727,0,491,2491,0,359,6,0
13,1,4,0,24,7708,0,1207,1,0
14,0,6187,0,510,2491,0,384,6,0
14,1,4,0,25,8076,0,1297,1,0
15,0,6642,0,533,2491,0,409,6,0
15,1,4,0,25,8443,0,1388,1,0
16,0,7052,0,602,2491,0,434,7,0
16,1,5,0,26,8809,0,1478,1,0
17,0,7514,0,621,2491,0,459,7,0
17,1,5,0,28,9178,0,1568,1,0
18,0,8124,0,671,2491,0,494,7,0
18,1,7,0,29,9899,0,1636,1,0
19,0,8619,0,690,2491,0,521,8,0
19,1,7,0,29,10559,0,1636,1,0
20,0,9089,0,691,2491,0,546,8,0
20,1,7,0,29,11198,0,1636,1,0
21,0,9555,0,693,2491,0,570,8,0
21,1,7,0,29,11835,0,1636,1,0
