sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10850992,80383018592,80383869584,850992
1,20953024,80393018592,80393971616,953024
2,30878032,80403018592,80403896624,878032
3,40711040,80413018592,80413729632,711040
4,50588592,80423018592,80423607184,588592
5,60697664,80433018592,80433716256,697664
6,70583808,80443018592,80443602400,583808
7,80502160,80453018592,80453520752,502160
8,90570752,80463018592,80463589344,570752
9,100571568,80473018592,80473590160,571568
10,110615488,80483018592,80483634080,615488
11,120604112,80493018592,80493622704,604112
12,130607488,80503018592,80503626080,607488
13,140662832,80513018592,80513681424,662832
14,150639072,80523018592,80523657664,639072
15,160668688,80533018592,80533687280,668688
16,170601984,80543018592,80543620576,601984
17,180716720,80553018592,80553735312,716720
18,190569728,80563018592,80563588320,569728
19,200595872,80573018592,80573614464,595872
20,210543456,80583018592,80583562048,543456
21,220561424,80593018592,80593580016,561424
22,230602128,80603018592,80603620720,602128
23,240588816,80613018592,80613607408,588816
24,250509568,80623018592,80623528160,509568
25,260714464,80633018592,80633733056,714464
26,270634416,80643018592,80643653008,634416
27,280607168,80653018592,80653625760,607168
28,290492736,80663018592,80663511328,492736
29,300721152,80673018592,80673739744,721152
30,310575888,80683018592,80683594480,575888
31,320545008,80693018592,80693563600,545008
32,330514928,80703018592,80703533520,514928
33,340573328,80713018592,80713591920,573328
34,350602176,80723018592,80723620768,602176
35,360596176,80733018592,80733614768,596176
36,370620656,80743018592,80743639248,620656
37,380587312,80753018592,80753605904,587312
38,390794768,80763018592,80763813360,794768
39,400591520,80773018592,80773610112,591520
40,410598672,80783018592,80783617264,598672
41,420529536,80793018592,80793548128,529536
42,430554560,80803018592,80803573152,554560
43,440520544,80813018592,80813539136,520544
44,450586512,80823018592,80823605104,586512
45,460595696,80833018592,80833614288,595696
46,470749024,80843018592,80843767616,749024
47,480561584,80853018592,80853580176,561584
48,490712064,80863018592,80863730656,712064
49,500580768,80873018592,80873599360,580768
50,510489120,80883018592,80883507712,489120
51,520571008,80893018592,80893589600,571008
52,530731456,80903018592,80903750048,731456
53,540501984,80913018592,80913520576,501984
54,550615376,80923018592,80923633968,615376
55,560569712,80933018592,80933588304,569712
56,570535296,80943018592,80943553888,535296
57,580588544,80953018592,80953607136,588544
58,590620928,80963018592,80963639520,620928
59,600570544,80973018592,80973589136,570544
60,610590304,80983018592,80983608896,590304
61,620576864,80993018592,80993595456,576864
62,630590960,81003018592,81003609552,590960
63,640556400,81013018592,81013574992,556400
64,650620784,81023018592,81023639376,620784
65,660590688,81033018592,81033609280,590688
66,670793104,81043018592,81043811696,793104
67,680782736,81053018592,81053801328,782736
68,690762736,81063018592,81063781328,762736
69,700773488,81073018592,81073792080,773488
70,710772864,81083018592,81083791456,772864
71,720757248,81093018592,81093775840,757248
72,730737296,81103018592,81103755888,737296
73,740733872,81113018592,81113752464,733872
74,750757408,81123018592,81123776000,757408
75,760755856,81133018592,81133774448,755856
76,770707120,81143018592,81143725712,707120
77,780752432,81153018592,81153771024,752432
78,790746608,81163018592,81163765200,746608
79,800745056,81173018592,81173763648,745056
80,810759040,81183018592,81183777632,759040
81,820722944,81193018592,81193741536,722944
82,830755440,81203018592,81203774032,755440
83,840994000,81213018592,81214012592,994000
84,850753360,81223018592,81223771952,753360
85,860768208,81233018592,81233786800,768208
86,870725472,81243018592,81243744064,725472
87,880759280,81253018592,81253777872,759280
88,890772352,81263018592,81263790944,772352
89,900681376,81273018592,81273699968,681376
90,910918176,81283018592,81283936768,918176
91,920824192,81293018592,81293842784,824192
92,930748496,81303018592,81303767088,748496
93,940748064,81313018592,81313766656,748064
94,950751760,81323018592,81323770352,751760
95,960748768,81333018592,81333767360,748768
96,970785568,81343018592,81343804160,785568
97,980883456,81353018592,81353902048,883456
98,990708384,81363018592,81363726976,708384
99,1000776832,81373018592,81373795424,776832
100,1010779088,81383018592,81383797680,779088
101,1020728224,81393018592,81393746816,728224
102,1030755312,81403018592,81403773904,755312
103,1040767888,81413018592,81413786480,767888
104,1050724256,81423018592,81423742848,724256
105,1060755536,81433018592,81433774128,755536
106,1070724768,81443018592,81443743360,724768
107,1080746944,81453018592,81453765536,746944
108,1090772400,81463018592,81463790992,772400
109,1100793760,81473018592,81473812352,793760
110,1110733632,81483018592,81483752224,733632
111,1120700016,81493018592,81493718608,700016
112,1130746432,81503018592,81503765024,746432
113,1140760208,81513018592,81513778800,760208
114,1150753056,81523018592,81523771648,753056
115,1160780912,81533018592,81533799504,780912
116,1170755456,81543018592,81543774048,755456
117,1180760448,81553018592,81553779040,760448
118,1190753392,81563018592,81563771984,753392
119,1200726816,81573018592,81573745408,726816
120,1210795936,81583018592,81583814528,795936
121,1220828096,81593018592,81593846688,828096
122,1230763472,81603018592,81603782064,763472
123,1240768304,81613018592,81613786896,768304
124,1250761936,81623018592,81623780528,761936
125,1260756880,81633018592,81633775472,756880
126,1270777232,81643018592,81643795824,777232
127,1280784752,81653018592,81653803344,784752
128,1290765072,81663018592,81663783664,765072
129,1300746832,81673018592,81673765424,746832
130,1310766160,81683018592,81683784752,766160
131,1320788880,81693018592,81693807472,788880
132,1330752448,81703018592,81703771040,752448
133,1340801440,81713018592,81713820032,801440
134,1350552672,81723018592,81723571264,552672
135,1360589072,81733018592,81733607664,589072
136,1370712944,81743018592,81743731536,712944
137,1380625616,81753018592,81753644208,625616
138,1390747072,81763018592,81763765664,747072
139,1400557680,81773018592,81773576272,557680
140,1410746512,81783018592,81783765104,746512
141,1420598400,81793018592,81793616992,598400
142,1430673952,81803018592,81803692544,673952
143,1440676256,81813018592,81813694848,676256
144,1450733216,81823018592,81823751808,733216
145,1460625760,81833018592,81833644352,625760
146,1470567152,81843018592,81843585744,567152
147,1480635104,81853018592,81853653696,635104
148,1490750400,81863018592,81863768992,750400
149,1500776000,81873018592,81873794592,776000
150,1510573392,81883018592,81883591984,573392
151,1520750336,81893018592,81893768928,750336
152,1530762480,81903018592,81903781072,762480
153,1540539040,81913018592,81913557632,539040
154,1550511088,81923018592,81923529680,511088
155,1560512352,81933018592,81933530944,512352
156,1570565808,81943018592,81943584400,565808
157,1580739760,81953018592,81953758352,739760
158,1590758544,81963018592,81963777136,758544
159,1600791104,81973018592,81973809696,791104
160,1610634144,81983018592,81983652736,634144
161,1620742000,81993018592,81993760592,742000
162,1630753632,82003018592,82003772224,753632
163,1640736752,82013018592,82013755344,736752
164,1650762800,82023018592,82023781392,762800
165,1660783600,82033018592,82033802192,783600
166,1670496080,82043018592,82043514672,496080
167,1680591728,82053018592,82053610320,591728
168,1690608624,82063018592,82063627216,608624
169,1700550528,82073018592,82073569120,550528
