bucket_us,count
141,1
145,1
155,3
158,1
162,1
163,2
164,6
165,9
166,11
167,21
168,35
169,48
170,51
171,79
172,86
173,94
174,138
175,120
176,155
177,175
178,170
179,156
180,184
181,188
182,188
183,179
184,236
185,216
186,218
187,231
188,248
189,224
190,299
191,263
192,270
193,287
194,291
195,275
196,261
197,286
198,318
199,286
200,268
201,332
202,284
203,294
204,324
205,288
206,289
207,265
208,291
209,284
210,260
211,259
212,266
213,247
214,245
215,241
216,288
217,271
218,261
219,272
220,266
221,262
222,282
223,284
224,281
225,280
226,259
227,242
228,241
229,256
230,259
231,272
232,262
233,233
234,228
235,234
236,236
237,223
238,227
239,197
240,237
241,211
242,216
243,197
244,219
245,230
246,218
247,226
248,215
249,216
250,222
251,205
252,218
253,199
254,221
255,190
256,215
257,170
258,205
259,229
260,217
261,207
262,191
263,161
264,223
265,190
266,209
267,186
268,179
269,195
270,209
271,165
272,196
273,178
274,179
275,197
276,208
277,172
278,191
279,170
280,162
281,194
282,183
283,194
284,187
285,160
286,166
287,182
288,177
289,176
290,179
291,182
292,158
293,174
294,161
295,168
296,192
297,166
298,191
299,183
300,182
301,176
302,204
303,199
304,224
305,182
306,204
307,198
308,199
309,207
310,197
311,206
312,187
313,208
314,230
315,220
316,214
317,219
318,227
319,219
320,277
321,238
322,230
323,238
324,254
325,263
326,282
327,249
328,291
329,278
330,299
331,391
332,382
333,356
334,411
335,417
336,482
337,499
338,542
339,556
340,635
341,616
342,665
343,705
344,797
345,848
346,908
347,1012
348,1108
349,1128
350,1230
351,1366
352,1380
353,1555
354,1676
355,1721
356,1775
357,1861
358,1982
359,1968
360,2072
361,2092
362,2195
363,2197
364,2229
365,2159
366,2222
367,2156
368,2226
369,2199
370,2211
371,2081
372,2245
373,2242
374,2114
375,2112
376,2048
377,2084
378,2096
379,1996
380,1935
381,1883
382,1916
383,1843
384,265
386,62
387,633
388,1160
389,1348
390,1465
391,1527
392,1449
393,1376
394,1403
395,1307
396,1294
397,1250
398,1222
399,1173
400,1217
401,1158
402,1074
403,1037
404,1041
405,970
406,963
407,900
408,920
409,834
410,817
411,809
412,815
413,798
414,775
415,775
416,746
417,692
418,736
419,777
420,781
421,792
422,768
423,748
424,831
425,823
426,831
427,801
428,836
429,899
430,949
431,995
432,1055
433,1060
434,1098
435,1174
436,1191
437,1336
438,1363
439,1377
440,1539
441,1604
442,1799
443,1778
444,1897
445,2014
446,2329
447,2463
448,2903
449,3026
450,3657
451,3993
452,4485
453,4946
454,5548
455,6290
456,7003
457,7764
458,8511
459,8860
460,9803
461,10103
462,10188
463,10211
464,10739
465,10606
466,10693
467,10585
468,10763
469,10625
470,10458
471,10190
472,10428
473,9997
474,9938
475,9783
476,9928
477,9627
478,9816
479,9670
480,9603
481,9523
482,9517
483,9206
484,9161
485,8831
486,9147
487,8889
488,9033
489,8921
490,9348
491,9351
492,9881
493,10422
494,11048
495,11135
496,11628
497,11528
498,12330
499,12129
500,12650
501,12466
502,12894
503,12514
504,12441
505,12347
506,12734
507,12509
508,12603
509,12161
510,12532
511,12136
512,12436
513,12015
514,12618
515,12506
516,12571
517,12729
518,13006
519,12791
520,13205
521,12904
522,13416
523,13112
524,13035
525,12635
526,12904
527,12742
528,12648
529,12552
530,12870
531,12905
532,13221
533,13113
534,13554
535,13454
536,13856
537,13447
538,13886
539,13555
540,13464
541,13326
542,13150
543,12997
544,12706
545,12029
546,11959
547,11441
548,11312
549,10973
550,10604
551,10165
552,9910
553,9327
554,8952
555,8725
556,8591
557,8235
558,8215
559,8210
560,8517
561,8659
562,9177
563,9734
564,10224
565,10609
566,11245
567,11572
568,12236
569,12245
570,12363
571,12282
572,12435
573,12117
574,12478
575,11969
576,12052
577,12186
578,12176
579,11981
580,12532
581,12127
582,12138
583,11698
584,11684
585,11433
586,11110
587,10754
588,10710
589,10369
590,10331
591,9818
592,9665
593,9335
594,9792
595,9345
596,9023
597,9072
598,9366
599,8621
600,8931
601,8687
602,9183
603,8915
604,8963
605,8855
606,8958
607,8895
608,8888
609,8671
610,8803
611,8620
612,8439
613,8621
614,8681
615,8574
616,8561
617,8452
618,8446
619,8048
620,8083
621,7683
622,7506
623,7235
624,7422
625,7173
626,6727
627,6785
628,7178
629,6903
630,6961
631,6851
632,7121
633,6889
634,7128
635,6878
636,7024
637,6664
638,6857
639,6571
640,6498
641,6378
642,6392
643,6231
644,6221
645,6011
646,5895
647,5900
648,6007
649,6021
650,6228
651,6154
652,6399
653,6576
654,6713
655,6793
656,7209
657,7233
658,7515
659,7655
660,7834
661,7836
662,8021
663,7688
664,7485
665,7242
666,7009
667,6708
668,6444
669,6278
670,6053
671,5860
672,5568
673,5556
674,5463
675,5303
676,5157
677,4998
678,5018
679,4715
680,4632
681,4434
682,4354
683,4169
684,4092
685,3878
686,3832
687,3773
688,3623
689,3588
690,3609
691,3347
692,3445
693,3161
694,3184
695,3148
696,3144
697,2975
698,2966
699,2819
700,2868
701,2777
702,2771
703,2647
704,2670
705,2556
706,2688
707,2522
708,2493
709,2521
710,2505
711,2473
712,2544
713,2488
714,2431
715,2560
716,2547
717,2582
718,2597
719,2423
720,2551
721,2421
722,2684
723,2633
724,2571
725,2662
726,2753
727,2732
728,2762
729,2807
730,2886
731,2758
732,2924
733,2902
734,3091
735,3084
736,3079
737,3176
738,3382
739,3255
740,3568
741,3533
742,3457
743,3361
744,3347
745,3297
746,3167
747,3014
748,3008
749,2931
750,2956
751,2810
752,2754
753,2569
754,2495
755,2477
756,2334
757,2229
758,2152
759,2160
760,2080
761,2122
762,2125
763,2037
764,2097
765,2074
766,2099
767,2150
768,2232
769,2233
770,2279
771,2318
772,2347
773,2321
774,2435
775,2416
776,2591
777,2555
778,2664
779,2674
780,2684
781,2721
782,2697
783,2642
784,2713
785,2635
786,2516
787,2665
788,2707
789,2757
790,2671
791,2598
792,2685
793,2668
794,2626
795,2663
796,2730
797,2797
798,2817
799,2828
800,2904
801,2952
802,3116
803,3110
804,3322
805,3380
806,3496
807,3575
808,3688
809,3776
810,3832
811,3972
812,4124
813,4067
814,4394
815,4280
816,4518
817,4399
818,4504
819,4609
820,4605
821,4535
822,4684
823,4545
824,4685
825,4439
826,4637
827,4482
828,4505
829,4366
830,4434
831,4219
832,4186
833,4045
834,4240
835,4078
836,4065
837,3941
838,3964
839,3921
840,3967
841,3982
842,3919
843,3872
844,4033
845,3945
846,4116
847,3968
848,4114
849,4017
850,4174
851,4091
852,4062
853,3866
854,3974
855,3922
856,3944
857,3819
858,3866
859,3707
860,3824
861,3624
862,3668
863,3545
864,3507
865,3366
866,3311
867,3337
868,3231
869,3044
870,3210
871,2980
872,3013
873,2759
874,2713
875,2623
876,2659
877,2489
878,2365
879,2320
880,2254
881,2138
882,2129
883,1930
884,1909
885,1906
886,1785
887,1762
888,1706
889,1676
890,1792
891,1609
892,1602
893,1568
894,1603
895,1481
896,1469
897,1538
898,1605
899,1551
900,1591
901,1574
902,1608
903,1627
904,1713
905,1687
906,1745
907,1698
908,1862
909,1835
910,1907
911,1909
912,1997
913,2121
914,2019
915,2216
916,2260
917,2229
918,2297
919,2254
920,2345
921,2248
922,2518
923,2268
924,2452
925,2398
926,2402
927,2444
928,2429
929,2304
930,2480
931,2401
932,2428
933,2364
934,2432
935,2340
936,2422
937,2291
938,2433
939,2405
940,2476
941,2441
942,2342
943,2414
944,2434
945,2377
946,2401
947,2342
948,2353
949,2274
950,2390
951,2259
952,2306
953,2314
954,2262
955,2255
956,2269
957,2244
958,2260
959,2176
960,2322
961,2060
962,2201
963,2090
964,2098
965,1927
966,1893
967,1894
968,1906
969,1812
970,1849
971,1731
972,1770
973,1708
974,1712
975,1710
976,1672
977,1606
978,1568
979,1481
980,1517
981,1494
982,1423
983,1387
984,1408
985,1332
986,1299
987,1283
988,1255
989,1172
990,1144
991,1130
992,1122
993,1016
994,1021
995,974
996,901
997,905
998,889
999,848
1000,762
1001,790
1002,755
1003,713
1004,675
1005,619
1006,563
1007,558
1008,589
1009,520
1010,533
1011,483
1012,508
1013,439
1014,428
1015,414
1016,417
1017,408
1018,429
1019,352
1020,355
1021,308
1022,336
1023,305
1024,314
1025,318
1026,325
1027,308
1028,300
1029,287
1030,291
1031,310
1032,296
1033,296
1034,297
1035,306
1036,296
1037,297
1038,342
1039,323
1040,345
1041,338
1042,367
1043,364
1044,384
1045,376
1046,370
1047,374
1048,396
1049,382
1050,407
1051,421
1052,369
1053,361
1054,394
1055,383
1056,382
1057,404
1058,390
1059,383
1060,378
1061,388
1062,426
1063,368
1064,406
1065,434
1066,401
1067,367
1068,391
1069,393
1070,404
1071,396
1072,391
1073,371
1074,337
1075,302
1076,331
1077,354
1078,316
1079,347
1080,340
1081,319
1082,301
1083,288
1084,283
1085,273
1086,302
1087,279
1088,272
1089,235
1090,248
1091,237
1092,250
1093,207
1094,221
1095,215
1096,221
1097,212
1098,200
1099,193
1100,171
1101,188
1102,207
1103,168
1104,165
1105,199
1106,202
1107,168
1108,176
1109,187
1110,169
1111,166
1112,161
1113,176
1114,150
1115,162
1116,144
1117,151
1118,161
1119,130
1120,139
1121,146
1122,150
1123,127
1124,126
1125,141
1126,136
1127,130
1128,144
1129,128
1130,145
1131,136
1132,126
1133,125
1134,121
1135,122
1136,133
1137,112
1138,116
1139,125
1140,93
1141,111
1142,122
1143,132
1144,137
1145,100
1146,103
1147,116
1148,94
1149,96
1150,105
1151,108
1152,88
1153,91
1154,117
1155,95
1156,83
1157,79
1158,83
1159,80
1160,89
1161,87
1162,69
1163,74
1164,82
1165,75
1166,72
1167,68
1168,64
1169,50
1170,67
1171,74
1172,77
1173,78
1174,54
1175,70
1176,74
1177,59
1178,61
1179,49
1180,54
1181,50
1182,51
1183,53
1184,45
1185,49
1186,54
1187,50
1188,48
1189,46
1190,47
1191,46
1192,50
1193,40
1194,36
1195,36
1196,43
1197,32
1198,40
1199,43
1200,39
1201,30
1202,45
1203,42
1204,52
1205,42
1206,32
1207,42
1208,32
1209,32
1210,39
1211,30
1212,28
1213,28
1214,35
