sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,5,0,213,2474,0,18,1,0
0,1,0,0,1,2871,0,5,0,0
1,0,363,0,254,2474,0,41,2,0
1,1,1,0,5,3244,0,106,0,0
2,0,744,0,276,2474,0,89,2,0
2,1,2,0,8,3632,0,205,0,0
3,0,1093,0,316,2474,0,111,2,0
3,1,2,0,10,4014,0,329,0,0
4,0,1526,0,333,2474,0,134,2,0
4,1,4,0,13,4365,0,437,0,0
5,0,2003,0,333,2474,0,161,3,0
5,1,4,0,16,4710,0,550,0,0
6,0,2478,0,334,2474,0,187,3,0
6,1,5,0,18,5055,0,663,0,0
7,0,2945,0,345,2474,0,213,3,0
7,1,6,0,22,5397,0,779,0,0
8,0,3409,0,360,2474,0,238,4,0
8,1,7,0,25,5741,0,893,0,0
9,0,3887,0,360,2474,0,264,4,0
9,1,8,0,26,6085,0,1008,0,0
10,0,4356,0,370,2474,0,291,4,0
10,1,10,0,29,6431,0,1121,1,0
11,0,4791,0,414,2474,0,317,5,0
11,1,10,0,31,6776,0,1235,1,0
12,0,5258,0,423,2474,0,343,5,0
12,1,11,0,33,7115,0,1352,1,0
13,0,5713,0,448,2474,0,369,5,0
13,1,12,0,35,7461,0,1466,1,0
14,0,6178,0,458,2474,0,395,6,0
14,1,12,0,39,7800,0,1583,1,0
15,0,6643,0,471,2474,0,421,6,0
15,1,15,0,41,8142,0,1699,1,0
16,0,7073,0,519,2474,0,448,6,0
16,1,15,0,43,8483,0,1816,1,0
17,0,7532,0,538,2474,0,473,6,0
17,1,17,0,47,8828,0,1929,1,0
18,0,7972,0,574,2474,0,500,7,0
18,1,18,0,51,9170,0,2044,2,0
19,0,8424,0,601,2474,0,526,7,0
19,1,18,0,54,9512,0,2160,2,0
20,0,8883,0,619,2474,0,552,7,0
20,1,19,0,55,9854,0,2275,2,0
21,0,9360,0,619,2474,0,579,8,0
21,1,20,0,57,10193,0,2392,2,0
22,0,9837,0,620,2474,0,605,8,0
22,1,21,0,59,10536,0,2508,2,0
23,0,10305,0,629,2474,0,631,8,0
23,1,21,0,60,10878,0,2623,2,0
24,0,10779,0,633,2474,0,657,9,0
24,1,22,0,62,11223,0,2737,2,0
25,0,11257,0,633,2474,0,683,9,0
25,1,22,0,66,11565,0,2853,2,0
26,0,11712,0,654,2474,0,708,9,0
26,1,22,0,68,11908,0,2965,2,0
27,0,12171,0,674,2474,0,735,10,0
27,1,24,0,70,12250,0,3082,3,0
28,0,12625,0,697,2474,0,761,10,0
28,1,25,0,74,12593,0,3196,3,0
29,0,13084,0,714,2474,0,787,10,0
29,1,26,0,75,12936,0,3309,3,0
30,0,13550,0,726,2474,0,813,11,0
30,1,27,0,78,13279,0,3424,3,0
31,0,14000,0,754,2474,0,839,11,0
31,1,28,0,81,13621,0,3539,3,0
32,0,14452,0,778,2474,0,865,11,0
32,1,28,0,85,13962,0,3654,3,0
33,0,14917,0,791,2474,0,891,11,0
33,1,29,0,87,14305,0,3769,3,0
34,0,15349,0,836,2474,0,918,12,0
34,1,29,0,91,14646,0,3885,3,0
35,0,15803,0,860,2474,0,945,12,0
35,1,29,0,93,14987,0,4002,3,0
36,0,16282,0,861,2474,0,971,13,0
36,1,29,0,95,15331,0,4117,4,0
37,0,16760,0,861,2474,0,997,13,0
37,1,29,0,97,15677,0,4231,4,0
38,0,17233,0,865,2474,0,1023,13,0
38,1,30,0,101,16026,0,4342,4,0
39,0,17706,0,869,2474,0,1050,13,0
39,1,30,0,103,16366,0,4457,4,0
40,0,18181,0,871,2474,0,1076,14,0
40,1,32,0,105,16708,0,4572,4,0
41,0,18656,0,874,2474,0,1102,14,0
41,1,32,0,110,17050,0,4687,4,0
42,0,19094,0,915,2474,0,1129,14,0
42,1,33,0,115,17395,0,4801,4,0
43,0,19561,0,925,2474,0,1155,15,0
43,1,34,0,119,17734,0,4918,4,0
44,0,20002,0,962,2474,0,1181,15,0
44,1,35,0,121,18077,0,5035,5,0
45,0,20473,0,970,2474,0,1207,15,0
45,1,36,0,124,18421,0,5149,5,0
46,0,20930,0,989,2474,0,1233,16,0
46,1,36,0,125,18766,0,5262,5,0
47,0,21364,0,1034,2474,0,1259,16,0
47,1,37,0,130,19109,0,5376,5,0
48,0,21831,0,1046,2474,0,1286,16,0
48,1,38,0,132,19451,0,5492,5,0
49,0,22281,0,1072,2474,0,1312,17,0
49,1,38,0,134,19791,0,5607,5,0
50,0,22723,0,1108,2474,0,1338,17,0
50,1,40,0,137,20134,0,5722,5,0
51,0,23176,0,1133,2474,0,1364,17,0
51,1,40,0,140,20476,0,5838,5,0
52,0,23654,0,1134,2474,0,1390,18,0
52,1,41,0,143,20817,0,5955,5,0
53,0,24130,0,1134,2474,0,1416,18,0
53,1,41,0,146,21156,0,6072,6,0
54,0,24593,0,1150,2474,0,1442,18,0
54,1,41,0,148,21501,0,6186,6,0
55,0,25039,0,1182,2474,0,1468,18,0
55,1,41,0,150,21840,0,6306,6,0
56,0,25509,0,1189,2474,0,1493,19,0
56,1,42,0,152,22185,0,6420,6,0
57,0,25985,0,1192,2474,0,1519,19,0
57,1,43,0,157,22528,0,6536,6,0
58,0,26424,0,1230,2474,0,1546,19,0
58,1,43,0,159,22867,0,6654,6,0
59,0,26878,0,1253,2474,0,1572,20,0
59,1,44,0,163,23210,0,6769,6,0
60,0,27329,0,1280,2474,0,1598,20,0
60,1,44,0,167,23551,0,6885,6,0
61,0,27800,0,1288,2474,0,1624,20,0
61,1,46,0,172,23896,0,7001,6,0
62,0,28252,0,1313,2474,0,1650,21,0
62,1,46,0,174,24238,0,7116,7,0
63,0,28677,0,1366,2474,0,1676,21,0
63,1,47,0,176,24583,0,7229,7,0
64,0,29132,0,1390,2474,0,1702,21,0
64,1,49,0,180,24927,0,7342,7,0
65,0,29583,0,1418,2474,0,1729,22,0
65,1,49,0,184,25273,0,7456,7,0
66,0,30037,0,1442,2474,0,1754,22,0
66,1,50,0,189,25615,0,7572,7,0
67,0,30479,0,1477,2474,0,1780,22,0
67,1,51,0,192,25959,0,7685,7,0
68,0,30954,0,1479,2474,0,1806,23,0
68,1,51,0,197,26301,0,7801,7,0
69,0,31433,0,1480,2474,0,1832,23,0
69,1,52,0,199,26646,0,7916,7,0
70,0,31906,0,1483,2474,0,1858,23,0
70,1,53,0,201,26989,0,8030,7,0
71,0,32378,0,1490,2474,0,1884,23,0
71,1,53,0,203,27334,0,8144,7,0
72,0,32856,0,1491,2474,0,1910,24,0
72,1,54,0,205,27677,0,8260,8,0
73,0,33320,0,1504,2474,0,1936,24,0
73,1,55,0,208,28020,0,8374,8,0
74,0,33764,0,1536,2474,0,1964,24,0
74,1,55,0,213,28363,0,8488,8,0
75,0,34213,0,1565,2474,0,1990,25,0
75,1,56,0,215,28706,0,8604,8,0
76,0,34680,0,1575,2474,0,2017,25,0
76,1,57,0,218,29048,0,8719,8,0
77,0,35149,0,1583,2474,0,2043,25,0
77,1,58,0,220,29388,0,8837,8,0
78,0,35597,0,1613,2474,0,2069,26,0
78,1,59,0,224,29731,0,8951,8,0
79,0,36036,0,1654,2474,0,2095,26,0
79,1,60,0,226,30078,0,9063,8,0
80,0,36504,0,1664,2474,0,2121,26,0
80,1,60,0,228,30419,0,9181,8,0
81,0,36940,0,1703,2474,0,2147,27,0
81,1,62,0,229,30763,0,9294,9,0
82,0,37385,0,1738,2474,0,2173,27,0
82,1,64,0,233,31108,0,9408,9,0
83,0,37842,0,1758,2474,0,2200,27,0
83,1,65,0,235,31452,0,9522,9,0
84,0,38318,0,1758,2474,0,2227,28,0
84,1,68,0,238,31795,0,9636,9,0
85,0,38792,0,1763,2474,0,2253,28,0
85,1,68,0,241,32139,0,9751,9,0
86,0,39265,0,1769,2474,0,2279,28,0
86,1,69,0,243,32479,0,9869,9,0
87,0,39740,0,1770,2474,0,2305,28,0
87,1,70,0,245,32819,0,9987,9,0
88,0,40217,0,1771,2474,0,2331,29,0
88,1,71,0,248,33158,0,10104,9,0
89,0,40658,0,1811,2474,0,2358,29,0
89,1,72,0,250,33503,0,10221,9,0
90,0,41114,0,1832,2474,0,2384,29,0
90,1,72,0,252,33845,0,10336,10,0
91,0,41572,0,1850,2474,0,2411,30,0
91,1,74,0,256,34186,0,10450,10,0
92,0,42035,0,1865,2474,0,2437,30,0
92,1,74,0,259,34527,0,10567,10,0
93,0,42500,0,1880,2474,0,2464,30,0
93,1,75,0,263,34870,0,10683,10,0
94,0,42931,0,1925,2474,0,2490,31,0
94,1,75,0,267,35207,0,10803,10,0
95,0,43366,0,1967,2474,0,2516,31,0
95,1,76,0,272,35549,0,10917,10,0
96,0,43834,0,1977,2474,0,2542,31,0
96,1,78,0,275,35891,0,11034,10,0
97,0,44276,0,2013,2474,0,2569,32,0
97,1,78,0,277,36233,0,11149,10,0
98,0,44729,0,2039,2474,0,2595,32,0
98,1,79,0,280,36577,0,11264,11,0
99,0,45198,0,2045,2474,0,2620,32,0
99,1,80,0,282,36917,0,11381,11,0
100,0,45675,0,2047,2474,0,2646,33,0
100,1,81,0,287,37262,0,11493,11,0
101,0,46144,0,2055,2474,0,2672,33,0
101,1,82,0,290,37606,0,11607,11,0
102,0,46614,0,2062,2474,0,2699,33,0
102,1,84,0,293,37945,0,11724,11,0
103,0,47091,0,2063,2474,0,2725,33,0
103,1,84,0,296,38290,0,11838,11,0
104,0,47567,0,2064,2474,0,2752,34,0
104,1,85,0,299,38632,0,11954,11,0
105,0,48011,0,2099,2474,0,2778,34,0
105,1,86,0,302,38976,0,12070,11,0
106,0,48467,0,2121,2474,0,2804,34,0
106,1,86,0,306,39320,0,12184,11,0
107,0,48921,0,2145,2474,0,2830,35,0
107,1,86,0,310,39663,0,12298,12,0
108,0,49394,0,2150,2474,0,2856,35,0
108,1,87,0,312,40003,0,12416,12,0
109,0,49844,0,2177,2474,0,2883,35,0
109,1,88,0,314,40345,0,12532,12,0
110,0,50296,0,2204,2474,0,2909,36,0
110,1,90,0,316,40685,0,12650,12,0
111,0,50746,0,2229,2474,0,2936,36,0
111,1,91,0,320,41027,0,12764,12,0
112,0,51205,0,2250,2474,0,2962,36,0
112,1,92,0,324,41373,0,12877,12,0
113,0,51649,0,2283,2474,0,2988,37,0
113,1,93,0,328,41714,0,12992,12,0
114,0,52107,0,2302,2474,0,3014,37,0
114,1,94,0,331,42055,0,13108,12,0
115,0,52584,0,2302,2474,0,3041,37,0
115,1,95,0,335,42397,0,13224,12,0
116,0,53059,0,2303,2474,0,3067,37,0
116,1,97,0,338,42738,0,13340,12,0
117,0,53536,0,2306,2474,0,3093,38,0
117,1,98,0,341,43081,0,13457,13,0
118,0,54004,0,2314,2474,0,3119,38,0
118,1,99,0,344,43424,0,13571,13,0
