sample,elapsed_ms,target,state_before,control_value,state_after,rtt_ms,model_output,infer_us,mode
1,277,300,300,0,170,261,,,ai
2,390,300,170,260,183,113,0.0,13802,ai
3,475,300,183,234,181,85,260.0,9557,ai
4,590,300,181,238,182,115,234.0,9134,ai
5,675,300,182,236,182,85,238.0,8838,ai
6,790,300,182,236,182,115,236.0,8871,ai
7,875,300,182,236,182,85,236.0,10829,ai
8,992,300,182,236,182,117,236.0,9576,ai
9,1085,300,182,236,182,93,236.0,12820,ai
10,1198,300,182,236,182,113,236.0,12341,ai
11,1305,300,182,236,182,107,236.0,12438,ai
12,1410,300,182,236,182,105,236.0,12865,ai
13,1508,300,182,236,182,98,236.0,8926,ai
14,1610,300,182,236,182,102,236.0,8721,ai
15,1710,300,182,236,182,100,236.0,9445,ai
16,1796,300,182,236,182,86,236.0,12004,ai
17,1910,300,182,236,182,114,236.0,11232,ai
18,1995,300,182,236,182,85,236.0,12941,ai
19,2110,300,182,236,182,115,236.0,9900,ai
20,2195,300,182,236,182,85,236.0,9318,ai
21,2311,300,182,236,182,116,236.0,11289,ai
22,2410,300,182,236,182,99,236.0,12632,ai
23,2510,300,182,236,182,100,236.0,9117,ai
24,2595,300,182,236,182,85,236.0,12687,ai
25,2711,300,182,236,182,116,236.0,9897,ai
26,2811,300,182,236,182,100,236.0,11060,ai
27,2895,300,182,236,182,84,236.0,9675,ai
28,3020,300,182,236,182,125,236.0,11158,ai
29,3117,300,182,236,182,97,236.0,13138,ai
30,3216,300,182,236,182,99,236.0,11249,ai
31,3322,300,182,236,182,106,236.0,9515,ai
32,3406,300,182,236,182,84,236.0,9460,ai
33,3520,300,182,236,182,114,236.0,9181,ai
34,3606,300,182,236,332,86,236.0,8628,ai
35,3730,300,332,0,338,124,236.0,9513,ai
36,3815,300,338,0,342,85,0.0,12253,ai
37,3938,300,342,0,344,123,0.0,8938,ai
38,4031,300,344,0,345,93,0.0,10760,ai
39,4130,300,345,0,346,99,0.0,8944,ai
40,4236,300,346,0,346,106,0.0,8717,ai
41,4334,300,346,0,346,98,0.0,9779,ai
42,4438,300,346,0,346,104,0.0,10795,ai
43,4529,300,346,0,346,91,0.0,8779,ai
44,4632,300,346,0,346,103,0.0,9966,ai
45,4731,300,346,0,346,99,0.0,8717,ai
46,4831,300,346,0,346,100,0.0,9209,ai
47,4915,300,346,0,346,84,0.0,8735,ai
48,5029,300,346,0,346,114,0.0,8579,ai
49,5114,800,346,908,663,85,0.0,10614,ai
50,5246,800,663,274,610,132,908.0,9096,ai
51,5375,800,610,380,621,129,274.0,9183,ai
52,5473,800,621,358,618,98,380.0,19075,ai
53,5578,800,618,364,620,105,358.0,9643,ai
54,5664,800,620,360,618,86,364.0,11425,ai
55,5782,800,618,364,620,118,360.0,11328,ai
56,5886,800,620,360,618,104,364.0,11507,ai
57,5975,800,618,364,620,89,360.0,9817,ai
58,6091,800,620,360,618,116,364.0,11282,ai
59,6186,800,618,364,620,95,360.0,12828,ai
60,6290,800,620,360,618,104,364.0,9376,ai
61,6375,800,618,364,620,85,360.0,9086,ai
62,6490,800,620,360,618,115,364.0,9460,ai
63,6576,800,618,364,620,86,360.0,9415,ai
64,6696,800,620,360,618,120,364.0,10358,ai
65,6789,800,618,364,620,93,360.0,12607,ai
66,6899,800,620,360,618,110,364.0,9039,ai
67,7003,800,618,364,620,104,360.0,12410,ai
68,7087,800,620,360,618,84,364.0,9742,ai
69,7209,800,618,364,620,122,360.0,8435,ai
70,7295,800,620,360,618,86,364.0,11605,ai
71,7410,800,618,364,620,115,360.0,9156,ai
72,7496,800,620,360,618,86,364.0,9687,ai
73,7619,800,618,364,620,123,360.0,10432,ai
74,7704,800,620,360,618,85,364.0,12333,ai
75,7830,800,618,364,620,126,360.0,9666,ai
76,7915,800,620,360,618,85,364.0,14487,ai
77,8040,800,618,364,620,125,360.0,9645,ai
78,8139,800,620,360,618,99,364.0,15137,ai
79,8236,800,618,364,620,97,360.0,8828,ai
80,8338,800,620,360,618,102,364.0,9085,ai
81,8430,800,618,364,620,92,360.0,10241,ai
82,8540,800,620,360,618,110,364.0,9091,ai
83,8639,800,618,364,620,99,360.0,11062,ai
84,8739,800,620,360,618,100,364.0,9355,ai
85,8825,800,618,364,620,86,360.0,9632,ai
86,8940,800,620,360,618,115,364.0,11149,ai
87,9040,800,618,364,620,100,360.0,13349,ai
88,9140,800,620,360,618,100,364.0,11190,ai
89,9248,800,618,364,620,108,360.0,10563,ai
90,9348,800,620,360,618,100,364.0,11544,ai
91,9435,800,618,364,620,87,360.0,9350,ai
92,9549,800,620,360,618,114,364.0,10675,ai
93,9635,800,618,364,620,86,360.0,11144,ai
94,9759,800,620,360,618,124,364.0,11950,ai
95,9859,800,618,364,620,100,360.0,14154,ai
96,9962,800,620,360,618,103,364.0,9986,ai
97,10046,800,618,364,620,84,360.0,11093,ai
98,10168,800,620,360,618,122,364.0,9902,ai
99,10255,800,618,364,620,87,360.0,12556,ai
100,10370,800,620,360,618,115,364.0,9368,ai
101,10455,800,618,364,620,85,360.0,12982,ai
102,10580,800,620,360,618,125,364.0,11248,ai
103,10683,800,618,364,620,103,360.0,12231,ai
104,10766,800,620,360,618,83,364.0,9458,ai
105,10891,800,618,364,620,125,360.0,10521,ai
106,10975,800,620,360,618,84,364.0,12580,ai
107,11100,800,618,364,620,125,360.0,9451,ai
108,11202,800,620,360,618,102,364.0,12767,ai
109,11305,800,618,364,620,103,360.0,9122,ai
110,11414,800,620,360,618,109,364.0,9328,ai
111,11515,800,618,364,620,101,360.0,9644,ai
112,11622,800,620,360,618,107,364.0,9655,ai
113,11705,800,618,364,620,83,360.0,10099,ai
114,11831,800,620,360,618,126,364.0,9633,ai
115,11915,800,618,364,620,84,360.0,13079,ai
