sample,elapsed_ms,target,state_before,control_value,state_after,rtt_ms,model_output,infer_us,mode
1,258,300,300,0,170,244,,,baseline
2,1021,300,170,260,183,763,,,baseline
3,1175,300,183,234,181,154,,,baseline
4,1296,300,181,238,182,121,,,baseline
5,1425,300,182,236,182,129,,,baseline
6,1564,300,182,236,182,139,,,baseline
7,1700,300,182,236,182,136,,,baseline
8,1830,300,182,236,182,130,,,baseline
9,1957,300,182,236,182,127,,,baseline
10,2089,300,182,236,182,132,,,baseline
11,2224,300,182,236,332,135,,,baseline
12,2360,300,332,0,338,136,,,baseline
13,2489,300,338,0,342,129,,,baseline
14,2617,300,342,0,344,128,,,baseline
15,2749,300,344,0,345,132,,,baseline
16,2877,300,345,0,346,128,,,baseline
17,3009,300,346,0,346,132,,,baseline
18,3334,300,346,0,346,325,,,baseline
19,3468,300,346,0,346,134,,,baseline
20,3600,300,346,0,346,132,,,baseline
21,3843,300,346,0,346,243,,,baseline
22,3953,300,346,0,346,110,,,baseline
23,4089,300,346,0,346,136,,,baseline
24,4232,300,346,0,346,143,,,baseline
25,4434,300,346,0,346,202,,,baseline
26,4555,300,346,0,346,121,,,baseline
27,4691,300,346,0,346,136,,,baseline
28,4820,300,346,0,346,129,,,baseline
29,5045,300,346,0,346,225,,,baseline
30,5172,800,346,908,663,127,,,baseline
31,5297,800,663,274,610,125,,,baseline
32,5427,800,610,380,621,130,,,baseline
33,5751,800,621,358,618,324,,,baseline
34,5877,800,618,364,620,126,,,baseline
35,6007,800,620,360,618,130,,,baseline
36,6253,800,618,364,620,246,,,baseline
37,6360,800,620,360,618,107,,,baseline
38,6497,800,618,364,620,137,,,baseline
39,6627,800,620,360,618,130,,,baseline
40,6873,800,618,364,620,246,,,baseline
41,6983,800,620,360,618,110,,,baseline
42,7107,800,618,364,620,124,,,baseline
43,7238,800,620,360,618,131,,,baseline
44,7561,800,618,364,620,323,,,baseline
45,7687,800,620,360,618,126,,,baseline
46,7818,800,618,364,620,131,,,baseline
47,8064,800,620,360,618,246,,,baseline
48,8183,800,618,364,620,119,,,baseline
49,8308,800,620,360,618,125,,,baseline
50,8438,800,618,364,620,130,,,baseline
51,8681,800,620,360,618,243,,,baseline
52,8797,800,618,364,620,116,,,baseline
53,8928,800,620,360,618,131,,,baseline
54,9058,800,618,364,620,130,,,baseline
55,9290,800,620,360,618,232,,,baseline
56,9389,800,618,364,620,99,,,baseline
57,9538,800,620,360,618,149,,,baseline
58,9669,800,618,364,620,131,,,baseline
59,9913,800,620,360,618,244,,,baseline
60,10015,800,618,364,620,102,,,baseline
61,10156,800,620,360,618,141,,,baseline
62,10286,800,618,364,620,130,,,baseline
63,10533,800,620,360,618,247,,,baseline
64,10653,800,618,364,620,120,,,baseline
65,10797,800,620,360,618,144,,,baseline
66,10927,800,618,364,620,130,,,baseline
67,11246,800,620,360,468,319,,,baseline
68,11378,800,468,664,495,132,,,baseline
69,11507,800,495,610,491,129,,,baseline
70,11743,800,491,618,492,236,,,baseline
71,11853,800,492,616,491,110,,,baseline
72,11977,800,491,618,492,124,,,baseline
73,12107,800,492,616,491,130,,,baseline
74,12348,800,491,618,492,241,,,baseline
75,12463,800,492,616,491,115,,,baseline
76,12586,800,491,618,492,123,,,baseline
77,12719,800,492,616,491,133,,,baseline
78,12972,800,491,618,492,253,,,baseline
79,13076,800,492,616,491,104,,,baseline
80,13209,800,491,618,492,133,,,baseline
81,13336,800,492,616,491,127,,,baseline
82,13589,800,491,618,492,253,,,baseline
83,13704,800,492,616,491,115,,,baseline
84,13837,800,491,618,492,133,,,baseline
85,13969,800,492,616,491,132,,,baseline
86,14220,800,491,618,492,251,,,baseline
87,14313,800,492,616,491,93,,,baseline
88,14446,800,491,618,492,133,,,baseline
89,14576,800,492,616,491,130,,,baseline
90,14824,800,491,618,492,248,,,baseline
91,14943,800,492,616,491,119,,,baseline
92,15079,800,491,618,492,136,,,baseline
93,15206,500,492,16,282,127,,,baseline
94,15455,500,282,436,311,249,,,baseline
95,15573,500,311,378,308,118,,,baseline
96,15696,500,308,384,308,123,,,baseline
97,15827,500,308,384,308,131,,,baseline
98,16088,500,308,384,308,261,,,baseline
99,16193,500,308,384,308,105,,,baseline
100,16317,500,308,384,308,124,,,baseline
101,16447,500,308,384,308,130,,,baseline
102,16689,500,308,384,308,242,,,baseline
103,16804,500,308,384,308,115,,,baseline
104,16937,500,308,384,308,133,,,baseline
105,17068,500,308,384,308,131,,,baseline
106,17324,500,308,384,308,256,,,baseline
107,17433,500,308,384,308,109,,,baseline
108,17557,500,308,384,308,124,,,baseline
109,17688,500,308,384,308,131,,,baseline
110,17934,500,308,384,308,246,,,baseline
111,18054,500,308,384,308,120,,,baseline
112,18187,500,308,384,308,133,,,baseline
113,18318,500,308,384,308,131,,,baseline
114,18573,500,308,384,308,255,,,baseline
115,18683,500,308,384,308,110,,,baseline
116,18819,500,308,384,308,136,,,baseline
117,18947,500,308,384,308,128,,,baseline
118,19195,500,308,384,308,248,,,baseline
119,19306,500,308,384,308,111,,,baseline
120,19438,500,308,384,308,132,,,baseline
121,19569,500,308,384,308,131,,,baseline
122,19814,500,308,384,308,245,,,baseline
123,19935,500,308,384,308,121,,,baseline
124,20069,500,308,384,308,134,,,baseline
125,20196,500,308,384,308,127,,,baseline
126,20450,500,308,384,308,254,,,baseline
127,20563,500,308,384,308,113,,,baseline
128,20690,500,308,384,308,127,,,baseline
129,20825,500,308,384,308,135,,,baseline
130,21073,500,308,384,308,248,,,baseline
131,21169,500,308,384,308,96,,,baseline
132,21343,500,308,384,308,174,,,baseline
133,21479,500,308,384,308,136,,,baseline
